source,regime,sweep,sweep_value,d,N,average_in_degree,replication,cell_base_seed,data_seed,paired_across_regimes
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,0,8449733624100676398,997037688622839675,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,1,8449733624100676398,15318950012212151868,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,2,8449733624100676398,15811378311402693171,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,3,8449733624100676398,8821238346172164434,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,4,8449733624100676398,11640662489496502461,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,5,8449733624100676398,10901690191333855266,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,6,8449733624100676398,8312439680882612195,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,7,8449733624100676398,6426483190365281701,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,8,8449733624100676398,3473482531828960385,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,9,8449733624100676398,1327266355771819733,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,10,8449733624100676398,5530777450385916931,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,11,8449733624100676398,4713334323201019954,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,12,8449733624100676398,7265848232929596959,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,13,8449733624100676398,18318520486340634155,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,14,8449733624100676398,11783547953772365640,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,15,8449733624100676398,11776728228849575478,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,16,8449733624100676398,11452893752519259943,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,17,8449733624100676398,5523254238695535676,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,18,8449733624100676398,6127458168412939119,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,19,8449733624100676398,2943762022310324080,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,20,8449733624100676398,4046167484989065139,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,21,8449733624100676398,16157162945886892604,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,22,8449733624100676398,2862991632054326592,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,23,8449733624100676398,10028676244519738528,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,24,8449733624100676398,7180453663852422237,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,25,8449733624100676398,10667524260610807587,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,26,8449733624100676398,10617839837524937622,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,27,8449733624100676398,1660361494333174846,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,28,8449733624100676398,1202311398835224709,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,29,8449733624100676398,242134040288760099,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,30,8449733624100676398,5430402089311222576,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,31,8449733624100676398,16192095031044037395,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,32,8449733624100676398,251378962701024133,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,33,8449733624100676398,18002406898663189888,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,34,8449733624100676398,12814935994706619566,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,35,8449733624100676398,15852956752000353405,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,36,8449733624100676398,16806046884470191665,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,37,8449733624100676398,588906138073459803,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,38,8449733624100676398,10502979411329442409,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,39,8449733624100676398,1318047254121760539,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,40,8449733624100676398,12925215798436796296,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,41,8449733624100676398,4472196310233422431,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,42,8449733624100676398,13250807195967775064,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,43,8449733624100676398,16389730885135992074,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,44,8449733624100676398,17448771992509979257,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,45,8449733624100676398,10525017425870782944,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,46,8449733624100676398,2865467953815855488,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,47,8449733624100676398,9167335979838167595,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,48,8449733624100676398,7647940168327797580,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,49,8449733624100676398,7064177813733747637,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,50,8449733624100676398,17826998278879438495,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,51,8449733624100676398,12908217493024541425,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,52,8449733624100676398,10525804452394291234,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,53,8449733624100676398,15485120612459162782,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,54,8449733624100676398,517139315935531296,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,55,8449733624100676398,12974129387740076674,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,56,8449733624100676398,8882089635829301885,True
formal_missing_experiment,extended,average_in_degree,1.0,8,3200,1.0,57,8449733624100676398,1629216783926168195,True
