setting,regime,sweep,sweep_value,d,N,average_in_degree,max_parents,alpha_low,alpha_high,replication,seed,method,method_internal,method_seed,start_time_utc,end_time_utc,status,error_type,error_message,runtime_sec,runtime_local_score_sec,runtime_search_sec,n_local_scores_evaluated,true_exogenous_families,true_exogenous_params,true_alpha_matrix,true_directed_edge_set,estimated_directed_edge_set,estimated_undirected_edge_set,true_adjacency,estimated_adjacency,F1,skeleton_F1,exact_recovery,n_true_edges,n_estimated_directed,n_estimated_undirected,source
all_poisson,restricted,sample_size,100,8,100,1.5,5,0.15,0.85,0,4691323790225007420,Poisson-only DP,FixedPoissonDP,7716258100110532059,,,success,,,0.0916580999983125,0.0906085999959032,0.0008398999998462,960.0,Poisson;Poisson;Poisson;Poisson;Poisson;Poisson;Poisson;Poisson,"[{""lam"":6.499560021378034},{""lam"":5.759583224379625},{""lam"":7.343403458274543},{""lam"":7.514215802788514},{""lam"":8.363068961800657},{""lam"":2.66339544265868},{""lam"":6.850806165057113},{""lam"":7.308822659838397}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.8337280815267418,0.0,0.0,0.0,0.0,0.0],[0.0,0.7368487478618003,0.0,0.0,0.0,0.0,0.0,0.0],[0.7099600955495218,0.0,0.0,0.40349755238185014,0.0,0.0,0.0,0.0],[0.23940797057620247,0.0,0.4220028414987823,0.36018968799430845,0.6747316622084081,0.5968968067581877,0.0,0.0],[0.0,0.7209495324860345,0.20859826616622693,0.0,0.0,0.6761802516750774,0.0,0.0]]",0->5;0->6;1->4;1->7;2->3;2->6;2->7;3->5;3->6;4->6;5->6;5->7,1->4;1->7;2->3;2->6;3->5;3->6;4->6;5->0;5->7;6->5,,"[[0,0,0,0,0,1,1,0],[0,0,0,0,1,0,0,1],[0,0,0,1,0,0,1,1],[0,0,0,0,0,1,1,0],[0,0,0,0,0,0,1,0],[0,0,0,0,0,0,1,1],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]","[[0,0,0,0,0,0,0,0],[0,0,0,0,1,0,0,1],[0,0,0,1,0,0,1,0],[0,0,0,0,0,1,1,0],[0,0,0,0,0,0,1,0],[1,0,0,0,0,0,0,1],[0,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0]]",0.7272727272727272,0.9090909090909092,0.0,12.0,10.0,0.0,reused_formal_extended_experiments_v1
all_poisson,restricted,sample_size,100,8,100,1.5,5,0.15,0.85,0,4691323790225007420,Proposed DP-BIC,LibraryDP,3987406184598695193,,,success,,,0.7051682000019355,0.7041679999965709,0.0007026999955996,960.0,Poisson;Poisson;Poisson;Poisson;Poisson;Poisson;Poisson;Poisson,"[{""lam"":6.499560021378034},{""lam"":5.759583224379625},{""lam"":7.343403458274543},{""lam"":7.514215802788514},{""lam"":8.363068961800657},{""lam"":2.66339544265868},{""lam"":6.850806165057113},{""lam"":7.308822659838397}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.8337280815267418,0.0,0.0,0.0,0.0,0.0],[0.0,0.7368487478618003,0.0,0.0,0.0,0.0,0.0,0.0],[0.7099600955495218,0.0,0.0,0.40349755238185014,0.0,0.0,0.0,0.0],[0.23940797057620247,0.0,0.4220028414987823,0.36018968799430845,0.6747316622084081,0.5968968067581877,0.0,0.0],[0.0,0.7209495324860345,0.20859826616622693,0.0,0.0,0.6761802516750774,0.0,0.0]]",0->5;0->6;1->4;1->7;2->3;2->6;2->7;3->5;3->6;4->6;5->6;5->7,1->4;1->7;2->3;2->6;3->5;3->6;4->6;5->0;5->7;6->5,,"[[0,0,0,0,0,1,1,0],[0,0,0,0,1,0,0,1],[0,0,0,1,0,0,1,1],[0,0,0,0,0,1,1,0],[0,0,0,0,0,0,1,0],[0,0,0,0,0,0,1,1],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]","[[0,0,0,0,0,0,0,0],[0,0,0,0,1,0,0,1],[0,0,0,1,0,0,1,0],[0,0,0,0,0,1,1,0],[0,0,0,0,0,0,1,0],[1,0,0,0,0,0,0,1],[0,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0]]",0.7272727272727272,0.9090909090909092,0.0,12.0,10.0,0.0,reused_formal_extended_experiments_v1
all_poisson,restricted,sample_size,100,8,100,1.5,5,0.15,0.85,0,4691323790225007420,Greedy-BIC,LibraryGreedy,6589372169242171319,,,success,,,0.079628400002548,0.0751602000382263,0.0044218999610166,120.0,Poisson;Poisson;Poisson;Poisson;Poisson;Poisson;Poisson;Poisson,"[{""lam"":6.499560021378034},{""lam"":5.759583224379625},{""lam"":7.343403458274543},{""lam"":7.514215802788514},{""lam"":8.363068961800657},{""lam"":2.66339544265868},{""lam"":6.850806165057113},{""lam"":7.308822659838397}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.8337280815267418,0.0,0.0,0.0,0.0,0.0],[0.0,0.7368487478618003,0.0,0.0,0.0,0.0,0.0,0.0],[0.7099600955495218,0.0,0.0,0.40349755238185014,0.0,0.0,0.0,0.0],[0.23940797057620247,0.0,0.4220028414987823,0.36018968799430845,0.6747316622084081,0.5968968067581877,0.0,0.0],[0.0,0.7209495324860345,0.20859826616622693,0.0,0.0,0.6761802516750774,0.0,0.0]]",0->5;0->6;1->4;1->7;2->3;2->6;2->7;3->5;3->6;4->6;5->6;5->7,1->4;1->7;2->3;2->6;3->5;3->6;4->6;5->0;5->7;6->5,,"[[0,0,0,0,0,1,1,0],[0,0,0,0,1,0,0,1],[0,0,0,1,0,0,1,1],[0,0,0,0,0,1,1,0],[0,0,0,0,0,0,1,0],[0,0,0,0,0,0,1,1],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]","[[0,0,0,0,0,0,0,0],[0,0,0,0,1,0,0,1],[0,0,0,1,0,0,1,0],[0,0,0,0,0,1,1,0],[0,0,0,0,0,0,1,0],[1,0,0,0,0,0,0,1],[0,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0]]",0.7272727272727272,0.9090909090909092,0.0,12.0,10.0,0.0,reused_formal_extended_experiments_v1
all_poisson,restricted,sample_size,100,8,100,1.5,5,0.15,0.85,0,4691323790225007420,PB-SCM,PBSCM,5933151312372142707,,,success,,,2.536900099999912,,,,Poisson;Poisson;Poisson;Poisson;Poisson;Poisson;Poisson;Poisson,"[{""lam"":6.499560021378034},{""lam"":5.759583224379625},{""lam"":7.343403458274543},{""lam"":7.514215802788514},{""lam"":8.363068961800657},{""lam"":2.66339544265868},{""lam"":6.850806165057113},{""lam"":7.308822659838397}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.8337280815267418,0.0,0.0,0.0,0.0,0.0],[0.0,0.7368487478618003,0.0,0.0,0.0,0.0,0.0,0.0],[0.7099600955495218,0.0,0.0,0.40349755238185014,0.0,0.0,0.0,0.0],[0.23940797057620247,0.0,0.4220028414987823,0.36018968799430845,0.6747316622084081,0.5968968067581877,0.0,0.0],[0.0,0.7209495324860345,0.20859826616622693,0.0,0.0,0.6761802516750774,0.0,0.0]]",0->5;0->6;1->4;1->7;2->3;2->6;2->7;3->5;3->6;4->6;5->6;5->7,4->1;6->0,0--5;1--7;2--3;2--5;2--7;3--5;4--6;4--7;5--6;5--7,"[[0,0,0,0,0,1,1,0],[0,0,0,0,1,0,0,1],[0,0,0,1,0,0,1,1],[0,0,0,0,0,1,1,0],[0,0,0,0,0,0,1,0],[0,0,0,0,0,0,1,1],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]","[[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,1,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[1,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]",0.0,0.8333333333333334,0.0,12.0,2.0,10.0,reused_formal_extended_experiments_v1
all_poisson,restricted,sample_size,100,8,100,1.5,5,0.15,0.85,0,4691323790225007420,PB-SCM-PGF,PBSCM_PGF,6921447993063144968,,,success,,,0.083983900003659,,,,Poisson;Poisson;Poisson;Poisson;Poisson;Poisson;Poisson;Poisson,"[{""lam"":6.499560021378034},{""lam"":5.759583224379625},{""lam"":7.343403458274543},{""lam"":7.514215802788514},{""lam"":8.363068961800657},{""lam"":2.66339544265868},{""lam"":6.850806165057113},{""lam"":7.308822659838397}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.8337280815267418,0.0,0.0,0.0,0.0,0.0],[0.0,0.7368487478618003,0.0,0.0,0.0,0.0,0.0,0.0],[0.7099600955495218,0.0,0.0,0.40349755238185014,0.0,0.0,0.0,0.0],[0.23940797057620247,0.0,0.4220028414987823,0.36018968799430845,0.6747316622084081,0.5968968067581877,0.0,0.0],[0.0,0.7209495324860345,0.20859826616622693,0.0,0.0,0.6761802516750774,0.0,0.0]]",0->5;0->6;1->4;1->7;2->3;2->6;2->7;3->5;3->6;4->6;5->6;5->7,,,"[[0,0,0,0,0,1,1,0],[0,0,0,0,1,0,0,1],[0,0,0,1,0,0,1,1],[0,0,0,0,0,1,1,0],[0,0,0,0,0,0,1,0],[0,0,0,0,0,0,1,1],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]","[[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]",0.0,0.0,0.0,12.0,0.0,0.0,reused_formal_extended_experiments_v1
all_poisson,restricted,sample_size,100,8,100,1.5,5,0.15,0.85,0,4691323790225007420,PC-RCIT,PC-RCIT,7236322910432259508,,,success,,,0.5309210000050371,,,,Poisson;Poisson;Poisson;Poisson;Poisson;Poisson;Poisson;Poisson,"[{""lam"":6.499560021378034},{""lam"":5.759583224379625},{""lam"":7.343403458274543},{""lam"":7.514215802788514},{""lam"":8.363068961800657},{""lam"":2.66339544265868},{""lam"":6.850806165057113},{""lam"":7.308822659838397}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.8337280815267418,0.0,0.0,0.0,0.0,0.0],[0.0,0.7368487478618003,0.0,0.0,0.0,0.0,0.0,0.0],[0.7099600955495218,0.0,0.0,0.40349755238185014,0.0,0.0,0.0,0.0],[0.23940797057620247,0.0,0.4220028414987823,0.36018968799430845,0.6747316622084081,0.5968968067581877,0.0,0.0],[0.0,0.7209495324860345,0.20859826616622693,0.0,0.0,0.6761802516750774,0.0,0.0]]",0->5;0->6;1->4;1->7;2->3;2->6;2->7;3->5;3->6;4->6;5->6;5->7,0->5;3->5;7->5,1--7;2--3,"[[0,0,0,0,0,1,1,0],[0,0,0,0,1,0,0,1],[0,0,0,1,0,0,1,1],[0,0,0,0,0,1,1,0],[0,0,0,0,0,0,1,0],[0,0,0,0,0,0,1,1],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]","[[0,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,1,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,1,0,0]]",0.2666666666666666,0.5882352941176471,0.0,12.0,3.0,2.0,reused_formal_extended_experiments_v1
all_poisson,restricted,sample_size,100,8,100,1.5,5,0.15,0.85,0,4691323790225007420,ODS,PoissonDAG-ODS,5737844855930097756,,,success,,,0.4970579000000725,,,,Poisson;Poisson;Poisson;Poisson;Poisson;Poisson;Poisson;Poisson,"[{""lam"":6.499560021378034},{""lam"":5.759583224379625},{""lam"":7.343403458274543},{""lam"":7.514215802788514},{""lam"":8.363068961800657},{""lam"":2.66339544265868},{""lam"":6.850806165057113},{""lam"":7.308822659838397}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.8337280815267418,0.0,0.0,0.0,0.0,0.0],[0.0,0.7368487478618003,0.0,0.0,0.0,0.0,0.0,0.0],[0.7099600955495218,0.0,0.0,0.40349755238185014,0.0,0.0,0.0,0.0],[0.23940797057620247,0.0,0.4220028414987823,0.36018968799430845,0.6747316622084081,0.5968968067581877,0.0,0.0],[0.0,0.7209495324860345,0.20859826616622693,0.0,0.0,0.6761802516750774,0.0,0.0]]",0->5;0->6;1->4;1->7;2->3;2->6;2->7;3->5;3->6;4->6;5->6;5->7,1->0;1->4;1->5;1->7;2->3;3->0;4->2;4->3;4->6;4->7;5->0;5->3;5->6;6->0;6->2;6->3;7->2;7->3;7->5,,"[[0,0,0,0,0,1,1,0],[0,0,0,0,1,0,0,1],[0,0,0,1,0,0,1,1],[0,0,0,0,0,1,1,0],[0,0,0,0,0,0,1,0],[0,0,0,0,0,0,1,1],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]","[[0,0,0,0,0,0,0,0],[1,0,0,0,1,1,0,1],[0,0,0,1,0,0,0,0],[1,0,0,0,0,0,0,0],[0,0,1,1,0,0,1,1],[1,0,0,1,0,0,1,0],[1,0,1,1,0,0,0,0],[0,0,1,1,0,1,0,0]]",0.3225806451612903,0.7741935483870968,0.0,12.0,19.0,0.0,reused_formal_extended_experiments_v1
all_poisson,restricted,sample_size,100,8,100,1.5,5,0.15,0.85,1,6806572511313613517,Poisson-only DP,FixedPoissonDP,4173656716241853970,,,success,,,0.0855018000002019,0.0840858000010484,0.0011090999978478,960.0,Poisson;Poisson;Poisson;Poisson;Poisson;Poisson;Poisson;Poisson,"[{""lam"":9.7534635728593},{""lam"":2.4783837082276428},{""lam"":9.900365659540121},{""lam"":3.1940386065256803},{""lam"":6.865977924287492},{""lam"":3.1982722992976163},{""lam"":3.3465299171070058},{""lam"":4.920230238163665}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.6811590112750991,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.20072634990561689,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.737328115679068,0.0,0.41753738554346853,0.0,0.0,0.0,0.0],[0.27286639256130557,0.30657309409027445,0.23018639431096438,0.5978303229194235,0.0,0.0,0.0,0.0],[0.23469035032788046,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.8314951152777724,0.0,0.0,0.0,0.5405768553346546,0.5671224078241244,0.0,0.0]]",0->2;0->3;0->5;0->6;0->7;1->4;1->5;2->5;3->4;3->5;4->7;5->7,0->3;0->5;0->6;0->7;1->4;1->6;2->0;3->4;3->5;4->7;5->7,,"[[0,0,1,1,0,1,1,1],[0,0,0,0,1,1,0,0],[0,0,0,0,0,1,0,0],[0,0,0,0,1,1,0,0],[0,0,0,0,0,0,0,1],[0,0,0,0,0,0,0,1],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]","[[0,0,0,1,0,1,1,1],[0,0,0,0,1,0,1,0],[1,0,0,0,0,0,0,0],[0,0,0,0,1,1,0,0],[0,0,0,0,0,0,0,1],[0,0,0,0,0,0,0,1],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]",0.7826086956521738,0.8695652173913043,0.0,12.0,11.0,0.0,reused_formal_extended_experiments_v1
all_poisson,restricted,sample_size,100,8,100,1.5,5,0.15,0.85,1,6806572511313613517,Proposed DP-BIC,LibraryDP,3276962314626377755,,,success,,,0.7407008000009228,0.7398844000053941,0.0005581999939749,960.0,Poisson;Poisson;Poisson;Poisson;Poisson;Poisson;Poisson;Poisson,"[{""lam"":9.7534635728593},{""lam"":2.4783837082276428},{""lam"":9.900365659540121},{""lam"":3.1940386065256803},{""lam"":6.865977924287492},{""lam"":3.1982722992976163},{""lam"":3.3465299171070058},{""lam"":4.920230238163665}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.6811590112750991,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.20072634990561689,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.737328115679068,0.0,0.41753738554346853,0.0,0.0,0.0,0.0],[0.27286639256130557,0.30657309409027445,0.23018639431096438,0.5978303229194235,0.0,0.0,0.0,0.0],[0.23469035032788046,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.8314951152777724,0.0,0.0,0.0,0.5405768553346546,0.5671224078241244,0.0,0.0]]",0->2;0->3;0->5;0->6;0->7;1->4;1->5;2->5;3->4;3->5;4->7;5->7,0->3;0->5;0->6;0->7;1->4;1->6;2->0;3->4;3->5;4->7;5->7,,"[[0,0,1,1,0,1,1,1],[0,0,0,0,1,1,0,0],[0,0,0,0,0,1,0,0],[0,0,0,0,1,1,0,0],[0,0,0,0,0,0,0,1],[0,0,0,0,0,0,0,1],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]","[[0,0,0,1,0,1,1,1],[0,0,0,0,1,0,1,0],[1,0,0,0,0,0,0,0],[0,0,0,0,1,1,0,0],[0,0,0,0,0,0,0,1],[0,0,0,0,0,0,0,1],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]",0.7826086956521738,0.8695652173913043,0.0,12.0,11.0,0.0,reused_formal_extended_experiments_v1
all_poisson,restricted,sample_size,100,8,100,1.5,5,0.15,0.85,1,6806572511313613517,Greedy-BIC,LibraryGreedy,7595827530275620648,,,success,,,0.0798598999972455,0.0763778000473394,0.0034428999497322,104.0,Poisson;Poisson;Poisson;Poisson;Poisson;Poisson;Poisson;Poisson,"[{""lam"":9.7534635728593},{""lam"":2.4783837082276428},{""lam"":9.900365659540121},{""lam"":3.1940386065256803},{""lam"":6.865977924287492},{""lam"":3.1982722992976163},{""lam"":3.3465299171070058},{""lam"":4.920230238163665}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.6811590112750991,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.20072634990561689,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.737328115679068,0.0,0.41753738554346853,0.0,0.0,0.0,0.0],[0.27286639256130557,0.30657309409027445,0.23018639431096438,0.5978303229194235,0.0,0.0,0.0,0.0],[0.23469035032788046,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.8314951152777724,0.0,0.0,0.0,0.5405768553346546,0.5671224078241244,0.0,0.0]]",0->2;0->3;0->5;0->6;0->7;1->4;1->5;2->5;3->4;3->5;4->7;5->7,0->6;0->7;1->6;2->0;2->4;4->7;5->3;7->5,,"[[0,0,1,1,0,1,1,1],[0,0,0,0,1,1,0,0],[0,0,0,0,0,1,0,0],[0,0,0,0,1,1,0,0],[0,0,0,0,0,0,0,1],[0,0,0,0,0,0,0,1],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0]]","[[0,0,0,0,0,0,1,1],[0,0,0,0,0,0,1,0],[1,0,0,0,1,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,1],[0,0,0,1,0,0,0,0],[0,0,0,0,0,0,0,0],[0,0,0,0,0,1,0,0]]",0.3,0.6,0.0,12.0,8.0,0.0,reused_formal_extended_experiments_v1
