setting,regime,sweep,sweep_value,method,expected_R,R_total,R_success,R_failed,mean_F1,sd_F1,se_F1,ci95_low,ci95_high,plot_ci95_low,plot_ci95_high,mean_runtime_sec
all_poisson,restricted,dimension,4.0,Proposed DP-BIC,100,100,100,0,0.9751515151515153,0.07144180765344187,0.0071441807653441864,0.9611489208514408,0.9891541094515899,0.9611489208514408,0.9891541094515899,0.24146025900088716
all_poisson,restricted,dimension,4.0,Greedy-BIC,100,100,100,0,0.8163939393939396,0.22738150442464458,0.02273815044246446,0.7718271645267092,0.8609607142611699,0.7718271645267092,0.8609607142611699,0.19659353999828455
all_poisson,restricted,dimension,4.0,Poisson-only DP,100,100,100,0,0.975151515151515,0.07144180765344185,0.007144180765344186,0.9611489208514404,0.9891541094515895,0.9611489208514404,0.9891541094515895,0.009739776999922421
all_poisson,restricted,dimension,4.0,ODS,100,100,100,0,0.9146363636363637,0.12340911838965278,0.012340911838965279,0.8904481764319917,0.9388245508407357,0.8904481764319917,0.9388245508407357,0.23388706100231502
all_poisson,restricted,dimension,4.0,PC-RCIT,100,100,100,0,0.062222222222222213,0.1703264472732531,0.01703264472732531,0.028838238556664605,0.09560620588777982,0.028838238556664605,0.09560620588777982,0.721209350003046
all_poisson,restricted,dimension,4.0,PB-SCM,100,100,100,0,0.6349025974025974,0.21676345716937623,0.021676345716937623,0.5924169597973996,0.6773882350077951,0.5924169597973996,0.6773882350077951,2.135253141002031
all_poisson,restricted,dimension,4.0,PB-SCM-PGF,100,100,100,0,0.015,0.07801191310215759,0.007801191310215759,-0.000290334968022889,0.030290334968022886,0.0,0.030290334968022886,0.0663051250018179
all_poisson,restricted,dimension,5.0,Proposed DP-BIC,100,100,100,0,0.9858095238095238,0.044425011212161435,0.004442501121216144,0.9771022216119402,0.9945168260071074,0.9771022216119402,0.9945168260071074,0.8533534400013741
all_poisson,restricted,dimension,5.0,Greedy-BIC,100,100,100,0,0.818049019607843,0.2251379909627166,0.022513799096271662,0.7739219733791506,0.8621760658365355,0.7739219733791506,0.8621760658365355,0.47290531799953894
all_poisson,restricted,dimension,5.0,Poisson-only DP,100,100,100,0,0.9886666666666667,0.03496671497302098,0.0034966714973020977,0.9818131905319546,0.9955201428013788,0.9818131905319546,0.9955201428013788,0.029596406999044075
all_poisson,restricted,dimension,5.0,ODS,100,100,100,0,0.8931862745098038,0.10606339695012001,0.010606339695012002,0.8723978487075803,0.9139747003120273,0.8723978487075803,0.9139747003120273,0.42155945299833547
all_poisson,restricted,dimension,5.0,PC-RCIT,100,100,100,0,0.3253405760905761,0.3073028695688002,0.030730286956880022,0.26510921365509127,0.3855719385260609,0.26510921365509127,0.3855719385260609,2.9471762060018953
all_poisson,restricted,dimension,5.0,PB-SCM,100,100,100,0,0.5944756632256633,0.18412212600940903,0.018412212600940902,0.5583877265278191,0.6305635999235074,0.5583877265278191,0.6305635999235074,4.076784555999329
all_poisson,restricted,dimension,5.0,PB-SCM-PGF,100,100,100,0,0.009666666666666667,0.058468098297434976,0.0058468098297434976,-0.0017930805996305872,0.02112641393296392,0.0,0.02112641393296392,0.14834228500316382
all_poisson,restricted,dimension,6.0,Proposed DP-BIC,100,100,100,0,0.9877089783281733,0.04255701551695998,0.004255701551695998,0.9793678032868491,0.9960501533694974,0.9793678032868491,0.9960501533694974,1.8172464480012422
all_poisson,restricted,dimension,6.0,Greedy-BIC,100,100,100,0,0.8295345840090423,0.19803703958916835,0.019803703958916834,0.7907193242495654,0.8683498437685193,0.7907193242495654,0.8683498437685193,0.5925478800025303
all_poisson,restricted,dimension,6.0,Poisson-only DP,100,100,100,0,0.9877089783281733,0.04255701551695998,0.004255701551695998,0.9793678032868491,0.9960501533694974,0.9793678032868491,0.9960501533694974,0.05888878099562131
all_poisson,restricted,dimension,6.0,ODS,100,100,100,0,0.8583857560568089,0.11342011315059947,0.011342011315059946,0.8361554138792914,0.8806160982343264,0.8361554138792914,0.8806160982343264,0.3892386289982824
all_poisson,restricted,dimension,6.0,PC-RCIT,100,100,100,0,0.4806765130294542,0.26644850097031386,0.026644850097031388,0.42845260683927266,0.5329004192196357,0.42845260683927266,0.5329004192196357,3.99525221700198
