season,game_id,period,team_id,FOUL,FTA,FTM,SHOT_FOUL_DRAWN,PERS_FOUL_DRAWN,MISS_FT,LOOSE_BALL_FOUL_DRAWN
2016-17,21600001,1,1610612739,5,6,4,2,3,2,0
2016-17,21600001,1,1610612752,2,4,3,2,0,1,0
2016-17,21600001,2,1610612739,3,0,0,0,2,0,1
2016-17,21600001,2,1610612752,6,6,4,2,4,2,0
2016-17,21600001,3,1610612739,2,2,1,1,1,1,0
2016-17,21600001,3,1610612752,4,6,5,3,1,1,0
2016-17,21600001,4,1610612739,9,11,9,2,6,2,1
2016-17,21600001,4,1610612752,5,4,3,1,4,1,0
2016-17,21600002,1,1610612757,2,2,2,1,1,0,0
2016-17,21600002,1,1610612762,5,7,7,4,1,0,0
2016-17,21600002,2,1610612757,5,5,5,2,1,0,2
2016-17,21600002,2,1610612762,4,1,1,0,3,0,1
2016-17,21600002,3,1610612757,4,4,4,3,0,0,1
2016-17,21600002,3,1610612762,3,4,4,2,1,0,0
2016-17,21600002,4,1610612757,7,11,11,4,3,0,0
2016-17,21600002,4,1610612762,6,4,4,2,3,0,1
2016-17,21600003,1,1610612744,3,4,4,2,1,0,0
2016-17,21600003,1,1610612759,2,4,4,2,0,0,0
2016-17,21600003,2,1610612744,4,3,2,2,2,1,0
2016-17,21600003,2,1610612759,5,8,8,3,2,0,0
2016-17,21600003,3,1610612744,3,1,0,1,2,1,0
2016-17,21600003,3,1610612759,7,9,8,1,6,1,0
2016-17,21600003,4,1610612744,9,10,7,4,5,3,0
2016-17,21600003,4,1610612759,4,5,3,3,0,2,1
2016-17,21600004,1,1610612748,2,3,1,1,1,2,0
2016-17,21600004,1,1610612753,7,10,7,4,3,3,0
2016-17,21600004,2,1610612748,4,3,2,2,2,1,0
2016-17,21600004,2,1610612753,5,8,7,4,1,1,0
2016-17,21600004,3,1610612748,4,5,4,2,0,1,2
2016-17,21600004,3,1610612753,4,6,5,2,2,1,0
2016-17,21600004,4,1610612748,3,5,3,3,0,2,0
2016-17,21600004,4,1610612753,5,4,3,1,3,1,1
2016-17,21600005,1,1610612742,4,0,0,0,2,0,2
2016-17,21600005,1,1610612754,6,6,3,3,3,3,0
2016-17,21600005,2,1610612742,4,4,2,2,1,2,1
2016-17,21600005,2,1610612754,4,5,5,3,1,0,0
2016-17,21600005,3,1610612742,7,10,8,5,2,2,0
2016-17,21600005,3,1610612754,7,13,11,4,2,2,1
2016-17,21600005,4,1610612742,3,2,2,1,2,0,0
2016-17,21600005,4,1610612754,5,6,4,2,3,2,0
2016-17,21600006,1,1610612738,5,5,5,2,3,0,0
2016-17,21600006,1,1610612751,5,2,2,1,4,0,0
2016-17,21600006,2,1610612738,5,9,7,4,1,2,0
