season,game_id,period,team_id,FOUL,FTA,FTM,PERS_FOUL_DRAWN,LOOSE_BALL_FOUL_DRAWN
2024-25,22400001,1,1610612737,5,7,3,1,0
2024-25,22400001,1,1610612738,6,9,8,2,0
2024-25,22400001,2,1610612737,2,4,2,0,0
2024-25,22400001,2,1610612738,3,6,6,0,0
2024-25,22400001,3,1610612737,1,0,0,1,0
2024-25,22400001,3,1610612738,2,6,5,0,0
2024-25,22400001,4,1610612737,2,2,2,0,1
2024-25,22400001,4,1610612738,4,6,3,1,0
2024-25,22400002,1,1610612748,4,1,1,3,0
2024-25,22400002,1,1610612765,7,10,10,2,2
2024-25,22400002,2,1610612748,4,2,2,2,1
2024-25,22400002,2,1610612765,3,5,5,0,0
2024-25,22400002,3,1610612748,4,5,4,0,1
2024-25,22400002,3,1610612765,4,3,2,2,0
2024-25,22400002,4,1610612748,4,2,1,2,1
2024-25,22400002,4,1610612765,4,2,2,3,0
2024-25,22400003,1,1610612753,3,6,4,0,0
2024-25,22400003,1,1610612766,4,3,3,3,0
2024-25,22400003,2,1610612753,2,1,1,1,0
2024-25,22400003,2,1610612766,6,5,3,4,0
2024-25,22400003,3,1610612753,4,6,6,1,0
2024-25,22400003,3,1610612766,4,0,0,3,1
2024-25,22400003,4,1610612753,4,6,4,1,0
2024-25,22400003,4,1610612766,6,6,2,3,2
2024-25,22400004,1,1610612752,2,0,0,2,0
2024-25,22400004,1,1610612755,2,4,4,0,0
2024-25,22400004,2,1610612752,3,3,3,1,0
2024-25,22400004,2,1610612755,7,13,13,2,0
2024-25,22400004,3,1610612752,5,4,4,3,0
2024-25,22400004,3,1610612755,4,3,3,2,0
2024-25,22400004,4,1610612752,6,8,7,4,0
2024-25,22400004,4,1610612755,2,4,3,0,0
2024-25,22400005,1,1610612749,1,1,1,0,0
2024-25,22400005,1,1610612761,3,5,4,1,0
2024-25,22400005,2,1610612749,2,4,2,0,0
2024-25,22400005,2,1610612761,7,11,9,1,2
2024-25,22400005,3,1610612749,2,3,2,0,0
2024-25,22400005,3,1610612761,4,2,2,2,1
2024-25,22400005,4,1610612749,4,4,2,1,1
2024-25,22400005,4,1610612761,2,2,1,0,1
2024-25,22400006,1,1610612756,3,4,4,2,0
2024-25,22400006,1,1610612762,0,0,0,0,0
2024-25,22400006,2,1610612756,3,4,3,1,0
2024-25,22400006,2,1610612762,4,3,1,2,0
2024-25,22400006,3,1610612756,5,6,5,2,0
2024-25,22400006,3,1610612762,3,0,0,3,0
2024-25,22400006,4,1610612756,5,8,4,4,0
2024-25,22400006,4,1610612762,4,6,6,1,0
2024-25,22400007,1,1610612742,7,11,8,1,0
2024-25,22400007,1,1610612744,4,4,2,2,0
2024-25,22400007,2,1610612742,2,4,3,0,0
2024-25,22400007,2,1610612744,6,9,5,1,0
2024-25,22400007,3,1610612742,4,5,5,1,0
2024-25,22400007,3,1610612744,6,8,4,2,0
2024-25,22400007,4,1610612742,4,4,2,1,0
2024-25,22400007,4,1610612744,5,6,5,3,0
2024-25,22400008,1,1610612750,4,4,3,2,0
