alpha_regime,sweep,anchor_d,anchor_N,kbar_in,d,N,rep,method,alpha_low,alpha_high,max_parents,avg_indegree,dag_generation_mode,realized_avg_indegree,parallel_workers,seed,method_seed,runtime_sec,local_score_runtime_sec,search_runtime_sec,n_local_scores_evaluated,score,directed_f1,skeleton_f1,exact_dag,family_accuracy,alpha_rmse_if_exact,alpha_rmse_on_correct_edges,alpha_mape_on_correct_edges_pct,alpha_rmse_on_true_edges,n_correct_directed_edges,n_true_edges,n_est_directed_edges,n_est_undirected_edges,true_families,true_exogenous_params,true_alpha_matrix,selected_families,true_edges,estimated_directed_edges,estimated_undirected_edges
common,d,4,3200,1.5,4.0,3200,0,LibraryDP,0.15,0.85,5,1.5,exact_edges,1.5,12,9287036761441287670,5670637362360280288,0.217064800002845,0.2169766000006348,8.820000221021473e-05,32.0,73220.6100168516,1.0,1.0,1.0,1.0,0.046034384933035,0.046034384933035,13.0068861331921,0.046034384933035,6.0,6.0,6.0,0.0,"Poisson,Poisson,ZIP,NB","[{""lam"":6.153647695556433},{""lam"":7.125325303708106},{""lam"":9.929170650705323,""rho"":0.7678756169476246},{""p"":0.2650136309274761,""r"":7.623644496298911}]","[[0.0,0.0,0.0,0.0],[0.3697575919783966,0.0,0.0,0.0],[0.8475402330879446,0.3973438850024714,0.0,0.0],[0.6814338575819396,0.37258263464338115,0.18241913607562935,0.0]]","Poisson,Poisson,ZIP,NB",0->1;0->2;0->3;1->2;1->3;2->3,0->1;0->2;0->3;1->2;1->3;2->3,
common,d,4,3200,1.5,4.0,3200,0,LibraryGreedy,0.15,0.85,5,1.5,exact_edges,1.5,12,9287036761441287670,4641663288857415079,0.185774899990065,0.1852432000159751,0.0005316999740898,25.0,73220.6100168516,1.0,1.0,1.0,1.0,0.046034384933035,0.046034384933035,13.0068861331921,0.046034384933035,6.0,6.0,6.0,0.0,"Poisson,Poisson,ZIP,NB","[{""lam"":6.153647695556433},{""lam"":7.125325303708106},{""lam"":9.929170650705323,""rho"":0.7678756169476246},{""p"":0.2650136309274761,""r"":7.623644496298911}]","[[0.0,0.0,0.0,0.0],[0.3697575919783966,0.0,0.0,0.0],[0.8475402330879446,0.3973438850024714,0.0,0.0],[0.6814338575819396,0.37258263464338115,0.18241913607562935,0.0]]","Poisson,Poisson,ZIP,NB",0->1;0->2;0->3;1->2;1->3;2->3,0->1;0->2;0->3;1->2;1->3;2->3,
common,d,4,3200,1.5,4.0,3200,0,OracleDP,0.15,0.85,5,1.5,exact_edges,1.5,12,9287036761441287670,12441344515064899291,0.0185657999973045,0.0185217999969609,4.400000034365803e-05,32.0,73220.6100168516,1.0,1.0,1.0,1.0,0.046034384933035,0.046034384933035,13.0068861331921,0.046034384933035,6.0,6.0,6.0,0.0,"Poisson,Poisson,ZIP,NB","[{""lam"":6.153647695556433},{""lam"":7.125325303708106},{""lam"":9.929170650705323,""rho"":0.7678756169476246},{""p"":0.2650136309274761,""r"":7.623644496298911}]","[[0.0,0.0,0.0,0.0],[0.3697575919783966,0.0,0.0,0.0],[0.8475402330879446,0.3973438850024714,0.0,0.0],[0.6814338575819396,0.37258263464338115,0.18241913607562935,0.0]]","Poisson,Poisson,ZIP,NB",0->1;0->2;0->3;1->2;1->3;2->3,0->1;0->2;0->3;1->2;1->3;2->3,
common,d,4,3200,1.5,4.0,3200,0,PC-RCIT,0.15,0.85,5,1.5,exact_edges,1.5,12,9287036761441287670,4237152050877058857,1.023827800003346,,,,,0.0,1.0,0.0,,,,,,0.0,6.0,0.0,6.0,"Poisson,Poisson,ZIP,NB","[{""lam"":6.153647695556433},{""lam"":7.125325303708106},{""lam"":9.929170650705323,""rho"":0.7678756169476246},{""p"":0.2650136309274761,""r"":7.623644496298911}]","[[0.0,0.0,0.0,0.0],[0.3697575919783966,0.0,0.0,0.0],[0.8475402330879446,0.3973438850024714,0.0,0.0],[0.6814338575819396,0.37258263464338115,0.18241913607562935,0.0]]",,0->1;0->2;0->3;1->2;1->3;2->3,,0--1;0--2;0--3;1--2;1--3;2--3
common,d,4,3200,1.5,4.0,3200,0,PBSCM,0.15,0.85,5,1.5,exact_edges,1.5,12,9287036761441287670,2072584005247950332,2.2963154000026407,,,,,0.0,0.9090909090909092,0.0,,,,,,0.0,6.0,1.0,4.0,"Poisson,Poisson,ZIP,NB","[{""lam"":6.153647695556433},{""lam"":7.125325303708106},{""lam"":9.929170650705323,""rho"":0.7678756169476246},{""p"":0.2650136309274761,""r"":7.623644496298911}]","[[0.0,0.0,0.0,0.0],[0.3697575919783966,0.0,0.0,0.0],[0.8475402330879446,0.3973438850024714,0.0,0.0],[0.6814338575819396,0.37258263464338115,0.18241913607562935,0.0]]",,0->1;0->2;0->3;1->2;1->3;2->3,3->0,0--1;0--2;1--2;1--3
common,d,4,3200,1.5,4.0,3200,0,PBSCM_PGF,0.15,0.85,5,1.5,exact_edges,1.5,12,9287036761441287670,945645802410890858,0.0560666999954264,,,,,0.0,0.2857142857142857,0.0,,,,,,0.0,6.0,0.0,1.0,"Poisson,Poisson,ZIP,NB","[{""lam"":6.153647695556433},{""lam"":7.125325303708106},{""lam"":9.929170650705323,""rho"":0.7678756169476246},{""p"":0.2650136309274761,""r"":7.623644496298911}]","[[0.0,0.0,0.0,0.0],[0.3697575919783966,0.0,0.0,0.0],[0.8475402330879446,0.3973438850024714,0.0,0.0],[0.6814338575819396,0.37258263464338115,0.18241913607562935,0.0]]",,0->1;0->2;0->3;1->2;1->3;2->3,,0--3
common,d,4,3200,1.5,4.0,3200,0,PoissonDAG-ODS,0.15,0.85,5,1.5,exact_edges,1.5,12,9287036761441287670,7325150538810647629,0.1536075999902095,,,,,1.0,1.0,1.0,,,,,,6.0,6.0,6.0,0.0,"Poisson,Poisson,ZIP,NB","[{""lam"":6.153647695556433},{""lam"":7.125325303708106},{""lam"":9.929170650705323,""rho"":0.7678756169476246},{""p"":0.2650136309274761,""r"":7.623644496298911}]","[[0.0,0.0,0.0,0.0],[0.3697575919783966,0.0,0.0,0.0],[0.8475402330879446,0.3973438850024714,0.0,0.0],[0.6814338575819396,0.37258263464338115,0.18241913607562935,0.0]]",,0->1;0->2;0->3;1->2;1->3;2->3,0->1;0->2;0->3;1->2;1->3;2->3,
common,d,4,3200,1.5,4.0,3200,1,LibraryDP,0.15,0.85,5,1.5,exact_edges,1.5,12,5264105092107750586,7790928789930410385,0.1612356999976327,0.1611362999974517,9.940000018104912e-05,32.0,43115.226531718654,0.9090909090909092,0.9090909090909092,0.0,1.0,,0.0147487159848864,1.8862427437041955,0.0946464716772145,5.0,6.0,5.0,0.0,"Bernoulli,Bernoulli,NB,NB","[{""p"":0.7728375190411865},{""p"":0.7930871324379924},{""p"":0.4872831266196409,""r"":2.6241261450475273},{""p"":0.46525288648793384,""r"":5.3086681953537544}]","[[0.0,0.0,0.0,0.0],[0.6868411511592888,0.0,0.0,0.0],[0.8365289514432329,0.3434779669913216,0.0,0.0],[0.2294778954271204,0.5071083278301922,0.6306888645170373,0.0]]","Bernoulli,Bernoulli,NB,NB",0->1;0->2;0->3;1->2;1->3;2->3,0->1;0->2;1->2;1->3;2->3,
common,d,4,3200,1.5,4.0,3200,1,LibraryGreedy,0.15,0.85,5,1.5,exact_edges,1.5,12,5264105092107750586,4989881332060759244,0.1238348000042606,0.1233938000368652,0.0004409999673953,24.0,43115.226531718654,0.9090909090909092,0.9090909090909092,0.0,1.0,,0.0147487159848864,1.8862427437041955,0.0946464716772145,5.0,6.0,5.0,0.0,"Bernoulli,Bernoulli,NB,NB","[{""p"":0.7728375190411865},{""p"":0.7930871324379924},{""p"":0.4872831266196409,""r"":2.6241261450475273},{""p"":0.46525288648793384,""r"":5.3086681953537544}]","[[0.0,0.0,0.0,0.0],[0.6868411511592888,0.0,0.0,0.0],[0.8365289514432329,0.3434779669913216,0.0,0.0],[0.2294778954271204,0.5071083278301922,0.6306888645170373,0.0]]","Bernoulli,Bernoulli,NB,NB",0->1;0->2;0->3;1->2;1->3;2->3,0->1;0->2;1->2;1->3;2->3,
common,d,4,3200,1.5,4.0,3200,1,OracleDP,0.15,0.85,5,1.5,exact_edges,1.5,12,5264105092107750586,6203858501554708562,0.032962099998258,0.032903700004681,5.839999357704073e-05,32.0,43115.226531718654,0.9090909090909092,0.9090909090909092,0.0,1.0,,0.0147487159848864,1.8862427437041955,0.0946464716772145,5.0,6.0,5.0,0.0,"Bernoulli,Bernoulli,NB,NB","[{""p"":0.7728375190411865},{""p"":0.7930871324379924},{""p"":0.4872831266196409,""r"":2.6241261450475273},{""p"":0.46525288648793384,""r"":5.3086681953537544}]","[[0.0,0.0,0.0,0.0],[0.6868411511592888,0.0,0.0,0.0],[0.8365289514432329,0.3434779669913216,0.0,0.0],[0.2294778954271204,0.5071083278301922,0.6306888645170373,0.0]]","Bernoulli,Bernoulli,NB,NB",0->1;0->2;0->3;1->2;1->3;2->3,0->1;0->2;1->2;1->3;2->3,
