alpha_regime,sweep,anchor_d,anchor_N,kbar_in,d,N,rep,method,alpha_low,alpha_high,max_parents,avg_indegree,dag_generation_mode,realized_avg_indegree,parallel_workers,seed,method_seed,runtime_sec,local_score_runtime_sec,search_runtime_sec,n_local_scores_evaluated,score,directed_f1,skeleton_f1,exact_dag,family_accuracy,alpha_rmse_if_exact,alpha_rmse_on_correct_edges,alpha_mape_on_correct_edges_pct,alpha_rmse_on_true_edges,n_correct_directed_edges,n_true_edges,n_est_directed_edges,n_est_undirected_edges,true_families,true_exogenous_params,true_alpha_matrix,selected_families,true_edges,estimated_directed_edges,estimated_undirected_edges
common,N,8,100,1.5,8,100.0,0,LibraryDP,0.15,0.85,5,1.5,exact_edges,1.5,12,18086829191487821512,4856902855386130098,0.705941400010488,0.7051885000109905,0.0007528999994974,960.0,4040.714754413043,0.5555555555555556,0.6666666666666666,0.0,0.75,,0.1144233077238552,25.771711402971317,0.4460575811862028,5.0,12.0,6.0,0.0,"Bernoulli,NB,Geom,ZIP,NB,Poisson,ZIP,Geom","[{""p"":0.44065687324129077},{""p"":0.5829798335252727,""r"":6.971187803102314},{""mean"":8.663757501541035,""p"":0.10347941779794605},{""lam"":3.2370825798524576,""rho"":0.7069633072686469},{""p"":0.44441973012038305,""r"":3.1785966291792347},{""lam"":8.954069816760653},{""lam"":5.681281998339578,""rho"":0.16246534565490958},{""mean"":7.849868790323138,""p"":0.11299602555615816}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.4532679019849637,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.38260170895552,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.8102580200076365,0.6726116524506895,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.32759060482069347,0.7108574146317775,0.0,0.0,0.21396596473033708,0.0,0.0,0.0],[0.2837834699343299,0.0,0.0,0.4965658173974117,0.449633778617489,0.0,0.0,0.0],[0.8206923340768192,0.0,0.0,0.0,0.7030752167171985,0.0,0.0,0.0]]","Bernoulli,Poisson,Geom,NB,NB,Poisson,ZIP,Geom",0->1;0->2;0->3;0->5;0->6;0->7;1->3;1->5;3->6;4->5;4->6;4->7,1->5;3->1;3->6;4->5;4->6;4->7,
common,N,8,100,1.5,8,100.0,0,LibraryGreedy,0.15,0.85,5,1.5,exact_edges,1.5,12,18086829191487821512,3529937506805223647,0.0483553999947616,0.0461900998925557,0.0021653001022059,98.0,4040.714754413043,0.5555555555555556,0.6666666666666666,0.0,0.75,,0.1144233077238552,25.771711402971317,0.4460575811862028,5.0,12.0,6.0,0.0,"Bernoulli,NB,Geom,ZIP,NB,Poisson,ZIP,Geom","[{""p"":0.44065687324129077},{""p"":0.5829798335252727,""r"":6.971187803102314},{""mean"":8.663757501541035,""p"":0.10347941779794605},{""lam"":3.2370825798524576,""rho"":0.7069633072686469},{""p"":0.44441973012038305,""r"":3.1785966291792347},{""lam"":8.954069816760653},{""lam"":5.681281998339578,""rho"":0.16246534565490958},{""mean"":7.849868790323138,""p"":0.11299602555615816}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.4532679019849637,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.38260170895552,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.8102580200076365,0.6726116524506895,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.32759060482069347,0.7108574146317775,0.0,0.0,0.21396596473033708,0.0,0.0,0.0],[0.2837834699343299,0.0,0.0,0.4965658173974117,0.449633778617489,0.0,0.0,0.0],[0.8206923340768192,0.0,0.0,0.0,0.7030752167171985,0.0,0.0,0.0]]","Bernoulli,Poisson,Geom,NB,NB,Poisson,ZIP,Geom",0->1;0->2;0->3;0->5;0->6;0->7;1->3;1->5;3->6;4->5;4->6;4->7,1->5;3->1;3->6;4->5;4->6;4->7,
common,N,8,100,1.5,8,100.0,0,OracleDP,0.15,0.85,5,1.5,exact_edges,1.5,12,18086829191487821512,12904713069498771178,0.0554998000152409,0.0547269000089727,0.0007729000062681,960.0,4044.802968617823,0.6666666666666666,0.6666666666666666,0.0,1.0,,0.1195527946808963,25.00635213155689,0.4036805369901138,6.0,12.0,6.0,0.0,"Bernoulli,NB,Geom,ZIP,NB,Poisson,ZIP,Geom","[{""p"":0.44065687324129077},{""p"":0.5829798335252727,""r"":6.971187803102314},{""mean"":8.663757501541035,""p"":0.10347941779794605},{""lam"":3.2370825798524576,""rho"":0.7069633072686469},{""p"":0.44441973012038305,""r"":3.1785966291792347},{""lam"":8.954069816760653},{""lam"":5.681281998339578,""rho"":0.16246534565490958},{""mean"":7.849868790323138,""p"":0.11299602555615816}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.4532679019849637,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.38260170895552,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.8102580200076365,0.6726116524506895,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.32759060482069347,0.7108574146317775,0.0,0.0,0.21396596473033708,0.0,0.0,0.0],[0.2837834699343299,0.0,0.0,0.4965658173974117,0.449633778617489,0.0,0.0,0.0],[0.8206923340768192,0.0,0.0,0.0,0.7030752167171985,0.0,0.0,0.0]]","Bernoulli,NB,Geom,ZIP,NB,Poisson,ZIP,Geom",0->1;0->2;0->3;0->5;0->6;0->7;1->3;1->5;3->6;4->5;4->6;4->7,1->3;1->5;3->6;4->5;4->6;4->7,
common,N,8,100,1.5,8,100.0,0,PC-RCIT,0.15,0.85,5,1.5,exact_edges,1.5,12,18086829191487821512,16788294417426410947,0.0790632999996887,,,,,0.0,0.4,0.0,,,,,,0.0,12.0,2.0,1.0,"Bernoulli,NB,Geom,ZIP,NB,Poisson,ZIP,Geom","[{""p"":0.44065687324129077},{""p"":0.5829798335252727,""r"":6.971187803102314},{""mean"":8.663757501541035,""p"":0.10347941779794605},{""lam"":3.2370825798524576,""rho"":0.7069633072686469},{""p"":0.44441973012038305,""r"":3.1785966291792347},{""lam"":8.954069816760653},{""lam"":5.681281998339578,""rho"":0.16246534565490958},{""mean"":7.849868790323138,""p"":0.11299602555615816}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.4532679019849637,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.38260170895552,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.8102580200076365,0.6726116524506895,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.32759060482069347,0.7108574146317775,0.0,0.0,0.21396596473033708,0.0,0.0,0.0],[0.2837834699343299,0.0,0.0,0.4965658173974117,0.449633778617489,0.0,0.0,0.0],[0.8206923340768192,0.0,0.0,0.0,0.7030752167171985,0.0,0.0,0.0]]",,0->1;0->2;0->3;0->5;0->6;0->7;1->3;1->5;3->6;4->5;4->6;4->7,3->1;5->1,3--6
common,N,8,100,1.5,8,100.0,0,PBSCM,0.15,0.85,5,1.5,exact_edges,1.5,12,18086829191487821512,1937551259082137234,0.2280486000090604,,,,,0.0,0.0,0.0,,,,,,0.0,12.0,0.0,1.0,"Bernoulli,NB,Geom,ZIP,NB,Poisson,ZIP,Geom","[{""p"":0.44065687324129077},{""p"":0.5829798335252727,""r"":6.971187803102314},{""mean"":8.663757501541035,""p"":0.10347941779794605},{""lam"":3.2370825798524576,""rho"":0.7069633072686469},{""p"":0.44441973012038305,""r"":3.1785966291792347},{""lam"":8.954069816760653},{""lam"":5.681281998339578,""rho"":0.16246534565490958},{""mean"":7.849868790323138,""p"":0.11299602555615816}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.4532679019849637,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.38260170895552,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.8102580200076365,0.6726116524506895,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.32759060482069347,0.7108574146317775,0.0,0.0,0.21396596473033708,0.0,0.0,0.0],[0.2837834699343299,0.0,0.0,0.4965658173974117,0.449633778617489,0.0,0.0,0.0],[0.8206923340768192,0.0,0.0,0.0,0.7030752167171985,0.0,0.0,0.0]]",,0->1;0->2;0->3;0->5;0->6;0->7;1->3;1->5;3->6;4->5;4->6;4->7,,2--5
common,N,8,100,1.5,8,100.0,0,PBSCM_PGF,0.15,0.85,5,1.5,exact_edges,1.5,12,18086829191487821512,13469406762729247417,0.0740903999976581,,,,,0.0,0.1538461538461538,0.0,,,,,,0.0,12.0,0.0,1.0,"Bernoulli,NB,Geom,ZIP,NB,Poisson,ZIP,Geom","[{""p"":0.44065687324129077},{""p"":0.5829798335252727,""r"":6.971187803102314},{""mean"":8.663757501541035,""p"":0.10347941779794605},{""lam"":3.2370825798524576,""rho"":0.7069633072686469},{""p"":0.44441973012038305,""r"":3.1785966291792347},{""lam"":8.954069816760653},{""lam"":5.681281998339578,""rho"":0.16246534565490958},{""mean"":7.849868790323138,""p"":0.11299602555615816}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.4532679019849637,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.38260170895552,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.8102580200076365,0.6726116524506895,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.32759060482069347,0.7108574146317775,0.0,0.0,0.21396596473033708,0.0,0.0,0.0],[0.2837834699343299,0.0,0.0,0.4965658173974117,0.449633778617489,0.0,0.0,0.0],[0.8206923340768192,0.0,0.0,0.0,0.7030752167171985,0.0,0.0,0.0]]",,0->1;0->2;0->3;0->5;0->6;0->7;1->3;1->5;3->6;4->5;4->6;4->7,,1--3
common,N,8,100,1.5,8,100.0,0,PoissonDAG-ODS,0.15,0.85,5,1.5,exact_edges,1.5,12,18086829191487821512,12427128217274239060,0.1605332000035559,,,,,0.4,0.6285714285714286,0.0,,,,,,7.0,12.0,23.0,0.0,"Bernoulli,NB,Geom,ZIP,NB,Poisson,ZIP,Geom","[{""p"":0.44065687324129077},{""p"":0.5829798335252727,""r"":6.971187803102314},{""mean"":8.663757501541035,""p"":0.10347941779794605},{""lam"":3.2370825798524576,""rho"":0.7069633072686469},{""p"":0.44441973012038305,""r"":3.1785966291792347},{""lam"":8.954069816760653},{""lam"":5.681281998339578,""rho"":0.16246534565490958},{""mean"":7.849868790323138,""p"":0.11299602555615816}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.4532679019849637,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.38260170895552,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.8102580200076365,0.6726116524506895,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.32759060482069347,0.7108574146317775,0.0,0.0,0.21396596473033708,0.0,0.0,0.0],[0.2837834699343299,0.0,0.0,0.4965658173974117,0.449633778617489,0.0,0.0,0.0],[0.8206923340768192,0.0,0.0,0.0,0.7030752167171985,0.0,0.0,0.0]]",,0->1;0->2;0->3;0->5;0->6;0->7;1->3;1->5;3->6;4->5;4->6;4->7,0->1;0->3;0->4;0->5;0->6;0->7;1->2;1->3;1->4;1->5;1->7;2->3;3->4;5->2;5->4;5->6;5->7;6->2;6->3;6->4;6->7;7->2;7->4,
common,N,8,100,1.5,8,100.0,1,LibraryDP,0.15,0.85,5,1.5,exact_edges,1.5,12,8583434687954839353,16764492490997204298,0.9828148000087822,0.9820498000044608,0.0007650000043213,960.0,4134.638380876445,0.7272727272727272,0.7272727272727272,0.0,1.0,,0.1092382256787213,17.552358299859254,0.1980363092645052,8.0,12.0,10.0,0.0,"ZIP,ZIP,Poisson,ZIP,Bernoulli,NB,Poisson,Geom","[{""lam"":8.691756363157891,""rho"":0.37820709668909563},{""lam"":7.806614441326767,""rho"":0.6278109662539747},{""lam"":3.1012998488723147},{""lam"":8.78913849081844,""rho"":0.7154794470655345},{""p"":0.8390517518408727},{""p"":0.20236005217894482,""r"":8.807311166652948},{""lam"":8.337859189410983},{""mean"":4.782784080236375,""p"":0.17292708600649054}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.7754019631667505,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.27099339441892734,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.4381145009604096,0.0,0.0,0.0,0.0,0.0],[0.49139043811800087,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.3115612181429871,0.0,0.0,0.8453913641745389,0.21557820887757229,0.0,0.0,0.0],[0.0,0.3454405058005245,0.3240510611424588,0.0,0.0,0.0,0.0,0.0],[0.0,0.33043353782901197,0.0,0.0,0.3558134213722708,0.0,0.6263496342094351,0.0]]","ZIP,ZIP,Poisson,ZIP,Bernoulli,NB,Poisson,Geom",0->1;0->4;0->5;1->2;1->6;1->7;2->3;2->6;3->5;4->5;4->7;6->7,0->1;0->4;1->2;1->6;1->7;2->3;3->5;6->3;6->7;7->3,
common,N,8,100,1.5,8,100.0,1,LibraryGreedy,0.15,0.85,5,1.5,exact_edges,1.5,12,8583434687954839353,15809866309240361073,0.0812284999992698,0.0777578999841352,0.0034706000151345,121.0,4134.638380876443,0.7272727272727272,0.7272727272727272,0.0,1.0,,0.1092382256787213,17.552358299859254,0.1980363092645052,8.0,12.0,10.0,0.0,"ZIP,ZIP,Poisson,ZIP,Bernoulli,NB,Poisson,Geom","[{""lam"":8.691756363157891,""rho"":0.37820709668909563},{""lam"":7.806614441326767,""rho"":0.6278109662539747},{""lam"":3.1012998488723147},{""lam"":8.78913849081844,""rho"":0.7154794470655345},{""p"":0.8390517518408727},{""p"":0.20236005217894482,""r"":8.807311166652948},{""lam"":8.337859189410983},{""mean"":4.782784080236375,""p"":0.17292708600649054}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.7754019631667505,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.27099339441892734,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.4381145009604096,0.0,0.0,0.0,0.0,0.0],[0.49139043811800087,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.3115612181429871,0.0,0.0,0.8453913641745389,0.21557820887757229,0.0,0.0,0.0],[0.0,0.3454405058005245,0.3240510611424588,0.0,0.0,0.0,0.0,0.0],[0.0,0.33043353782901197,0.0,0.0,0.3558134213722708,0.0,0.6263496342094351,0.0]]","ZIP,ZIP,Poisson,ZIP,Bernoulli,NB,Poisson,Geom",0->1;0->4;0->5;1->2;1->6;1->7;2->3;2->6;3->5;4->5;4->7;6->7,0->1;0->4;1->2;1->6;1->7;2->3;3->5;6->3;6->7;7->3,
common,N,8,100,1.5,8,100.0,1,OracleDP,0.15,0.85,5,1.5,exact_edges,1.5,12,8583434687954839353,13214076520712840868,0.1026265999826137,0.1019582999870181,0.0006682999955955,960.0,4134.638380876445,0.7272727272727272,0.7272727272727272,0.0,1.0,,0.1092382256787213,17.552358299859254,0.1980363092645052,8.0,12.0,10.0,0.0,"ZIP,ZIP,Poisson,ZIP,Bernoulli,NB,Poisson,Geom","[{""lam"":8.691756363157891,""rho"":0.37820709668909563},{""lam"":7.806614441326767,""rho"":0.6278109662539747},{""lam"":3.1012998488723147},{""lam"":8.78913849081844,""rho"":0.7154794470655345},{""p"":0.8390517518408727},{""p"":0.20236005217894482,""r"":8.807311166652948},{""lam"":8.337859189410983},{""mean"":4.782784080236375,""p"":0.17292708600649054}]","[[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.7754019631667505,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.27099339441892734,0.0,0.0,0.0,0.0,0.0,0.0],[0.0,0.0,0.4381145009604096,0.0,0.0,0.0,0.0,0.0],[0.49139043811800087,0.0,0.0,0.0,0.0,0.0,0.0,0.0],[0.3115612181429871,0.0,0.0,0.8453913641745389,0.21557820887757229,0.0,0.0,0.0],[0.0,0.3454405058005245,0.3240510611424588,0.0,0.0,0.0,0.0,0.0],[0.0,0.33043353782901197,0.0,0.0,0.3558134213722708,0.0,0.6263496342094351,0.0]]","ZIP,ZIP,Poisson,ZIP,Bernoulli,NB,Poisson,Geom",0->1;0->4;0->5;1->2;1->6;1->7;2->3;2->6;3->5;4->5;4->7;6->7,0->1;0->4;1->2;1->6;1->7;2->3;3->5;6->3;6->7;7->3,
