alpha_regime,d,true_family,count,total_nodes,proportion,expected_proportion,deviation_from_one_sixth
common,4.0,Poisson,68,400,0.17,0.16666666666666666,0.003333333333333355
common,4.0,NB,72,400,0.18,0.16666666666666666,0.013333333333333336
common,4.0,ZIP,73,400,0.1825,0.16666666666666666,0.015833333333333338
common,4.0,Geom,60,400,0.15,0.16666666666666666,-0.016666666666666663
common,4.0,Binomial,65,400,0.1625,0.16666666666666666,-0.004166666666666652
common,4.0,Bernoulli,62,400,0.155,0.16666666666666666,-0.011666666666666659
common,5.0,Poisson,83,500,0.166,0.16666666666666666,-0.0006666666666666488
common,5.0,NB,83,500,0.166,0.16666666666666666,-0.0006666666666666488
common,5.0,ZIP,87,500,0.174,0.16666666666666666,0.007333333333333331
common,5.0,Geom,73,500,0.146,0.16666666666666666,-0.020666666666666667
common,5.0,Binomial,82,500,0.164,0.16666666666666666,-0.0026666666666666505
common,5.0,Bernoulli,92,500,0.184,0.16666666666666666,0.01733333333333334
common,6.0,Poisson,85,600,0.14166666666666666,0.16666666666666666,-0.024999999999999994
common,6.0,NB,95,600,0.15833333333333333,0.16666666666666666,-0.008333333333333331
common,6.0,ZIP,108,600,0.18,0.16666666666666666,0.013333333333333336
common,6.0,Geom,110,600,0.18333333333333332,0.16666666666666666,0.016666666666666663
common,6.0,Binomial,102,600,0.17,0.16666666666666666,0.003333333333333355
common,6.0,Bernoulli,100,600,0.16666666666666666,0.16666666666666666,0.0
common,7.0,Poisson,125,700,0.17857142857142858,0.16666666666666666,0.011904761904761918
common,7.0,NB,95,700,0.1357142857142857,0.16666666666666666,-0.030952380952380953
common,7.0,ZIP,107,700,0.15285714285714286,0.16666666666666666,-0.0138095238095238
common,7.0,Geom,107,700,0.15285714285714286,0.16666666666666666,-0.0138095238095238
common,7.0,Binomial,140,700,0.2,0.16666666666666666,0.033333333333333354
common,7.0,Bernoulli,126,700,0.18,0.16666666666666666,0.013333333333333336
common,8.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
common,8.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
common,8.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,8.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
common,8.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,8.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
common,9.0,Poisson,149,900,0.16555555555555557,0.16666666666666666,-0.0011111111111110905
common,9.0,NB,155,900,0.17222222222222222,0.16666666666666666,0.005555555555555564
common,9.0,ZIP,149,900,0.16555555555555557,0.16666666666666666,-0.0011111111111110905
common,9.0,Geom,146,900,0.1622222222222222,0.16666666666666666,-0.004444444444444445
common,9.0,Binomial,159,900,0.17666666666666667,0.16666666666666666,0.010000000000000009
common,9.0,Bernoulli,142,900,0.15777777777777777,0.16666666666666666,-0.00888888888888889
common,10.0,Poisson,179,1000,0.179,0.16666666666666666,0.012333333333333335
common,10.0,NB,169,1000,0.169,0.16666666666666666,0.002333333333333354
common,10.0,ZIP,147,1000,0.147,0.16666666666666666,-0.019666666666666666
common,10.0,Geom,167,1000,0.167,0.16666666666666666,0.00033333333333335213
common,10.0,Binomial,167,1000,0.167,0.16666666666666666,0.00033333333333335213
common,10.0,Bernoulli,171,1000,0.171,0.16666666666666666,0.004333333333333356
expanded,4.0,Poisson,68,400,0.17,0.16666666666666666,0.003333333333333355
expanded,4.0,NB,72,400,0.18,0.16666666666666666,0.013333333333333336
expanded,4.0,ZIP,73,400,0.1825,0.16666666666666666,0.015833333333333338
expanded,4.0,Geom,60,400,0.15,0.16666666666666666,-0.016666666666666663
expanded,4.0,Binomial,65,400,0.1625,0.16666666666666666,-0.004166666666666652
expanded,4.0,Bernoulli,62,400,0.155,0.16666666666666666,-0.011666666666666659
expanded,5.0,Poisson,83,500,0.166,0.16666666666666666,-0.0006666666666666488
expanded,5.0,NB,83,500,0.166,0.16666666666666666,-0.0006666666666666488
expanded,5.0,ZIP,87,500,0.174,0.16666666666666666,0.007333333333333331
expanded,5.0,Geom,73,500,0.146,0.16666666666666666,-0.020666666666666667
expanded,5.0,Binomial,82,500,0.164,0.16666666666666666,-0.0026666666666666505
expanded,5.0,Bernoulli,92,500,0.184,0.16666666666666666,0.01733333333333334
expanded,6.0,Poisson,85,600,0.14166666666666666,0.16666666666666666,-0.024999999999999994
expanded,6.0,NB,95,600,0.15833333333333333,0.16666666666666666,-0.008333333333333331
expanded,6.0,ZIP,108,600,0.18,0.16666666666666666,0.013333333333333336
expanded,6.0,Geom,110,600,0.18333333333333332,0.16666666666666666,0.016666666666666663
expanded,6.0,Binomial,102,600,0.17,0.16666666666666666,0.003333333333333355
expanded,6.0,Bernoulli,100,600,0.16666666666666666,0.16666666666666666,0.0
expanded,7.0,Poisson,125,700,0.17857142857142858,0.16666666666666666,0.011904761904761918
expanded,7.0,NB,95,700,0.1357142857142857,0.16666666666666666,-0.030952380952380953
expanded,7.0,ZIP,107,700,0.15285714285714286,0.16666666666666666,-0.0138095238095238
expanded,7.0,Geom,107,700,0.15285714285714286,0.16666666666666666,-0.0138095238095238
expanded,7.0,Binomial,140,700,0.2,0.16666666666666666,0.033333333333333354
expanded,7.0,Bernoulli,126,700,0.18,0.16666666666666666,0.013333333333333336
expanded,8.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
expanded,8.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
expanded,8.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,8.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
expanded,8.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,8.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
expanded,9.0,Poisson,149,900,0.16555555555555557,0.16666666666666666,-0.0011111111111110905
expanded,9.0,NB,155,900,0.17222222222222222,0.16666666666666666,0.005555555555555564
expanded,9.0,ZIP,149,900,0.16555555555555557,0.16666666666666666,-0.0011111111111110905
expanded,9.0,Geom,146,900,0.1622222222222222,0.16666666666666666,-0.004444444444444445
expanded,9.0,Binomial,159,900,0.17666666666666667,0.16666666666666666,0.010000000000000009
expanded,9.0,Bernoulli,142,900,0.15777777777777777,0.16666666666666666,-0.00888888888888889
expanded,10.0,Poisson,179,1000,0.179,0.16666666666666666,0.012333333333333335
expanded,10.0,NB,169,1000,0.169,0.16666666666666666,0.002333333333333354
expanded,10.0,ZIP,147,1000,0.147,0.16666666666666666,-0.019666666666666666
expanded,10.0,Geom,167,1000,0.167,0.16666666666666666,0.00033333333333335213
expanded,10.0,Binomial,167,1000,0.167,0.16666666666666666,0.00033333333333335213
expanded,10.0,Bernoulli,171,1000,0.171,0.16666666666666666,0.004333333333333356
