alpha_regime,sweep,anchor_d,anchor_N,kbar_in,d,method,true_family,selected_family,count,row_rate
common,d,4,3200,1.5,4.0,LibraryDP,Poisson,Poisson,67,0.9852941176470588
common,d,4,3200,1.5,4.0,LibraryDP,Poisson,NB,0,0.0
common,d,4,3200,1.5,4.0,LibraryDP,Poisson,ZIP,1,0.0147058823529411
common,d,4,3200,1.5,4.0,LibraryDP,Poisson,Geom,0,0.0
common,d,4,3200,1.5,4.0,LibraryDP,Poisson,Binomial,0,0.0
common,d,4,3200,1.5,4.0,LibraryDP,Poisson,Bernoulli,0,0.0
common,d,4,3200,1.5,4.0,LibraryDP,NB,Poisson,3,0.0416666666666666
common,d,4,3200,1.5,4.0,LibraryDP,NB,NB,68,0.9444444444444444
common,d,4,3200,1.5,4.0,LibraryDP,NB,ZIP,0,0.0
common,d,4,3200,1.5,4.0,LibraryDP,NB,Geom,1,0.0138888888888888
common,d,4,3200,1.5,4.0,LibraryDP,NB,Binomial,0,0.0
common,d,4,3200,1.5,4.0,LibraryDP,NB,Bernoulli,0,0.0
common,d,4,3200,1.5,4.0,LibraryDP,ZIP,Poisson,0,0.0
common,d,4,3200,1.5,4.0,LibraryDP,ZIP,NB,1,0.0136986301369863
common,d,4,3200,1.5,4.0,LibraryDP,ZIP,ZIP,72,0.9863013698630136
common,d,4,3200,1.5,4.0,LibraryDP,ZIP,Geom,0,0.0
common,d,4,3200,1.5,4.0,LibraryDP,ZIP,Binomial,0,0.0
common,d,4,3200,1.5,4.0,LibraryDP,ZIP,Bernoulli,0,0.0
common,d,4,3200,1.5,4.0,LibraryDP,Geom,Poisson,0,0.0
common,d,4,3200,1.5,4.0,LibraryDP,Geom,NB,12,0.2
common,d,4,3200,1.5,4.0,LibraryDP,Geom,ZIP,0,0.0
common,d,4,3200,1.5,4.0,LibraryDP,Geom,Geom,48,0.8
common,d,4,3200,1.5,4.0,LibraryDP,Geom,Binomial,0,0.0
common,d,4,3200,1.5,4.0,LibraryDP,Geom,Bernoulli,0,0.0
common,d,4,3200,1.5,4.0,LibraryDP,Binomial,Poisson,7,0.1076923076923077
common,d,4,3200,1.5,4.0,LibraryDP,Binomial,NB,1,0.0153846153846153
common,d,4,3200,1.5,4.0,LibraryDP,Binomial,ZIP,0,0.0
common,d,4,3200,1.5,4.0,LibraryDP,Binomial,Geom,0,0.0
common,d,4,3200,1.5,4.0,LibraryDP,Binomial,Binomial,56,0.8615384615384616
common,d,4,3200,1.5,4.0,LibraryDP,Binomial,Bernoulli,1,0.0153846153846153
common,d,4,3200,1.5,4.0,LibraryDP,Bernoulli,Poisson,8,0.1290322580645161
common,d,4,3200,1.5,4.0,LibraryDP,Bernoulli,NB,0,0.0
common,d,4,3200,1.5,4.0,LibraryDP,Bernoulli,ZIP,0,0.0
common,d,4,3200,1.5,4.0,LibraryDP,Bernoulli,Geom,2,0.032258064516129
common,d,4,3200,1.5,4.0,LibraryDP,Bernoulli,Binomial,1,0.0161290322580645
common,d,4,3200,1.5,4.0,LibraryDP,Bernoulli,Bernoulli,51,0.8225806451612904
