alpha_regime,d,method,micro_family_accuracy,macro_family_accuracy,represented_true_families,node_predictions
common,4.0,LibraryDP,0.905,0.9000265064423779,6,400
common,4.0,LibraryGreedy,0.825,0.8199478335736816,6,400
common,4.0,OracleDP,1.0,1.0,6,400
common,5.0,LibraryDP,0.932,0.9297964603514947,6,500
common,5.0,LibraryGreedy,0.838,0.8369109748299118,6,500
common,5.0,OracleDP,1.0,1.0,6,500
common,6.0,LibraryDP,0.9033333333333333,0.9066745369067352,6,600
common,6.0,LibraryGreedy,0.8366666666666667,0.8375470042704305,6,600
common,6.0,OracleDP,1.0,1.0,6,600
common,7.0,LibraryDP,0.8957142857142857,0.893235359947116,6,700
common,7.0,LibraryGreedy,0.8571428571428571,0.8551957125419988,6,700
common,7.0,OracleDP,1.0,1.0,6,700
common,8.0,LibraryDP,0.90875,0.9119683039875471,6,800
common,8.0,LibraryGreedy,0.86375,0.8654555319039491,6,800
common,8.0,OracleDP,1.0,1.0,6,800
common,9.0,LibraryDP,0.9011111111111111,0.9003983641024775,6,900
common,9.0,LibraryGreedy,0.8644444444444445,0.8633350598676875,6,900
common,9.0,OracleDP,1.0,1.0,6,900
common,10.0,LibraryDP,0.907,0.9068177520659485,6,1000
common,10.0,LibraryGreedy,0.881,0.8812335181082286,6,1000
common,10.0,OracleDP,1.0,1.0,6,1000
expanded,4.0,LibraryDP,0.86,0.8588714555848891,6,400
expanded,4.0,LibraryGreedy,0.7325,0.7316634256121143,6,400
expanded,4.0,OracleDP,1.0,1.0,6,400
expanded,5.0,LibraryDP,0.83,0.827497393281898,6,500
expanded,5.0,LibraryGreedy,0.698,0.6965182296434187,6,500
expanded,5.0,OracleDP,1.0,1.0,6,500
expanded,6.0,LibraryDP,0.81,0.8145833289899337,6,600
expanded,6.0,LibraryGreedy,0.695,0.6958680544697057,6,600
expanded,6.0,OracleDP,1.0,1.0,6,600
expanded,7.0,LibraryDP,0.8128571428571428,0.8117002396958126,6,700
expanded,7.0,LibraryGreedy,0.7757142857142857,0.7733308791188772,6,700
expanded,7.0,OracleDP,1.0,1.0,6,700
expanded,8.0,LibraryDP,0.81,0.8131025473662943,6,800
expanded,8.0,LibraryGreedy,0.75625,0.7576570703388269,6,800
expanded,8.0,OracleDP,1.0,1.0,6,800
expanded,9.0,LibraryDP,0.7455555555555555,0.7448065058270407,6,900
expanded,9.0,LibraryGreedy,0.7411111111111112,0.73983874236139,6,900
expanded,9.0,OracleDP,1.0,1.0,6,900
expanded,10.0,LibraryDP,0.75,0.7494020739644803,6,1000
expanded,10.0,LibraryGreedy,0.78,0.7795401830355339,6,1000
expanded,10.0,OracleDP,1.0,1.0,6,1000
