alpha_regime,N,true_family,count,total_nodes,proportion,expected_proportion,deviation_from_one_sixth
common,100.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
common,100.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
common,100.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,100.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
common,100.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,100.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
common,200.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
common,200.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
common,200.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,200.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
common,200.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,200.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
common,400.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
common,400.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
common,400.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,400.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
common,400.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,400.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
common,800.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
common,800.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
common,800.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,800.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
common,800.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,800.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
common,1600.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
common,1600.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
common,1600.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,1600.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
common,1600.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,1600.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
common,2400.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
common,2400.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
common,2400.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,2400.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
common,2400.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,2400.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
common,3200.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
common,3200.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
common,3200.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,3200.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
common,3200.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,3200.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
common,6400.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
common,6400.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
common,6400.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,6400.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
common,6400.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,6400.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
common,10000.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
common,10000.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
common,10000.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,10000.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
common,10000.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,10000.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
expanded,100.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
expanded,100.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
expanded,100.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,100.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
expanded,100.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,100.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
expanded,200.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
expanded,200.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
expanded,200.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,200.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
expanded,200.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,200.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
expanded,400.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
expanded,400.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
expanded,400.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,400.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
expanded,400.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,400.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
expanded,800.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
expanded,800.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
expanded,800.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,800.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
expanded,800.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,800.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
expanded,1600.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
expanded,1600.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
expanded,1600.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,1600.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
expanded,1600.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,1600.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
expanded,2400.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
expanded,2400.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
expanded,2400.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,2400.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
expanded,2400.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,2400.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
expanded,3200.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
expanded,3200.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
expanded,3200.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,3200.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
expanded,3200.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,3200.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
expanded,6400.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
expanded,6400.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
expanded,6400.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,6400.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
expanded,6400.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,6400.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
expanded,10000.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
expanded,10000.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
expanded,10000.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,10000.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
expanded,10000.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,10000.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
