alpha_regime,sweep,N,anchor_d,anchor_N,kbar_in,d,method,true_family,selected_family,count,row_rate
common,N,100.0,8,100,1.5,8,LibraryDP,Poisson,Poisson,109,0.9159663865546218
common,N,100.0,8,100,1.5,8,LibraryDP,Poisson,NB,1,0.0084033613445378
common,N,100.0,8,100,1.5,8,LibraryDP,Poisson,ZIP,2,0.0168067226890756
common,N,100.0,8,100,1.5,8,LibraryDP,Poisson,Geom,1,0.0084033613445378
common,N,100.0,8,100,1.5,8,LibraryDP,Poisson,Binomial,5,0.042016806722689
common,N,100.0,8,100,1.5,8,LibraryDP,Poisson,Bernoulli,1,0.0084033613445378
common,N,100.0,8,100,1.5,8,LibraryDP,NB,Poisson,40,0.2702702702702703
common,N,100.0,8,100,1.5,8,LibraryDP,NB,NB,73,0.4932432432432432
common,N,100.0,8,100,1.5,8,LibraryDP,NB,ZIP,6,0.0405405405405405
common,N,100.0,8,100,1.5,8,LibraryDP,NB,Geom,25,0.1689189189189189
common,N,100.0,8,100,1.5,8,LibraryDP,NB,Binomial,1,0.0067567567567567
common,N,100.0,8,100,1.5,8,LibraryDP,NB,Bernoulli,3,0.0202702702702702
common,N,100.0,8,100,1.5,8,LibraryDP,ZIP,Poisson,4,0.032258064516129
common,N,100.0,8,100,1.5,8,LibraryDP,ZIP,NB,9,0.0725806451612903
common,N,100.0,8,100,1.5,8,LibraryDP,ZIP,ZIP,84,0.6774193548387096
common,N,100.0,8,100,1.5,8,LibraryDP,ZIP,Geom,25,0.2016129032258064
common,N,100.0,8,100,1.5,8,LibraryDP,ZIP,Binomial,0,0.0
common,N,100.0,8,100,1.5,8,LibraryDP,ZIP,Bernoulli,2,0.0161290322580645
common,N,100.0,8,100,1.5,8,LibraryDP,Geom,Poisson,0,0.0
common,N,100.0,8,100,1.5,8,LibraryDP,Geom,NB,34,0.2328767123287671
common,N,100.0,8,100,1.5,8,LibraryDP,Geom,ZIP,3,0.0205479452054794
common,N,100.0,8,100,1.5,8,LibraryDP,Geom,Geom,109,0.7465753424657534
common,N,100.0,8,100,1.5,8,LibraryDP,Geom,Binomial,0,0.0
common,N,100.0,8,100,1.5,8,LibraryDP,Geom,Bernoulli,0,0.0
common,N,100.0,8,100,1.5,8,LibraryDP,Binomial,Poisson,52,0.4193548387096774
common,N,100.0,8,100,1.5,8,LibraryDP,Binomial,NB,0,0.0
common,N,100.0,8,100,1.5,8,LibraryDP,Binomial,ZIP,0,0.0
common,N,100.0,8,100,1.5,8,LibraryDP,Binomial,Geom,2,0.0161290322580645
common,N,100.0,8,100,1.5,8,LibraryDP,Binomial,Binomial,61,0.4919354838709677
common,N,100.0,8,100,1.5,8,LibraryDP,Binomial,Bernoulli,9,0.0725806451612903
common,N,100.0,8,100,1.5,8,LibraryDP,Bernoulli,Poisson,33,0.237410071942446
common,N,100.0,8,100,1.5,8,LibraryDP,Bernoulli,NB,1,0.0071942446043165
common,N,100.0,8,100,1.5,8,LibraryDP,Bernoulli,ZIP,1,0.0071942446043165
common,N,100.0,8,100,1.5,8,LibraryDP,Bernoulli,Geom,20,0.1438848920863309
common,N,100.0,8,100,1.5,8,LibraryDP,Bernoulli,Binomial,1,0.0071942446043165
common,N,100.0,8,100,1.5,8,LibraryDP,Bernoulli,Bernoulli,83,0.5971223021582733
common,N,100.0,8,100,1.5,8,LibraryGreedy,Poisson,Poisson,103,0.865546218487395
common,N,100.0,8,100,1.5,8,LibraryGreedy,Poisson,NB,3,0.0252100840336134
common,N,100.0,8,100,1.5,8,LibraryGreedy,Poisson,ZIP,2,0.0168067226890756
common,N,100.0,8,100,1.5,8,LibraryGreedy,Poisson,Geom,1,0.0084033613445378
common,N,100.0,8,100,1.5,8,LibraryGreedy,Poisson,Binomial,9,0.0756302521008403
common,N,100.0,8,100,1.5,8,LibraryGreedy,Poisson,Bernoulli,1,0.0084033613445378
common,N,100.0,8,100,1.5,8,LibraryGreedy,NB,Poisson,37,0.25
common,N,100.0,8,100,1.5,8,LibraryGreedy,NB,NB,75,0.5067567567567568
common,N,100.0,8,100,1.5,8,LibraryGreedy,NB,ZIP,5,0.0337837837837837
common,N,100.0,8,100,1.5,8,LibraryGreedy,NB,Geom,26,0.1756756756756756
common,N,100.0,8,100,1.5,8,LibraryGreedy,NB,Binomial,1,0.0067567567567567
common,N,100.0,8,100,1.5,8,LibraryGreedy,NB,Bernoulli,4,0.027027027027027
common,N,100.0,8,100,1.5,8,LibraryGreedy,ZIP,Poisson,5,0.0403225806451612
common,N,100.0,8,100,1.5,8,LibraryGreedy,ZIP,NB,12,0.0967741935483871
common,N,100.0,8,100,1.5,8,LibraryGreedy,ZIP,ZIP,84,0.6774193548387096
common,N,100.0,8,100,1.5,8,LibraryGreedy,ZIP,Geom,19,0.1532258064516129
