alpha_regime,N,method,micro_family_accuracy,macro_family_accuracy,represented_true_families,node_predictions
common,100.0,LibraryDP,0.64875,0.6537103521885949,6,800
common,100.0,LibraryGreedy,0.64125,0.6452761380734783,6,800
common,100.0,OracleDP,1.0,1.0,6,800
common,200.0,LibraryDP,0.74,0.7449938605807859,6,800
common,200.0,LibraryGreedy,0.71875,0.7238012104550368,6,800
common,200.0,OracleDP,1.0,1.0,6,800
common,400.0,LibraryDP,0.79375,0.7998586151937065,6,800
common,400.0,LibraryGreedy,0.73875,0.7437088058719526,6,800
common,400.0,OracleDP,1.0,1.0,6,800
common,800.0,LibraryDP,0.85,0.8551560236998713,6,800
common,800.0,LibraryGreedy,0.8175,0.8221741443808743,6,800
common,800.0,OracleDP,1.0,1.0,6,800
common,1600.0,LibraryDP,0.88875,0.8920555461854018,6,800
common,1600.0,LibraryGreedy,0.84375,0.8464538634188284,6,800
common,1600.0,OracleDP,1.0,1.0,6,800
common,2400.0,LibraryDP,0.91625,0.9193794944338566,6,800
common,2400.0,LibraryGreedy,0.875,0.8773341161771323,6,800
common,2400.0,OracleDP,1.0,1.0,6,800
common,3200.0,LibraryDP,0.90875,0.9119683039875471,6,800
common,3200.0,LibraryGreedy,0.86375,0.8654555319039491,6,800
common,3200.0,OracleDP,1.0,1.0,6,800
common,6400.0,LibraryDP,0.935,0.9377265430373454,6,800
common,6400.0,LibraryGreedy,0.90375,0.9053263689587201,6,800
common,6400.0,OracleDP,1.0,1.0,6,800
common,10000.0,LibraryDP,0.94375,0.9465267606292126,6,800
common,10000.0,LibraryGreedy,0.9025,0.9043034562410176,6,800
common,10000.0,OracleDP,1.0,1.0,6,800
expanded,100.0,LibraryDP,0.62375,0.6253845606807961,6,800
expanded,100.0,LibraryGreedy,0.5675,0.5679690413423558,6,800
expanded,100.0,OracleDP,1.0,1.0,6,800
expanded,200.0,LibraryDP,0.67125,0.6735448092268954,6,800
expanded,200.0,LibraryGreedy,0.6225,0.6246653122619817,6,800
expanded,200.0,OracleDP,1.0,1.0,6,800
expanded,400.0,LibraryDP,0.69875,0.701610616604163,6,800
expanded,400.0,LibraryGreedy,0.65625,0.6583647234766951,6,800
expanded,400.0,OracleDP,1.0,1.0,6,800
expanded,800.0,LibraryDP,0.74625,0.7486322983607541,6,800
expanded,800.0,LibraryGreedy,0.71125,0.7121073455113214,6,800
expanded,800.0,OracleDP,1.0,1.0,6,800
expanded,1600.0,LibraryDP,0.77125,0.7744914425666806,6,800
expanded,1600.0,LibraryGreedy,0.735,0.7366388441344182,6,800
expanded,1600.0,OracleDP,1.0,1.0,6,800
expanded,2400.0,LibraryDP,0.78,0.7829100253919593,6,800
expanded,2400.0,LibraryGreedy,0.74,0.7409264027969299,6,800
expanded,2400.0,OracleDP,1.0,1.0,6,800
expanded,3200.0,LibraryDP,0.81,0.8131025473662943,6,800
expanded,3200.0,LibraryGreedy,0.75625,0.7576570703388269,6,800
expanded,3200.0,OracleDP,1.0,1.0,6,800
expanded,6400.0,LibraryDP,0.81375,0.8168772718214939,6,800
expanded,6400.0,LibraryGreedy,0.75875,0.7613134288582056,6,800
expanded,6400.0,OracleDP,1.0,1.0,6,800
expanded,10000.0,LibraryDP,0.81875,0.8209672982875036,6,800
expanded,10000.0,LibraryGreedy,0.76625,0.7687419108897896,6,800
expanded,10000.0,OracleDP,1.0,1.0,6,800
