alpha_regime,sweep,N,anchor_d,anchor_N,kbar_in,d,method,alpha_low,alpha_high,max_parents,avg_indegree,dag_generation_mode,mean_realized_avg_indegree,se_realized_avg_indegree,parallel_workers,completed_reps,mean_directed_f1,se_directed_f1,mean_skeleton_f1,se_skeleton_f1,mean_exact_dag,se_exact_dag,mean_family_accuracy,se_family_accuracy,mean_alpha_rmse_if_exact,se_alpha_rmse_if_exact,valid_alpha_rmse_reps,mean_alpha_rmse_on_correct_edges,se_alpha_rmse_on_correct_edges,valid_alpha_correct_edge_reps,mean_alpha_mape_on_correct_edges_pct,se_alpha_mape_on_correct_edges_pct,mean_alpha_rmse_on_true_edges,se_alpha_rmse_on_true_edges,mean_n_correct_directed_edges,mean_runtime_sec,se_runtime_sec,mean_local_score_runtime_sec,se_local_score_runtime_sec,mean_search_runtime_sec,se_search_runtime_sec,mean_n_local_scores_evaluated
common,N,100.0,8,100,1.5,8,LibraryDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.6910480005621276,0.0169826217487681,0.7828902639261098,0.0121261971314313,0.01,0.0099999999999999,0.64875,0.0175607711054549,0.0607025912260287,,1,0.2342615482126023,0.0134863047546219,100,33.96599671488466,1.9535247360122967,0.3374162956750605,0.0121810911459075,7.45,1.0193879789995846,0.0238282311593039,1.018696190999617,0.0238293246968074,0.0006917879999673,8.525154691000432e-06,960.0
common,N,100.0,8,100,1.5,8,LibraryGreedy,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.637012708076088,0.0170252243264128,0.7560972826159795,0.0111435554686467,0.0,0.0,0.64125,0.0177360522807374,,,0,0.2500359090634408,0.0142010118475276,100,36.72789594894548,2.1628764837844314,0.3715421455620638,0.0118120141916565,6.72,0.0824420490003831,0.0020818027394811,0.0791132369969273,0.0020350044892862,0.0033288120034558,6.938563817843128e-05,115.11
common,N,100.0,8,100,1.5,8,OracleDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.7290228238192162,0.0149445911678008,0.7858598479652591,0.0124209636962366,0.0,0.0,1.0,0.0,,,0,0.2223587673962931,0.0133120365435453,100,32.78679716791322,1.928248518843744,0.3193413298300455,0.0120743292094222,8.03,0.2830545059996075,0.0184066409019942,0.2823897900000156,0.018406213534286,0.0006647159995918,7.854383951058484e-06,960.0
common,N,100.0,8,100,1.5,8,PBSCM,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.0043956043956043,0.0025136562726294,0.1695445807202773,0.021374886234756,0.0,0.0,,,,,0,,,0,,,,,0.03,0.3563931100003538,0.0391167854803497,,,,,
common,N,100.0,8,100,1.5,8,PBSCM_PGF,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.0134243697478991,0.0051552391474662,0.0798108761723312,0.0097750102611549,0.0,0.0,,,,,0,,,0,,,,,0.1,0.073389311000501,0.0007446844695741,,,,,
common,N,100.0,8,100,1.5,8,PC-RCIT,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.1281638655462184,0.0156968840490751,0.4769609100050276,0.0113599914190293,0.0,0.0,,,,,0,,,0,,,,,0.97,0.2125624929995683,0.0102523456295702,,,,,
common,N,100.0,8,100,1.5,8,PoissonDAG-ODS,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.4606984209774355,0.0118716848323317,0.6617757458738751,0.0070939950665345,0.0,0.0,,,,,0,,,0,,,,,7.4,0.3304149660000985,0.0190117912540447,,,,,
common,N,200.0,8,200,1.5,8,LibraryDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.7906498660759531,0.0132836147512019,0.8592823463086622,0.008812769744778,0.04,0.0196946385566932,0.74,0.0146163047189213,0.0781413187934829,0.0143725735198119,4,0.1669015876981675,0.0154203649140736,100,24.953394233445447,2.2166136778615657,0.2672612112245309,0.0143061321883916,8.77,1.6054865719996452,0.044826428144644,1.604793032999296,0.0448251566603363,0.0006935390003491,6.843708784902176e-06,960.0
common,N,200.0,8,200,1.5,8,LibraryGreedy,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.7169861544506856,0.0155368241391915,0.8217941140730615,0.0096736674916915,0.02,0.0140705294136289,0.71875,0.0157288217401473,0.0640506609564075,0.0105573055898343,2,0.1854775331567192,0.0161673155453758,100,27.49927343555029,2.309676469083776,0.3144767229090577,0.0139766079718141,7.77,0.1208440900003188,0.0030369560245229,0.1172328459988057,0.0029944893185468,0.0036112440015131,6.620227007830186e-05,117.96
common,N,200.0,8,200,1.5,8,OracleDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.8259685376408489,0.0102723326403962,0.8673606804332205,0.008567933496165,0.06,0.0238683256575942,1.0,0.0,0.0872643128797504,0.0155134654428691,6,0.1582167595283328,0.0141897863657123,100,23.293033629998657,1.7529729138199452,0.2474361269522493,0.0132198613496418,9.28,0.470889589999424,0.0340650019796028,0.4702183629997307,0.0340627658327809,0.0006712269996933,9.546607401516186e-06,960.0
common,N,200.0,8,200,1.5,8,PBSCM,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.0131208791208791,0.0046103145286991,0.207398856303655,0.0231352916679822,0.0,0.0,,,,,0,,,0,,,,,0.09,0.4873454189996118,0.045471401790006,,,,,
common,N,200.0,8,200,1.5,8,PBSCM_PGF,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.0126666666666666,0.0040497942829441,0.0881053113553113,0.0099673804036139,0.0,0.0,,,,,0,,,0,,,,,0.09,0.0916217559995129,0.0012933351651457,,,,,
common,N,200.0,8,200,1.5,8,PC-RCIT,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.1941395277409209,0.0172172348848605,0.6212946827853948,0.010804085016292,0.0,0.0,,,,,0,,,0,,,,,1.55,0.3885206339985598,0.017790343157717,,,,,
common,N,200.0,8,200,1.5,8,PoissonDAG-ODS,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.4869485435624394,0.0106437914107681,0.6783345094058112,0.0074026750617354,0.0,0.0,,,,,0,,,0,,,,,7.6,0.3626129580003908,0.0244613192673989,,,,,
common,N,400.0,8,400,1.5,8,LibraryDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.8692262938942573,0.0105428252284511,0.903316650219854,0.0084844470735797,0.13,0.0337997668989631,0.79375,0.0139188439596008,0.0702709710351958,0.0084812986037835,13,0.1043030691700444,0.0056687900030366,100,15.82264880636236,0.7938754815916342,0.1971209157219631,0.0100158745642788,9.9,2.8587367890001043,0.0903435639643549,2.8580329980001262,0.0903429989165923,0.000703790999978,7.580368784946122e-06,960.0
common,N,400.0,8,400,1.5,8,LibraryGreedy,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.8001319572233156,0.0154154753509606,0.8776291658536646,0.0096046924708388,0.11,0.031446603773522,0.73875,0.0154983503520975,0.0778507451373791,0.0105927506438721,11,0.1361072316654764,0.010016099104895,100,19.00157182095796,1.0099742396692124,0.2497594444812392,0.0126462150861249,9.02,0.2122390589995484,0.0059793009530549,0.2079748119950818,0.0059247005969305,0.0042642470044665,8.137770652553724e-05,122.55
common,N,400.0,8,400,1.5,8,OracleDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.8830057978156511,0.0093466268388534,0.9013338045914842,0.0082621927103751,0.16,0.036845294917747,1.0,0.0,0.0745236762397351,0.0073554449642001,16,0.1010512666505866,0.0052933828308678,100,15.786670618000535,0.8892571989582162,0.1831830648271492,0.0090143065848801,10.16,0.8808535669992853,0.0710411156570205,0.8801655070003471,0.0710409522832017,0.0006880599989381,8.320240699852021e-06,960.0
common,N,400.0,8,400,1.5,8,PBSCM,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.0252335523953171,0.0079676757581579,0.2367204294000968,0.0265897602885588,0.0,0.0,,,,,0,,,0,,,,,0.2,0.7933129609999015,0.0808926331817246,,,,,
common,N,400.0,8,400,1.5,8,PBSCM_PGF,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.0057142857142857,0.0028135197938133,0.057793956043956,0.0081202230003341,0.0,0.0,,,,,0,,,0,,,,,0.04,0.123664716000203,0.0013296535710943,,,,,
common,N,400.0,8,400,1.5,8,PC-RCIT,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.2805862226868418,0.0194233432001279,0.7124545503105202,0.0093518408433492,0.0,0.0,,,,,0,,,0,,,,,2.36,1.4608972919988443,0.0689630885036259,,,,,
common,N,400.0,8,400,1.5,8,PoissonDAG-ODS,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.4870798115660304,0.0121171608205474,0.7060296886858078,0.0070317502856624,0.0,0.0,,,,,0,,,0,,,,,7.31,0.3687771069991868,0.0182356325817502,,,,,
