alpha_regime,kbar_in,true_family,count,total_nodes,proportion,expected_proportion,deviation_from_one_sixth
common,1.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
common,1.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
common,1.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,1.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
common,1.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,1.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
common,1.5,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
common,1.5,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
common,1.5,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,1.5,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
common,1.5,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,1.5,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
common,2.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
common,2.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
common,2.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,2.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
common,2.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,2.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
common,2.5,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
common,2.5,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
common,2.5,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,2.5,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
common,2.5,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,2.5,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
common,3.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
common,3.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
common,3.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,3.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
common,3.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
common,3.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
expanded,1.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
expanded,1.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
expanded,1.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,1.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
expanded,1.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,1.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
expanded,1.5,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
expanded,1.5,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
expanded,1.5,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,1.5,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
expanded,1.5,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,1.5,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
expanded,2.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
expanded,2.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
expanded,2.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,2.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
expanded,2.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,2.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
expanded,2.5,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
expanded,2.5,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
expanded,2.5,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,2.5,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
expanded,2.5,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,2.5,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
expanded,3.0,Poisson,119,800,0.14875,0.16666666666666666,-0.017916666666666664
expanded,3.0,NB,148,800,0.185,0.16666666666666666,0.01833333333333334
expanded,3.0,ZIP,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,3.0,Geom,146,800,0.1825,0.16666666666666666,0.015833333333333338
expanded,3.0,Binomial,124,800,0.155,0.16666666666666666,-0.011666666666666659
expanded,3.0,Bernoulli,139,800,0.17375,0.16666666666666666,0.00708333333333333
