alpha_regime,sweep,kbar_in,anchor_d,anchor_N,d,method,true_family,selected_family,count,row_rate
common,kbar,1.0,8,3200,8,LibraryDP,Poisson,Poisson,118,0.9915966386554622
common,kbar,1.0,8,3200,8,LibraryDP,Poisson,NB,1,0.0084033613445378
common,kbar,1.0,8,3200,8,LibraryDP,Poisson,ZIP,0,0.0
common,kbar,1.0,8,3200,8,LibraryDP,Poisson,Geom,0,0.0
common,kbar,1.0,8,3200,8,LibraryDP,Poisson,Binomial,0,0.0
common,kbar,1.0,8,3200,8,LibraryDP,Poisson,Bernoulli,0,0.0
common,kbar,1.0,8,3200,8,LibraryDP,NB,Poisson,6,0.0405405405405405
common,kbar,1.0,8,3200,8,LibraryDP,NB,NB,142,0.9594594594594594
common,kbar,1.0,8,3200,8,LibraryDP,NB,ZIP,0,0.0
common,kbar,1.0,8,3200,8,LibraryDP,NB,Geom,0,0.0
common,kbar,1.0,8,3200,8,LibraryDP,NB,Binomial,0,0.0
common,kbar,1.0,8,3200,8,LibraryDP,NB,Bernoulli,0,0.0
common,kbar,1.0,8,3200,8,LibraryDP,ZIP,Poisson,0,0.0
common,kbar,1.0,8,3200,8,LibraryDP,ZIP,NB,1,0.0080645161290322
common,kbar,1.0,8,3200,8,LibraryDP,ZIP,ZIP,122,0.9838709677419356
common,kbar,1.0,8,3200,8,LibraryDP,ZIP,Geom,1,0.0080645161290322
common,kbar,1.0,8,3200,8,LibraryDP,ZIP,Binomial,0,0.0
common,kbar,1.0,8,3200,8,LibraryDP,ZIP,Bernoulli,0,0.0
common,kbar,1.0,8,3200,8,LibraryDP,Geom,Poisson,0,0.0
common,kbar,1.0,8,3200,8,LibraryDP,Geom,NB,31,0.2123287671232876
common,kbar,1.0,8,3200,8,LibraryDP,Geom,ZIP,0,0.0
common,kbar,1.0,8,3200,8,LibraryDP,Geom,Geom,115,0.7876712328767124
common,kbar,1.0,8,3200,8,LibraryDP,Geom,Binomial,0,0.0
common,kbar,1.0,8,3200,8,LibraryDP,Geom,Bernoulli,0,0.0
common,kbar,1.0,8,3200,8,LibraryDP,Binomial,Poisson,8,0.064516129032258
common,kbar,1.0,8,3200,8,LibraryDP,Binomial,NB,0,0.0
common,kbar,1.0,8,3200,8,LibraryDP,Binomial,ZIP,0,0.0
common,kbar,1.0,8,3200,8,LibraryDP,Binomial,Geom,0,0.0
common,kbar,1.0,8,3200,8,LibraryDP,Binomial,Binomial,116,0.935483870967742
common,kbar,1.0,8,3200,8,LibraryDP,Binomial,Bernoulli,0,0.0
common,kbar,1.0,8,3200,8,LibraryDP,Bernoulli,Poisson,8,0.0575539568345323
common,kbar,1.0,8,3200,8,LibraryDP,Bernoulli,NB,0,0.0
common,kbar,1.0,8,3200,8,LibraryDP,Bernoulli,ZIP,0,0.0
common,kbar,1.0,8,3200,8,LibraryDP,Bernoulli,Geom,4,0.0287769784172661
common,kbar,1.0,8,3200,8,LibraryDP,Bernoulli,Binomial,0,0.0
common,kbar,1.0,8,3200,8,LibraryDP,Bernoulli,Bernoulli,127,0.9136690647482014
common,kbar,1.0,8,3200,8,LibraryGreedy,Poisson,Poisson,118,0.9915966386554622
common,kbar,1.0,8,3200,8,LibraryGreedy,Poisson,NB,1,0.0084033613445378
common,kbar,1.0,8,3200,8,LibraryGreedy,Poisson,ZIP,0,0.0
common,kbar,1.0,8,3200,8,LibraryGreedy,Poisson,Geom,0,0.0
common,kbar,1.0,8,3200,8,LibraryGreedy,Poisson,Binomial,0,0.0
common,kbar,1.0,8,3200,8,LibraryGreedy,Poisson,Bernoulli,0,0.0
common,kbar,1.0,8,3200,8,LibraryGreedy,NB,Poisson,6,0.0405405405405405
common,kbar,1.0,8,3200,8,LibraryGreedy,NB,NB,142,0.9594594594594594
common,kbar,1.0,8,3200,8,LibraryGreedy,NB,ZIP,0,0.0
common,kbar,1.0,8,3200,8,LibraryGreedy,NB,Geom,0,0.0
common,kbar,1.0,8,3200,8,LibraryGreedy,NB,Binomial,0,0.0
common,kbar,1.0,8,3200,8,LibraryGreedy,NB,Bernoulli,0,0.0
common,kbar,1.0,8,3200,8,LibraryGreedy,ZIP,Poisson,0,0.0
common,kbar,1.0,8,3200,8,LibraryGreedy,ZIP,NB,1,0.0080645161290322
common,kbar,1.0,8,3200,8,LibraryGreedy,ZIP,ZIP,120,0.967741935483871
common,kbar,1.0,8,3200,8,LibraryGreedy,ZIP,Geom,3,0.0241935483870967
common,kbar,1.0,8,3200,8,LibraryGreedy,ZIP,Binomial,0,0.0
common,kbar,1.0,8,3200,8,LibraryGreedy,ZIP,Bernoulli,0,0.0
