alpha_regime,kbar_in,method,micro_family_accuracy,macro_family_accuracy,represented_true_families,node_predictions
common,1.0,LibraryDP,0.925,0.9286252057415854,6,800
common,1.0,LibraryGreedy,0.92,0.9235389521638026,6,800
common,1.0,OracleDP,1.0,1.0,6,800
common,1.5,LibraryDP,0.90875,0.9119683039875471,6,800
common,1.5,LibraryGreedy,0.86375,0.8654555319039491,6,800
common,1.5,OracleDP,1.0,1.0,6,800
common,2.0,LibraryDP,0.86625,0.8706224678435316,6,800
common,2.0,LibraryGreedy,0.775,0.7781028958526434,6,800
common,2.0,OracleDP,1.0,1.0,6,800
common,2.5,LibraryDP,0.8025,0.8082391547564042,6,800
common,2.5,LibraryGreedy,0.6325,0.6338844008100016,6,800
common,2.5,OracleDP,1.0,1.0,6,800
common,3.0,LibraryDP,0.6975,0.7015578934695016,6,800
common,3.0,LibraryGreedy,0.48875,0.4907821527024228,6,800
common,3.0,OracleDP,1.0,1.0,6,800
expanded,1.0,LibraryDP,0.905,0.9069225272259828,6,800
expanded,1.0,LibraryGreedy,0.89125,0.8929255268545641,6,800
expanded,1.0,OracleDP,1.0,1.0,6,800
expanded,1.5,LibraryDP,0.81,0.8131025473662943,6,800
expanded,1.5,LibraryGreedy,0.75625,0.7576570703388269,6,800
expanded,1.5,OracleDP,1.0,1.0,6,800
expanded,2.0,LibraryDP,0.68875,0.690621190453354,6,800
expanded,2.0,LibraryGreedy,0.59375,0.5925644054129464,6,800
expanded,2.0,OracleDP,1.0,1.0,6,800
expanded,2.5,LibraryDP,0.61125,0.6120259216122651,6,800
expanded,2.5,LibraryGreedy,0.4875,0.48731160262636647,6,800
expanded,2.5,OracleDP,1.0,1.0,6,800
expanded,3.0,LibraryDP,0.575,0.5707269437178858,6,800
expanded,3.0,LibraryGreedy,0.41625,0.41428451245179493,6,800
expanded,3.0,OracleDP,1.0,1.0,6,800
