alpha_regime,sweep,kbar_in,anchor_d,anchor_N,d,method,alpha_low,alpha_high,max_parents,avg_indegree,dag_generation_mode,mean_realized_avg_indegree,se_realized_avg_indegree,parallel_workers,completed_reps,mean_directed_f1,se_directed_f1,mean_skeleton_f1,se_skeleton_f1,mean_exact_dag,se_exact_dag,mean_family_accuracy,se_family_accuracy,mean_alpha_rmse_if_exact,se_alpha_rmse_if_exact,valid_alpha_rmse_reps,mean_alpha_rmse_on_correct_edges,se_alpha_rmse_on_correct_edges,valid_alpha_correct_edge_reps,mean_alpha_mape_on_correct_edges_pct,se_alpha_mape_on_correct_edges_pct,mean_alpha_rmse_on_true_edges,se_alpha_rmse_on_true_edges,mean_n_correct_directed_edges,mean_runtime_sec,se_runtime_sec,mean_local_score_runtime_sec,se_local_score_runtime_sec,mean_search_runtime_sec,se_search_runtime_sec,mean_n_local_scores_evaluated
common,kbar,1.0,8,3200,8,LibraryDP,0.15,0.85,5,1.0,exact_edges,1.0,0.0,12,100,0.971262605042017,0.004681556770312,0.977373716153128,0.0038772832093345,0.66,0.0476095228569523,0.925,0.0087038827977848,0.0390990516482433,0.0031369030509073,66,0.042423116722278,0.0028913148732757,100,6.878591646328387,0.4389833177408002,0.0658156600795864,0.0066999191353824,7.77,13.484626556000585,0.5347673753298061,13.4839218670009,0.5347677657709455,0.0007046889996854,5.993681856169105e-06,960.0
common,kbar,1.0,8,3200,8,LibraryGreedy,0.15,0.85,5,1.0,exact_edges,1.0,0.0,12,100,0.961262605042017,0.0067215996504183,0.9727070494864614,0.0046054285062398,0.63,0.0485236587093909,0.92,0.0087976695720508,0.0396955256252219,0.0032517625586067,63,0.0445646330929712,0.0032518720513521,100,7.117011365136659,0.4548444430082071,0.0747911899264039,0.0079453559138189,7.68,0.8989686480001546,0.0195385497939421,0.8951576789934188,0.019514740818799,0.0038109690067358,5.012495631419058e-05,109.51
common,kbar,1.0,8,3200,8,OracleDP,0.15,0.85,5,1.0,exact_edges,1.0,0.0,12,100,0.9689096638655462,0.0050484302820742,0.9737707749766574,0.0044525495683936,0.66,0.0476095228569523,1.0,0.0,0.0446337694996481,0.0049467434113838,66,0.0454234852007212,0.0037187343748295,100,7.214048221658341,0.5239513868605173,0.0631587865887538,0.0063398691982407,7.81,4.242756875999476,0.3935690533751022,4.242081186998694,0.3935674861689203,0.0006756890007818,6.751459871743791e-06,960.0
common,kbar,1.0,8,3200,8,PBSCM,0.15,0.85,5,1.0,exact_edges,1.0,0.0,12,100,0.0919664779664779,0.0141294127030294,0.3710314473108591,0.0293680202876168,0.0,0.0,,,,,0,,,0,,,,,0.56,2.405993692999473,0.2355800083757779,,,,,
common,kbar,1.0,8,3200,8,PBSCM_PGF,0.15,0.85,5,1.0,exact_edges,1.0,0.0,12,100,0.0056363636363636,0.0032245717431604,0.0707000777000777,0.0118487364052144,0.0,0.0,,,,,0,,,0,,,,,0.03,0.5604255209994153,0.0039991995031113,,,,,
common,kbar,1.0,8,3200,8,PC-RCIT,0.15,0.85,5,1.0,exact_edges,1.0,0.0,12,100,0.497102564102564,0.0253197435440397,0.9317542555483732,0.0070963420010726,0.0,0.0,,,,,0,,,0,,,,,3.26,3.0309853340005795,0.1328427017379977,,,,,
common,kbar,1.0,8,3200,8,PoissonDAG-ODS,0.15,0.85,5,1.0,exact_edges,1.0,0.0,12,100,0.4969694306194844,0.0166237823729028,0.7776337665475368,0.0098677110374249,0.0,0.0,,,,,0,,,0,,,,,4.71,0.5684934200003045,0.0371893038771928,,,,,
common,kbar,1.5,8,3200,8,LibraryDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.9730920885877408,0.0040938177943418,0.9764283204717988,0.0037732030543352,0.6,0.0492365963917331,0.90875,0.0106385460292354,0.0404704731574433,0.0035915196732419,60,0.0474644125690233,0.0030605859318685,100,7.405321935343798,0.4420597624629969,0.0719594901633445,0.0062551738450043,11.57,19.318944011998973,0.6989575421443557,19.318206627999608,0.698956727538531,0.000737383999367,7.458088761159445e-06,960.0
common,kbar,1.5,8,3200,8,LibraryGreedy,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.9048773133045444,0.0149604751869568,0.9542941793523028,0.0066955122205531,0.47,0.0501613558046591,0.86375,0.0148747930976188,0.0436340380621878,0.0044466968657084,47,0.0740035606941371,0.0062920827244446,100,10.566184597948276,0.7933899647105338,0.1306314814667778,0.0128445658897422,10.72,1.3719268969993572,0.0365288073837699,1.366121435987152,0.0364877868064102,0.0058054610122053,8.280302966567325e-05,130.51
common,kbar,1.5,8,3200,8,OracleDP,0.15,0.85,5,1.5,exact_edges,1.5,0.0,12,100,0.9686252690948344,0.0046730398171216,0.9710689083862996,0.0043450965904087,0.55,0.05,1.0,0.0,0.0399073963642847,0.0039110785458566,55,0.0477266308105704,0.0031215389207407,100,7.435442825263385,0.451423752557792,0.0714877024348628,0.0063316843272716,11.58,6.108410775001394,0.5285649228544429,6.107712761000585,0.528564483667907,0.000698014000809,5.416453582348365e-06,960.0
