regime,sweep,x_value,method,metric,N_total,N_nonNA,NA_rate,mean,sd,se,ci95_low,ci95_high,plot_ci95_low,plot_ci95_high
common,N-sweep,100.0,LibraryDP,directed_f1,100,100,0.0,0.6910480005621276,0.16982621748768167,0.01698262174876817,0.6577620619345419,0.7243339391897132,0.6577620619345419,0.7243339391897132
common,N-sweep,100.0,LibraryGreedy,directed_f1,100,100,0.0,0.637012708076088,0.17025224326412852,0.017025224326412854,0.6036432683963188,0.6703821477558572,0.6036432683963188,0.6703821477558572
common,N-sweep,100.0,ODS,directed_f1,100,100,0.0,0.4606984209774355,0.11871684832331719,0.01187168483233172,0.43742991870606535,0.4839669232488057,0.43742991870606535,0.4839669232488057
common,N-sweep,100.0,OracleDP,directed_f1,100,100,0.0,0.7290228238192162,0.14944591167800847,0.014944591167800846,0.6997314251303266,0.7583142225081059,0.6997314251303266,0.7583142225081059
common,N-sweep,100.0,PB-SCM,directed_f1,100,100,0.0,0.004395604395604394,0.025136562726294522,0.0025136562726294524,-0.0005311618987493324,0.00932237068995812,0.0,0.00932237068995812
common,N-sweep,100.0,PB-SCM-PGF,directed_f1,100,100,0.0,0.013424369747899156,0.05155239147466222,0.005155239147466222,0.0033201010188653613,0.02352863847693295,0.0033201010188653613,0.02352863847693295
common,N-sweep,100.0,PC-RCIT,directed_f1,100,100,0.0,0.12816386554621848,0.1569688404907518,0.01569688404907518,0.09739797281003112,0.15892975828240583,0.09739797281003112,0.15892975828240583
common,N-sweep,200.0,LibraryDP,directed_f1,100,100,0.0,0.7906498660759531,0.13283614751201936,0.013283614751201937,0.7646139811635974,0.8166857509883089,0.7646139811635974,0.8166857509883089
common,N-sweep,200.0,LibraryGreedy,directed_f1,100,100,0.0,0.7169861544506856,0.15536824139191582,0.015536824139191583,0.6865339791378701,0.7474383297635011,0.6865339791378701,0.7474383297635011
common,N-sweep,200.0,ODS,directed_f1,100,100,0.0,0.4869485435624394,0.10643791410768103,0.010643791410768103,0.4660867123973339,0.5078103747275449,0.4660867123973339,0.5078103747275449
common,N-sweep,200.0,OracleDP,directed_f1,100,100,0.0,0.8259685376408489,0.10272332640396206,0.010272332640396207,0.8058347656656724,0.8461023096160254,0.8058347656656724,0.8461023096160254
common,N-sweep,200.0,PB-SCM,directed_f1,100,100,0.0,0.013120879120879116,0.04610314528699191,0.004610314528699191,0.004084662644628702,0.022157095597129528,0.004084662644628702,0.022157095597129528
common,N-sweep,200.0,PB-SCM-PGF,directed_f1,100,100,0.0,0.012666666666666661,0.04049794282944141,0.004049794282944141,0.004729069872096144,0.020604263461237178,0.004729069872096144,0.020604263461237178
common,N-sweep,200.0,PC-RCIT,directed_f1,100,100,0.0,0.1941395277409209,0.1721723488486053,0.01721723488486053,0.16039374736659426,0.22788530811524751,0.16039374736659426,0.22788530811524751
common,N-sweep,400.0,LibraryDP,directed_f1,100,100,0.0,0.8692262938942573,0.10542825228451119,0.01054282522845112,0.8485623564464931,0.8898902313420215,0.8485623564464931,0.8898902313420215
common,N-sweep,400.0,LibraryGreedy,directed_f1,100,100,0.0,0.8001319572233156,0.1541547535096069,0.015415475350960689,0.7699176255354327,0.8303462889111985,0.7699176255354327,0.8303462889111985
common,N-sweep,400.0,ODS,directed_f1,100,100,0.0,0.4870798115660304,0.12117160820547423,0.012117160820547423,0.4633301763577575,0.5108294467743034,0.4633301763577575,0.5108294467743034
common,N-sweep,400.0,OracleDP,directed_f1,100,100,0.0,0.8830057978156511,0.09346626838853457,0.009346626838853457,0.8646864092114983,0.901325186419804,0.8646864092114983,0.901325186419804
common,N-sweep,400.0,PB-SCM,directed_f1,100,100,0.0,0.025233552395317094,0.07967675758157972,0.007967675758157971,0.009616907909327472,0.04085019688130671,0.009616907909327472,0.04085019688130671
common,N-sweep,400.0,PB-SCM-PGF,directed_f1,100,100,0.0,0.005714285714285712,0.028135197938133193,0.0028135197938133193,0.00019978691841160585,0.011228784510159818,0.00019978691841160585,0.011228784510159818
common,N-sweep,400.0,PC-RCIT,directed_f1,100,100,0.0,0.28058622268684186,0.19423343200127985,0.019423343200127986,0.242516470014591,0.31865597535909274,0.242516470014591,0.31865597535909274
common,N-sweep,800.0,LibraryDP,directed_f1,100,100,0.0,0.9123483479906822,0.0838751458983304,0.008387514589833039,0.8959088193946094,0.928787876586755,0.8959088193946094,0.928787876586755
common,N-sweep,800.0,LibraryGreedy,directed_f1,100,100,0.0,0.8578402482592417,0.1326429253539418,0.013264292535394179,0.8318422348898691,0.8838382616286142,0.8318422348898691,0.8838382616286142
common,N-sweep,800.0,ODS,directed_f1,100,100,0.0,0.5349469944057276,0.12690730460060673,0.012690730460060673,0.5100731627040087,0.5598208261074464,0.5100731627040087,0.5598208261074464
common,N-sweep,800.0,OracleDP,directed_f1,100,100,0.0,0.9209331728869486,0.07065621634465319,0.007065621634465319,0.9070845544833966,0.9347817912905007,0.9070845544833966,0.9347817912905007
common,N-sweep,800.0,PB-SCM,directed_f1,100,100,0.0,0.05852253938012451,0.10212345111743977,0.010212345111743976,0.03850634296110632,0.0785387357991427,0.03850634296110632,0.0785387357991427
common,N-sweep,800.0,PB-SCM-PGF,directed_f1,100,100,0.0,0.013891402714932121,0.04958497688149236,0.0049584976881492365,0.004172747246159618,0.023610058183704624,0.004172747246159618,0.023610058183704624
common,N-sweep,800.0,PC-RCIT,directed_f1,100,100,0.0,0.3970757861774486,0.1970540525438639,0.01970540525438639,0.3584531918788513,0.4356983804760459,0.3584531918788513,0.4356983804760459
common,N-sweep,1600.0,LibraryDP,directed_f1,100,100,0.0,0.9501387014968252,0.06045792206743572,0.006045792206743572,0.9382889487716078,0.9619884542220426,0.9382889487716078,0.9619884542220426
common,N-sweep,1600.0,LibraryGreedy,directed_f1,100,100,0.0,0.8857472049689441,0.12878511122598993,0.012878511122598992,0.86050532316865,0.9109890867692382,0.86050532316865,0.9109890867692382
common,N-sweep,1600.0,ODS,directed_f1,100,100,0.0,0.58220405192752,0.1390989345757508,0.013909893457575078,0.5549406607506728,0.6094674431043672,0.5549406607506728,0.6094674431043672
common,N-sweep,1600.0,OracleDP,directed_f1,100,100,0.0,0.9460820668271469,0.0646108014605545,0.006461080146055451,0.9334183497408782,0.9587457839134156,0.9334183497408782,0.9587457839134156
