regime,sweep,x_value,method,metric,N_total,N_nonNA,NA_rate,mean,sd,se,ci95_low,ci95_high,plot_ci95_low,plot_ci95_high
common,N-sweep,100.0,LibraryDP,conditional_alpha_mape,100,100,0.0,33.96599671488466,19.535247360122966,1.9535247360122967,30.13708823230056,37.794905197468765,30.13708823230056,37.794905197468765
common,N-sweep,100.0,LibraryGreedy,conditional_alpha_mape,100,100,0.0,36.72789594894548,21.62876483784431,2.162876483784431,32.488658040728,40.96713385716296,32.488658040728,40.96713385716296
common,N-sweep,100.0,OracleDP,conditional_alpha_mape,100,100,0.0,32.78679716791322,19.282485188437438,1.9282485188437437,29.007430070979485,36.56616426484696,29.007430070979485,36.56616426484696
common,N-sweep,200.0,LibraryDP,conditional_alpha_mape,100,100,0.0,24.953394233445447,22.166136778615655,2.2166136778615657,20.60883142483678,29.297957042054115,20.60883142483678,29.297957042054115
common,N-sweep,200.0,LibraryGreedy,conditional_alpha_mape,100,100,0.0,27.49927343555029,23.09676469083776,2.309676469083776,22.972307556146088,32.02623931495449,22.972307556146088,32.02623931495449
common,N-sweep,200.0,OracleDP,conditional_alpha_mape,100,100,0.0,23.293033629998657,17.529729138199453,1.7529729138199452,19.857206718911563,26.72886054108575,19.857206718911563,26.72886054108575
common,N-sweep,400.0,LibraryDP,conditional_alpha_mape,100,100,0.0,15.822648806362361,7.938754815916342,0.7938754815916342,14.266652862442758,17.378644750281964,14.266652862442758,17.378644750281964
common,N-sweep,400.0,LibraryGreedy,conditional_alpha_mape,100,100,0.0,19.001571820957956,10.099742396692124,1.0099742396692124,17.0220223112063,20.981121330709612,17.0220223112063,20.981121330709612
common,N-sweep,400.0,OracleDP,conditional_alpha_mape,100,100,0.0,15.786670618000535,8.892571989582162,0.8892571989582162,14.04372650804243,17.529614727958638,14.04372650804243,17.529614727958638
common,N-sweep,800.0,LibraryDP,conditional_alpha_mape,100,100,0.0,13.63629891139298,9.548297832821259,0.9548297832821259,11.764832536160014,15.507765286625947,11.764832536160014,15.507765286625947
common,N-sweep,800.0,LibraryGreedy,conditional_alpha_mape,100,100,0.0,17.00607292349815,11.829759581079209,1.1829759581079209,14.687440045606625,19.324705801389673,14.687440045606625,19.324705801389673
common,N-sweep,800.0,OracleDP,conditional_alpha_mape,100,100,0.0,13.083678693448626,8.93858300561144,0.893858300561144,11.331716424348784,14.835640962548467,11.331716424348784,14.835640962548467
common,N-sweep,1600.0,LibraryDP,conditional_alpha_mape,100,100,0.0,9.15752862360235,4.3467120168719,0.43467120168719,8.305573068295457,10.009484178909242,8.305573068295457,10.009484178909242
common,N-sweep,1600.0,LibraryGreedy,conditional_alpha_mape,100,100,0.0,12.785477654546893,8.533083402313448,0.8533083402313448,11.112993307693458,14.457962001400329,11.112993307693458,14.457962001400329
common,N-sweep,1600.0,OracleDP,conditional_alpha_mape,100,100,0.0,9.080995850524868,4.42921127726693,0.442921127726693,8.21287044018055,9.949121260869186,8.21287044018055,9.949121260869186
common,N-sweep,2400.0,LibraryDP,conditional_alpha_mape,100,100,0.0,8.00087562111672,4.295195638200865,0.4295195638200865,7.15901727602935,8.84273396620409,7.15901727602935,8.84273396620409
common,N-sweep,2400.0,LibraryGreedy,conditional_alpha_mape,100,100,0.0,11.317251205093369,7.974613953925953,0.7974613953925953,9.754226870123881,12.880275540062856,9.754226870123881,12.880275540062856
common,N-sweep,2400.0,OracleDP,conditional_alpha_mape,100,100,0.0,7.899817465538734,4.151498983681519,0.41514989836815186,7.086123664737157,8.713511266340312,7.086123664737157,8.713511266340312
common,N-sweep,3200.0,LibraryDP,conditional_alpha_mape,100,100,0.0,7.405321935343798,4.420597624629969,0.4420597624629969,6.538884800916324,8.27175906977127,6.538884800916324,8.27175906977127
common,N-sweep,3200.0,LibraryGreedy,conditional_alpha_mape,100,100,0.0,10.566184597948277,7.933899647105339,0.7933899647105339,9.01114026711563,12.121228928780925,9.01114026711563,12.121228928780925
common,N-sweep,3200.0,OracleDP,conditional_alpha_mape,100,100,0.0,7.435442825263385,4.51423752557792,0.45142375255779205,6.550652270250112,8.320233380276658,6.550652270250112,8.320233380276658
common,N-sweep,6400.0,LibraryDP,conditional_alpha_mape,100,100,0.0,5.169141586816785,3.142926152862213,0.3142926152862213,4.553128060855792,5.785155112777779,4.553128060855792,5.785155112777779
common,N-sweep,6400.0,LibraryGreedy,conditional_alpha_mape,100,100,0.0,8.097588152562027,7.657544111132508,0.7657544111132508,6.596709506780055,9.598466798343999,6.596709506780055,9.598466798343999
common,N-sweep,6400.0,OracleDP,conditional_alpha_mape,100,100,0.0,5.1871629240652455,3.1443285830783085,0.31443285830783085,4.570874521781897,5.803451326348594,4.570874521781897,5.803451326348594
common,N-sweep,10000.0,LibraryDP,conditional_alpha_mape,100,100,0.0,4.559278171749934,2.785873032651637,0.2785873032651637,4.013247057350213,5.105309286149655,4.013247057350213,5.105309286149655
common,N-sweep,10000.0,LibraryGreedy,conditional_alpha_mape,100,100,0.0,7.404171427677592,6.911181553100561,0.691118155310056,6.049579843269882,8.758763012085302,6.049579843269882,8.758763012085302
common,N-sweep,10000.0,OracleDP,conditional_alpha_mape,100,100,0.0,4.629758106711667,2.8417238112788454,0.28417238112788457,4.072780239701013,5.186735973722321,4.072780239701013,5.186735973722321
common,d-sweep,4.0,LibraryDP,conditional_alpha_mape,100,100,0.0,7.124205456044092,5.829205465365658,0.5829205465365658,5.981681184832423,8.266729727255761,5.981681184832423,8.266729727255761
common,d-sweep,4.0,LibraryGreedy,conditional_alpha_mape,100,100,0.0,14.183570160220127,16.79183376071176,1.679183376071176,10.892370743120622,17.47476957731963,10.892370743120622,17.47476957731963
common,d-sweep,4.0,OracleDP,conditional_alpha_mape,100,100,0.0,6.652853426324161,4.574994261347581,0.45749942613475814,5.756154551100035,7.549552301548287,5.756154551100035,7.549552301548287
common,d-sweep,5.0,LibraryDP,conditional_alpha_mape,100,100,0.0,7.060689898084268,4.485321559339912,0.4485321559339912,6.1815668724536454,7.939812923714891,6.1815668724536454,7.939812923714891
common,d-sweep,5.0,LibraryGreedy,conditional_alpha_mape,100,100,0.0,14.129798135621593,17.436409656270982,1.7436409656270981,10.712261842992481,17.547334428250707,10.712261842992481,17.547334428250707
common,d-sweep,5.0,OracleDP,conditional_alpha_mape,100,100,0.0,6.947420109423914,4.419574743348502,0.44195747433485016,6.081183459727607,7.81365675912022,6.081183459727607,7.81365675912022
common,d-sweep,6.0,LibraryDP,conditional_alpha_mape,100,100,0.0,7.342141849907418,3.983718343067527,0.3983718343067527,6.561333054666183,8.122950645148654,6.561333054666183,8.122950645148654
common,d-sweep,6.0,LibraryGreedy,conditional_alpha_mape,100,99,0.010000000000000009,10.632928918269634,8.750513272823486,0.8794596742115254,8.909187956815044,12.356669879724224,8.909187956815044,12.356669879724224
common,d-sweep,6.0,OracleDP,conditional_alpha_mape,100,100,0.0,7.448119292745003,4.199862698609139,0.4199862698609139,6.624946203817611,8.271292381672394,6.624946203817611,8.271292381672394
