regime,method,d,N,average_indegree,true_family,selected_working_family,count,row_total,row_proportion
common,LibraryDP,8,3200,1.5,Poisson,Poisson,118,119,0.9915966386554622
common,LibraryDP,8,3200,1.5,Poisson,NB,1,119,0.008403361344537815
common,LibraryDP,8,3200,1.5,Poisson,ZIP,0,119,0.0
common,LibraryDP,8,3200,1.5,Poisson,Geom,0,119,0.0
common,LibraryDP,8,3200,1.5,Poisson,Binomial,0,119,0.0
common,LibraryDP,8,3200,1.5,Poisson,Bernoulli,0,119,0.0
common,LibraryDP,8,3200,1.5,NB,Poisson,5,148,0.033783783783783786
common,LibraryDP,8,3200,1.5,NB,NB,140,148,0.9459459459459459
common,LibraryDP,8,3200,1.5,NB,ZIP,0,148,0.0
common,LibraryDP,8,3200,1.5,NB,Geom,3,148,0.02027027027027027
common,LibraryDP,8,3200,1.5,NB,Binomial,0,148,0.0
common,LibraryDP,8,3200,1.5,NB,Bernoulli,0,148,0.0
common,LibraryDP,8,3200,1.5,ZIP,Poisson,0,124,0.0
common,LibraryDP,8,3200,1.5,ZIP,NB,2,124,0.016129032258064516
common,LibraryDP,8,3200,1.5,ZIP,ZIP,120,124,0.967741935483871
common,LibraryDP,8,3200,1.5,ZIP,Geom,2,124,0.016129032258064516
common,LibraryDP,8,3200,1.5,ZIP,Binomial,0,124,0.0
common,LibraryDP,8,3200,1.5,ZIP,Bernoulli,0,124,0.0
common,LibraryDP,8,3200,1.5,Geom,Poisson,0,146,0.0
common,LibraryDP,8,3200,1.5,Geom,NB,25,146,0.17123287671232876
common,LibraryDP,8,3200,1.5,Geom,ZIP,0,146,0.0
common,LibraryDP,8,3200,1.5,Geom,Geom,121,146,0.8287671232876712
common,LibraryDP,8,3200,1.5,Geom,Binomial,0,146,0.0
common,LibraryDP,8,3200,1.5,Geom,Bernoulli,0,146,0.0
common,LibraryDP,8,3200,1.5,Binomial,Poisson,8,124,0.06451612903225806
common,LibraryDP,8,3200,1.5,Binomial,NB,0,124,0.0
common,LibraryDP,8,3200,1.5,Binomial,ZIP,0,124,0.0
common,LibraryDP,8,3200,1.5,Binomial,Geom,1,124,0.008064516129032258
common,LibraryDP,8,3200,1.5,Binomial,Binomial,112,124,0.9032258064516129
common,LibraryDP,8,3200,1.5,Binomial,Bernoulli,3,124,0.024193548387096774
common,LibraryDP,8,3200,1.5,Bernoulli,Poisson,14,139,0.10071942446043165
common,LibraryDP,8,3200,1.5,Bernoulli,NB,0,139,0.0
common,LibraryDP,8,3200,1.5,Bernoulli,ZIP,0,139,0.0
common,LibraryDP,8,3200,1.5,Bernoulli,Geom,8,139,0.05755395683453238
common,LibraryDP,8,3200,1.5,Bernoulli,Binomial,1,139,0.007194244604316547
common,LibraryDP,8,3200,1.5,Bernoulli,Bernoulli,116,139,0.8345323741007195
