regime,sweep,x_value,method,metric,N_total,N_nonNA,NA_rate,mean,sd,se,ci95_low,ci95_high,plot_ci95_low,plot_ci95_high
common,N-sweep,100.0,LibraryDP,working_family_accuracy,100,100,0.0,0.64875,0.17560771105454961,0.01756077110545496,0.6143308886333083,0.6831691113666918,0.6143308886333083,0.6831691113666918
common,N-sweep,100.0,LibraryGreedy,working_family_accuracy,100,100,0.0,0.64125,0.17736052280737405,0.017736052280737404,0.6064873375297547,0.6760126624702453,0.6064873375297547,0.6760126624702453
common,N-sweep,200.0,LibraryDP,working_family_accuracy,100,100,0.0,0.74,0.14616304718921388,0.014616304718921388,0.7113520427509141,0.7686479572490859,0.7113520427509141,0.7686479572490859
common,N-sweep,200.0,LibraryGreedy,working_family_accuracy,100,100,0.0,0.71875,0.15728821740147395,0.015728821740147395,0.6879215093893111,0.7495784906106889,0.6879215093893111,0.7495784906106889
common,N-sweep,400.0,LibraryDP,working_family_accuracy,100,100,0.0,0.79375,0.13918843959600855,0.013918843959600854,0.7664690658391823,0.8210309341608176,0.7664690658391823,0.8210309341608176
common,N-sweep,400.0,LibraryGreedy,working_family_accuracy,100,100,0.0,0.73875,0.15498350352097595,0.015498350352097595,0.7083732333098888,0.7691267666901113,0.7083732333098888,0.7691267666901113
common,N-sweep,800.0,LibraryDP,working_family_accuracy,100,100,0.0,0.85,0.10359692675134353,0.010359692675134353,0.8296950023567367,0.8703049976432633,0.8296950023567367,0.8703049976432633
common,N-sweep,800.0,LibraryGreedy,working_family_accuracy,100,100,0.0,0.8175,0.1392394565582122,0.01392394565582122,0.7902090665145904,0.8447909334854096,0.7902090665145904,0.8447909334854096
common,N-sweep,1600.0,LibraryDP,working_family_accuracy,100,100,0.0,0.88875,0.10495158816609619,0.01049515881660962,0.8681794887194452,0.9093205112805549,0.8681794887194452,0.9093205112805549
common,N-sweep,1600.0,LibraryGreedy,working_family_accuracy,100,100,0.0,0.84375,0.13918843959600855,0.013918843959600854,0.8164690658391823,0.8710309341608177,0.8164690658391823,0.8710309341608177
common,N-sweep,2400.0,LibraryDP,working_family_accuracy,100,100,0.0,0.91625,0.0941049677195362,0.00941049677195362,0.8978054263269709,0.9346945736730291,0.8978054263269709,0.9346945736730291
common,N-sweep,2400.0,LibraryGreedy,working_family_accuracy,100,100,0.0,0.875,0.12934372029518085,0.012934372029518085,0.8496486308221446,0.9003513691778554,0.8496486308221446,0.9003513691778554
common,N-sweep,3200.0,LibraryDP,working_family_accuracy,100,100,0.0,0.90875,0.10638546029235463,0.010638546029235463,0.8878984497826985,0.9296015502173014,0.8878984497826985,0.9296015502173014
common,N-sweep,3200.0,LibraryGreedy,working_family_accuracy,100,100,0.0,0.86375,0.1487479309761886,0.01487479309761886,0.8345954055286671,0.892904594471333,0.8345954055286671,0.892904594471333
common,N-sweep,6400.0,LibraryDP,working_family_accuracy,100,100,0.0,0.935,0.08423751893283418,0.008423751893283418,0.9184894462891645,0.9515105537108356,0.9184894462891645,0.9515105537108356
common,N-sweep,6400.0,LibraryGreedy,working_family_accuracy,100,100,0.0,0.90375,0.11630761850030341,0.011630761850030341,0.8809537067739406,0.9265462932260595,0.8809537067739406,0.9265462932260595
common,N-sweep,10000.0,LibraryDP,working_family_accuracy,100,100,0.0,0.94375,0.07615897448061783,0.007615897448061783,0.9288228410017989,0.958677158998201,0.9288228410017989,0.958677158998201
common,N-sweep,10000.0,LibraryGreedy,working_family_accuracy,100,100,0.0,0.9025,0.11862533328496783,0.011862533328496783,0.8792494346761462,0.9257505653238537,0.8792494346761462,0.9257505653238537
expanded,N-sweep,100.0,LibraryDP,working_family_accuracy,100,100,0.0,0.62375,0.19093652099717606,0.019093652099717605,0.5863264418845535,0.6611735581154465,0.5863264418845535,0.6611735581154465
expanded,N-sweep,100.0,LibraryGreedy,working_family_accuracy,100,100,0.0,0.5675,0.19817666335618303,0.0198176663356183,0.5286573739821882,0.6063426260178119,0.5286573739821882,0.6063426260178119
expanded,N-sweep,200.0,LibraryDP,working_family_accuracy,100,100,0.0,0.67125,0.15351006777762463,0.015351006777762462,0.6411620267155855,0.7013379732844145,0.6411620267155855,0.7013379732844145
expanded,N-sweep,200.0,LibraryGreedy,working_family_accuracy,100,100,0.0,0.6225,0.16664772619650303,0.016664772619650305,0.5898370456654854,0.6551629543345147,0.5898370456654854,0.6551629543345147
expanded,N-sweep,400.0,LibraryDP,working_family_accuracy,100,100,0.0,0.69875,0.16485281926676906,0.016485281926676906,0.6664388474237133,0.7310611525762867,0.6664388474237133,0.7310611525762867
expanded,N-sweep,400.0,LibraryGreedy,working_family_accuracy,100,100,0.0,0.65625,0.16607375597680213,0.01660737559768021,0.6236995438285468,0.6888004561714532,0.6236995438285468,0.6888004561714532
expanded,N-sweep,800.0,LibraryDP,working_family_accuracy,100,100,0.0,0.74625,0.16990694868698342,0.016990694868698343,0.7129482380573512,0.7795517619426487,0.7129482380573512,0.7795517619426487
expanded,N-sweep,800.0,LibraryGreedy,working_family_accuracy,100,100,0.0,0.71125,0.19759842835632294,0.019759842835632292,0.6725207080421608,0.7499792919578393,0.6725207080421608,0.7499792919578393
expanded,N-sweep,1600.0,LibraryDP,working_family_accuracy,100,100,0.0,0.77125,0.15896504761624916,0.015896504761624915,0.7400928506672152,0.8024071493327848,0.7400928506672152,0.8024071493327848
expanded,N-sweep,1600.0,LibraryGreedy,working_family_accuracy,100,100,0.0,0.735,0.17880071859390545,0.017880071859390546,0.6999550591555945,0.7700449408444054,0.6999550591555945,0.7700449408444054
expanded,N-sweep,2400.0,LibraryDP,working_family_accuracy,100,100,0.0,0.78,0.16100222722595228,0.016100222722595228,0.7484435634637134,0.8115564365362866,0.7484435634637134,0.8115564365362866
expanded,N-sweep,2400.0,LibraryGreedy,working_family_accuracy,100,100,0.0,0.74,0.18177714183287538,0.01817771418328754,0.7043716802007565,0.7756283197992435,0.7043716802007565,0.7756283197992435
expanded,N-sweep,3200.0,LibraryDP,working_family_accuracy,100,100,0.0,0.81,0.15938644987589254,0.015938644987589255,0.7787602558243251,0.841239744175675,0.7787602558243251,0.841239744175675
expanded,N-sweep,3200.0,LibraryGreedy,working_family_accuracy,100,100,0.0,0.75625,0.20441388866412152,0.02044138886641215,0.7161848778218322,0.7963151221781678,0.7161848778218322,0.7963151221781678
expanded,N-sweep,6400.0,LibraryDP,working_family_accuracy,100,100,0.0,0.81375,0.155390311763311,0.0155390311763311,0.783293498894391,0.8442065011056089,0.783293498894391,0.8442065011056089
expanded,N-sweep,6400.0,LibraryGreedy,working_family_accuracy,100,100,0.0,0.75875,0.1890758692785368,0.01890758692785368,0.7216911296214068,0.7958088703785933,0.7216911296214068,0.7958088703785933
expanded,N-sweep,10000.0,LibraryDP,working_family_accuracy,100,100,0.0,0.81875,0.14583333333333334,0.014583333333333334,0.7901666666666667,0.8473333333333333,0.7901666666666667,0.8473333333333333
expanded,N-sweep,10000.0,LibraryGreedy,working_family_accuracy,100,100,0.0,0.76625,0.1860465552142009,0.018604655521420092,0.7297848751780166,0.8027151248219834,0.7297848751780166,0.8027151248219834
