regime,sweep,x_value,method,metric,N_total,N_nonNA,NA_rate,mean,sd,se,ci95_low,ci95_high,plot_ci95_low,plot_ci95_high,panel
common,N-sweep,100,Fixed-Poisson DP,directed_f1,100,100,0.0,0.6689094348092194,0.15185374589084483,0.015185374589084482,0.6391461006146137,0.698672769003825,0.6391461006146137,0.698672769003825,main_directed_f1
common,N-sweep,100,LibraryDP,directed_f1,100,100,0.0,0.6548527334378726,0.1557294638994874,0.01557294638994874,0.6243297585135731,0.6853757083621722,0.6243297585135731,0.6853757083621722,main_directed_f1
common,N-sweep,100,LibraryGreedy,directed_f1,100,100,0.0,0.5244051591234928,0.18401457215552855,0.018401457215552856,0.4883383029810092,0.5604720152659765,0.4883383029810092,0.5604720152659765,main_directed_f1
common,N-sweep,100,ODS,directed_f1,100,100,0.0,0.49236111615397943,0.1101480831077168,0.01101480831077168,0.47077209186486696,0.513950140443092,0.47077209186486696,0.513950140443092,main_directed_f1
common,N-sweep,100,PC-RCIT,directed_f1,100,100,0.0,0.08226073762838468,0.1240160552639919,0.01240160552639919,0.057953590796642265,0.10656788446012709,0.057953590796642265,0.10656788446012709,main_directed_f1
common,N-sweep,200,Fixed-Poisson DP,directed_f1,100,100,0.0,0.798646903820817,0.12206458305335963,0.012206458305335963,0.7747222455423586,0.8225715620992755,0.7747222455423586,0.8225715620992755,main_directed_f1
common,N-sweep,200,LibraryDP,directed_f1,100,100,0.0,0.7836478498618087,0.12666563756391352,0.012666563756391353,0.7588213848992816,0.8084743148243357,0.7588213848992816,0.8084743148243357,main_directed_f1
common,N-sweep,200,LibraryGreedy,directed_f1,100,100,0.0,0.6276431147037553,0.19662150986575777,0.019662150986575776,0.5891052987700668,0.6661809306374439,0.5891052987700668,0.6661809306374439,main_directed_f1
common,N-sweep,200,ODS,directed_f1,100,100,0.0,0.5703010111755122,0.10795871643840028,0.010795871643840028,0.5491411027535857,0.5914609195974387,0.5491411027535857,0.5914609195974387,main_directed_f1
common,N-sweep,200,PC-RCIT,directed_f1,100,100,0.0,0.20046074745687747,0.1866535828306377,0.01866535828306377,0.1638766452220725,0.23704484969168246,0.1638766452220725,0.23704484969168246,main_directed_f1
common,N-sweep,400,Fixed-Poisson DP,directed_f1,100,100,0.0,0.9021100609535392,0.08198809398526027,0.008198809398526028,0.8860403945324282,0.9181797273746501,0.8860403945324282,0.9181797273746501,main_directed_f1
common,N-sweep,400,LibraryDP,directed_f1,100,100,0.0,0.8889889805846327,0.09530154634120103,0.009530154634120103,0.8703098775017574,0.9076680836675081,0.8703098775017574,0.9076680836675081,main_directed_f1
common,N-sweep,400,LibraryGreedy,directed_f1,100,100,0.0,0.7235030636030636,0.19505704718805628,0.01950570471880563,0.6852718823542046,0.7617342448519226,0.6852718823542046,0.7617342448519226,main_directed_f1
common,N-sweep,400,ODS,directed_f1,100,100,0.0,0.6112884806682409,0.1054775160899881,0.010547751608998809,0.5906148875146032,0.6319620738218786,0.5906148875146032,0.6319620738218786,main_directed_f1
common,N-sweep,400,PC-RCIT,directed_f1,100,100,0.0,0.30156874360589525,0.20972159219442463,0.02097215921944246,0.26046331153578806,0.34267417567600245,0.26046331153578806,0.34267417567600245,main_directed_f1
common,N-sweep,800,Fixed-Poisson DP,directed_f1,100,100,0.0,0.9515072043898131,0.06495811403015081,0.006495811403015081,0.9387754140399035,0.9642389947397226,0.9387754140399035,0.9642389947397226,main_directed_f1
common,N-sweep,800,LibraryDP,directed_f1,100,100,0.0,0.9474360581447538,0.06786369599581683,0.006786369599581683,0.9341347737295738,0.9607373425599339,0.9341347737295738,0.9607373425599339,main_directed_f1
common,N-sweep,800,LibraryGreedy,directed_f1,100,100,0.0,0.7321233201581028,0.24036654908000896,0.024036654908000894,0.685011476538421,0.7792351637777846,0.685011476538421,0.7792351637777846,main_directed_f1
common,N-sweep,800,ODS,directed_f1,100,100,0.0,0.7018457690293063,0.10649289382944935,0.010649289382944935,0.6809731618387342,0.7227183762198783,0.6809731618387342,0.7227183762198783,main_directed_f1
common,N-sweep,800,PC-RCIT,directed_f1,100,100,0.0,0.3837409802697863,0.21786758752578766,0.021786758752578766,0.34103893311473193,0.4264430274248407,0.34103893311473193,0.4264430274248407,main_directed_f1
common,N-sweep,1600,Fixed-Poisson DP,directed_f1,100,100,0.0,0.9806101449275364,0.037576718062325674,0.0037576718062325674,0.9732451081873206,0.9879751816677522,0.9732451081873206,0.9879751816677522,main_directed_f1
common,N-sweep,1600,LibraryDP,directed_f1,100,100,0.0,0.9806101449275364,0.037576718062325674,0.0037576718062325674,0.9732451081873206,0.9879751816677522,0.9732451081873206,0.9879751816677522,main_directed_f1
common,N-sweep,1600,LibraryGreedy,directed_f1,100,100,0.0,0.7796187768752985,0.25333845429610413,0.025333845429610414,0.7299644398332621,0.8292731139173348,0.7299644398332621,0.8292731139173348,main_directed_f1
