source,regime,sweep,sweep_value,d,N,average_in_degree,replication,method_internal,method_display,method_stream,cell_base_seed,data_seed,method_seed,paired_across_regimes
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,0,LibraryDP,Proposed DP-BIC,1,20260622,18086829191487821512,4856902855386130098,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,0,LibraryGreedy,Greedy-BIC,2,20260622,18086829191487821512,3529937506805223647,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,0,OracleDP,Poisson-only DP,3,20260622,18086829191487821512,12904713069498771178,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,0,PC-RCIT,PC-RCIT,4,20260622,18086829191487821512,16788294417426410947,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,0,PoissonDAG-ODS,ODS,7,20260622,18086829191487821512,12427128217274239060,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,1,LibraryDP,Proposed DP-BIC,1,20260622,8583434687954839353,16764492490997204298,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,1,LibraryGreedy,Greedy-BIC,2,20260622,8583434687954839353,15809866309240361073,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,1,OracleDP,Poisson-only DP,3,20260622,8583434687954839353,13214076520712840868,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,1,PC-RCIT,PC-RCIT,4,20260622,8583434687954839353,4272805823128485787,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,1,PoissonDAG-ODS,ODS,7,20260622,8583434687954839353,8757133322921121394,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,2,LibraryDP,Proposed DP-BIC,1,20260622,369777690918623477,11131285480220178196,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,2,LibraryGreedy,Greedy-BIC,2,20260622,369777690918623477,18268028950683970275,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,2,OracleDP,Poisson-only DP,3,20260622,369777690918623477,15267943334778937999,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,2,PC-RCIT,PC-RCIT,4,20260622,369777690918623477,8429470877816720099,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,2,PoissonDAG-ODS,ODS,7,20260622,369777690918623477,11299456385289068124,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,3,LibraryDP,Proposed DP-BIC,1,20260622,5045849334373184651,10243494500357397779,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,3,LibraryGreedy,Greedy-BIC,2,20260622,5045849334373184651,12012318802850314197,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,3,OracleDP,Poisson-only DP,3,20260622,5045849334373184651,8609637017594384578,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,3,PC-RCIT,PC-RCIT,4,20260622,5045849334373184651,16425747274446085082,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,3,PoissonDAG-ODS,ODS,7,20260622,5045849334373184651,18092048678153061764,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,4,LibraryDP,Proposed DP-BIC,1,20260622,11583013393382089649,15255945549044526355,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,4,LibraryGreedy,Greedy-BIC,2,20260622,11583013393382089649,15125116625990955697,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,4,OracleDP,Poisson-only DP,3,20260622,11583013393382089649,5054504981094491537,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,4,PC-RCIT,PC-RCIT,4,20260622,11583013393382089649,4750624205267831236,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,4,PoissonDAG-ODS,ODS,7,20260622,11583013393382089649,14911555680811800733,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,5,LibraryDP,Proposed DP-BIC,1,20260622,2553083690436475179,11131829922447727912,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,5,LibraryGreedy,Greedy-BIC,2,20260622,2553083690436475179,14608480818380284428,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,5,OracleDP,Poisson-only DP,3,20260622,2553083690436475179,11033966719724115816,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,5,PC-RCIT,PC-RCIT,4,20260622,2553083690436475179,16448078991954190703,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,5,PoissonDAG-ODS,ODS,7,20260622,2553083690436475179,5083776146184213696,True
ptsem_final_corrected_core,extended,average_in_degree,1.0,8,3200,1.0,6,LibraryDP,Proposed DP-BIC,1,20260622,2848171300065154629,14380949698136076750,True
