regime,sweep,sweep_value,shared_cell_id,d,N,average_in_degree,replication,method_internal,method_display,master_seed,data_seed,method_seed
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,0,LibraryDP,Proposed DP-BIC,20260622,9287036761441287670,5670637362360280288
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,0,LibraryGreedy,Greedy-BIC,20260622,9287036761441287670,4641663288857415079
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,0,OracleDP,Oracle DP,20260622,9287036761441287670,12441344515064899291
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,0,PoissonDAG-ODS,ODS,20260622,9287036761441287670,7325150538810647629
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,0,PC-RCIT,PC-RCIT,20260622,9287036761441287670,4237152050877058857
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,0,PBSCM,PB-SCM,20260622,9287036761441287670,2072584005247950332
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,0,PBSCM_PGF,PB-SCM-PGF,20260622,9287036761441287670,945645802410890858
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,1,LibraryDP,Proposed DP-BIC,20260622,5264105092107750586,7790928789930410385
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,1,LibraryGreedy,Greedy-BIC,20260622,5264105092107750586,4989881332060759244
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,1,OracleDP,Oracle DP,20260622,5264105092107750586,6203858501554708562
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,1,PoissonDAG-ODS,ODS,20260622,5264105092107750586,16839146738335649082
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,1,PC-RCIT,PC-RCIT,20260622,5264105092107750586,14035707926455862047
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,1,PBSCM,PB-SCM,20260622,5264105092107750586,4070671513219264464
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,1,PBSCM_PGF,PB-SCM-PGF,20260622,5264105092107750586,15539355794383112600
