regime,sweep,sweep_value,d,N,average_in_degree,method,metric,N_total,N_nonNA,NA_rate,mean,sd,se,ci95_low,ci95_high
restricted,dimension,4.0,4,3200,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9823333333333334,0.0509567586971722,0.0050956758697172,0.9723458086286876,0.9923208580379792
restricted,dimension,4.0,4,3200,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.878060606060606,0.1913068962595318,0.0191306896259531,0.8405644543937377,0.9155567577274742
restricted,dimension,4.0,4,3200,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.9861515151515152,0.040574148336147,0.0040574148336147,0.9781989820776305,0.9941040482254
restricted,dimension,4.0,4,3200,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.6490303030303031,0.1976005907164831,0.0197600590716483,0.6103005872498724,0.6877600188107338
restricted,dimension,4.0,4,3200,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.0516666666666666,0.1425138616877801,0.014251386168778,0.0237339497758617,0.0795993835574715
restricted,dimension,4.0,4,3200,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.1284292929292929,0.2525601781276023,0.0252560178127602,0.0789274980162828,0.1779310878423029
restricted,dimension,4.0,4,3200,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.0909603174603174,0.1742250301611457,0.0174225030161145,0.0568122115487328,0.125108423371902
restricted,dimension,5.0,5,3200,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9760774617539324,0.0513158758251911,0.0051315875825191,0.9660195500921948,0.9861353734156696
restricted,dimension,5.0,5,3200,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.8616530920060331,0.1943997299586738,0.0194399729958673,0.823550744934133,0.8997554390779332
restricted,dimension,5.0,5,3200,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.974822559793148,0.0514871444376828,0.0051487144437682,0.9647310794833622,0.9849140401029338
restricted,dimension,5.0,5,3200,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.6346896208366796,0.1844737455244014,0.0184473745524401,0.5985327667138969,0.6708464749594623
restricted,dimension,5.0,5,3200,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.3881922244422244,0.3041183387959126,0.0304118338795912,0.3285850300382255,0.4477994188462232
restricted,dimension,5.0,5,3200,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.1404358974358974,0.2067760266712398,0.0206776026671239,0.0999077962083344,0.1809639986634604
restricted,dimension,5.0,5,3200,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.0505252525252525,0.1240768654118166,0.0124076865411816,0.0262061869045364,0.0748443181459686
restricted,dimension,6.0,6,3200,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9805819573443412,0.036387975311018,0.0036387975311018,0.9734499141833816,0.9877140005053008
restricted,dimension,6.0,6,3200,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.9064503783969728,0.1710670211189613,0.0171067021118961,0.8729212422576564,0.9399795145362893
restricted,dimension,6.0,6,3200,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.9770064499484004,0.0389697799571969,0.0038969779957196,0.96936837307679,0.984644526820011
restricted,dimension,6.0,6,3200,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.6113991484951238,0.1733698527977233,0.0173369852797723,0.57741865734677,0.6453796396434776
restricted,dimension,6.0,6,3200,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.4563978195007606,0.2658343909196644,0.0265834390919664,0.4042942788805064,0.5085013601210149
restricted,dimension,6.0,6,3200,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.0896938045614516,0.1385444732385448,0.0138544473238544,0.0625390878066968,0.1168485213162064
restricted,dimension,6.0,6,3200,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.0269730269730269,0.097622860812228,0.0097622860812228,0.0078389462538302,0.0461071076922236
restricted,dimension,7.0,7,3200,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.969914045362962,0.0454742940819131,0.0045474294081913,0.9610010837229068,0.9788270070030168
restricted,dimension,7.0,7,3200,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.9079748345909338,0.1389020393594937,0.0138902039359493,0.880750034876473,0.9351996343053944
restricted,dimension,7.0,7,3200,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.9695745602866346,0.0447537834547322,0.0044753783454732,0.960802818729507,0.978346301843762
restricted,dimension,7.0,7,3200,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.5975237413668427,0.1667725425519392,0.0166772542551939,0.5648363230266626,0.6302111597070228
restricted,dimension,7.0,7,3200,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.5021854778348586,0.2126731596562487,0.0212673159656248,0.4605015385422338,0.5438694171274834
restricted,dimension,7.0,7,3200,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.147131332719568,0.1821952626610369,0.0182195262661036,0.1114210612380048,0.1828416042011312
restricted,dimension,7.0,7,3200,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.0098717948717948,0.0458772902269948,0.0045877290226994,0.0008798459873038,0.0188637437562858
restricted,dimension,8.0,8,3200,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9730920885877408,0.0409381779434184,0.0040938177943418,0.9650682057108309,0.9811159714646508
