regime,sweep,sweep_value,d,N,average_in_degree,method,metric,N_total,N_nonNA,NA_rate,mean,sd,se,ci95_low,ci95_high
restricted,dimension,4.0,4,3200,1.5,LibraryDP,alpha_mape_recomputed,100,100,0.0,7.124205456044091,5.829205465365665,0.5829205465365666,5.981681184832421,8.266729727255761
restricted,dimension,4.0,4,3200,1.5,LibraryGreedy,alpha_mape_recomputed,100,100,0.0,14.829828396425166,18.65557820344104,1.865557820344104,11.173335068550722,18.48632172429961
restricted,dimension,4.0,4,3200,1.5,OracleDP,alpha_mape_recomputed,100,100,0.0,6.652853426324161,4.574994261347587,0.4574994261347587,5.756154551100034,7.549552301548289
restricted,dimension,5.0,5,3200,1.5,LibraryDP,alpha_mape_recomputed,100,100,0.0,7.0606898980842665,4.48532155933991,0.448532155933991,6.181566872453644,7.939812923714889
restricted,dimension,5.0,5,3200,1.5,LibraryGreedy,alpha_mape_recomputed,100,100,0.0,14.129798135621586,17.436409656270985,1.7436409656270986,10.712261842992472,17.5473344282507
restricted,dimension,5.0,5,3200,1.5,OracleDP,alpha_mape_recomputed,100,100,0.0,6.947420109423916,4.4195747433485,0.44195747433485,6.08118345972761,7.813656759120223
restricted,dimension,6.0,6,3200,1.5,LibraryDP,alpha_mape_recomputed,100,100,0.0,7.136045086656953,3.814071627610391,0.3814071627610391,6.388487047645317,7.883603125668589
restricted,dimension,6.0,6,3200,1.5,LibraryGreedy,alpha_mape_recomputed,100,99,0.01,10.50067294281948,8.733957640965984,0.8777957706042955,8.78019323243506,12.221152653203898
restricted,dimension,6.0,6,3200,1.5,OracleDP,alpha_mape_recomputed,100,100,0.0,7.176959999978287,3.911460121387506,0.3911460121387506,6.410313816186336,7.943606183770238
restricted,dimension,7.0,7,3200,1.5,LibraryDP,alpha_mape_recomputed,100,100,0.0,7.053024398213894,4.493555605314741,0.4493555605314741,6.172287499572205,7.933761296855582
restricted,dimension,7.0,7,3200,1.5,LibraryGreedy,alpha_mape_recomputed,100,100,0.0,9.169870569596505,6.9947092750463975,0.6994709275046398,7.798907551687408,10.540833587505595
restricted,dimension,7.0,7,3200,1.5,OracleDP,alpha_mape_recomputed,100,100,0.0,7.209233124378148,4.739157388053947,0.4739157388053946,6.280358276319575,8.138107972436721
restricted,dimension,8.0,8,3200,1.5,LibraryDP,alpha_mape_recomputed,100,100,0.0,7.405321935343799,4.420597624629969,0.4420597624629969,6.538884800916325,8.271759069771273
restricted,dimension,8.0,8,3200,1.5,LibraryGreedy,alpha_mape_recomputed,100,100,0.0,10.566184597948274,7.933899647105338,0.7933899647105338,9.011140267115628,12.12122892878092
restricted,dimension,8.0,8,3200,1.5,OracleDP,alpha_mape_recomputed,100,100,0.0,7.435442825263387,4.514237525577922,0.4514237525577922,6.550652270250114,8.32023338027666
restricted,dimension,9.0,9,3200,1.5,LibraryDP,alpha_mape_recomputed,100,100,0.0,6.777104050972521,3.84531162756738,0.384531162756738,6.023422971969314,7.530785129975728
restricted,dimension,9.0,9,3200,1.5,LibraryGreedy,alpha_mape_recomputed,100,100,0.0,9.42724528077532,7.312505678488754,0.7312505678488754,7.993994167791524,10.860496393759115
restricted,dimension,9.0,9,3200,1.5,OracleDP,alpha_mape_recomputed,100,100,0.0,6.803721306908895,3.844001811304509,0.3844001811304509,6.050296951893211,7.557145661924579
restricted,dimension,10.0,10,3200,1.5,LibraryDP,alpha_mape_recomputed,100,100,0.0,6.5216753567867,2.928532225602817,0.2928532225602817,5.947683040568548,7.095667673004852
restricted,dimension,10.0,10,3200,1.5,LibraryGreedy,alpha_mape_recomputed,100,100,0.0,7.535036492925076,3.8757621562836726,0.3875762156283672,6.775387110293476,8.294685875556675
restricted,dimension,10.0,10,3200,1.5,OracleDP,alpha_mape_recomputed,100,100,0.0,6.415680314509444,2.809568763875095,0.2809568763875095,5.865004836789925,6.966355792228963
restricted,sample_size,100.0,8,100,1.5,LibraryDP,alpha_mape_recomputed,100,100,0.0,33.79800597071999,19.591141670522564,1.9591141670522565,29.95814220329757,37.63786973814241
restricted,sample_size,100.0,8,100,1.5,LibraryGreedy,alpha_mape_recomputed,100,100,0.0,36.72789594894549,21.628764837844336,2.1628764837844336,32.488658040728,40.96713385716298
restricted,sample_size,100.0,8,100,1.5,OracleDP,alpha_mape_recomputed,100,100,0.0,32.73886190560288,19.31090857944097,1.9310908579440969,28.95392382403245,36.52379998717331
restricted,sample_size,200.0,8,200,1.5,LibraryDP,alpha_mape_recomputed,100,100,0.0,24.877146832065687,22.13752488595507,2.213752488595507,20.53819195441849,29.21610170971288
