regime,sweep,sweep_value,d,N,average_in_degree,method,metric,N_total,N_nonNA,NA_rate,mean,sd,se,ci95_low,ci95_high
restricted,sample_size,100.0,8,100,1.5,LibraryDP,family_accuracy_recomputed,100,100,0.0,0.64875,0.1756077110545496,0.0175607711054549,0.6143308886333083,0.6831691113666918
restricted,sample_size,100.0,8,100,1.5,LibraryGreedy,family_accuracy_recomputed,100,100,0.0,0.64125,0.177360522807374,0.0177360522807374,0.6064873375297547,0.6760126624702453
restricted,sample_size,200.0,8,200,1.5,LibraryDP,family_accuracy_recomputed,100,100,0.0,0.74125,0.1467826246150711,0.0146782624615071,0.712480605575446,0.7700193944245539
restricted,sample_size,200.0,8,200,1.5,LibraryGreedy,family_accuracy_recomputed,100,100,0.0,0.7175,0.1575338668093918,0.0157533866809391,0.6866233621053592,0.7483766378946408
restricted,sample_size,400.0,8,400,1.5,LibraryDP,family_accuracy_recomputed,100,100,0.0,0.79375,0.1380498647283479,0.0138049864728347,0.7666922265132438,0.8208077734867562
restricted,sample_size,400.0,8,400,1.5,LibraryGreedy,family_accuracy_recomputed,100,100,0.0,0.73875,0.1539617803156997,0.0153961780315699,0.7085734910581228,0.7689265089418772
restricted,sample_size,800.0,8,800,1.5,LibraryDP,family_accuracy_recomputed,100,100,0.0,0.84875,0.1055514020979754,0.0105551402097975,0.8280619251887968,0.8694380748112032
restricted,sample_size,800.0,8,800,1.5,LibraryGreedy,family_accuracy_recomputed,100,100,0.0,0.81625,0.1404077305851811,0.0140407730585181,0.7887300848053045,0.8437699151946956
restricted,sample_size,1600.0,8,1600,1.5,LibraryDP,family_accuracy_recomputed,100,100,0.0,0.88875,0.1049515881660961,0.0104951588166096,0.8681794887194452,0.9093205112805548
restricted,sample_size,1600.0,8,1600,1.5,LibraryGreedy,family_accuracy_recomputed,100,100,0.0,0.84375,0.1391884395960085,0.0139188439596008,0.8164690658391823,0.8710309341608177
restricted,sample_size,3200.0,8,3200,1.5,LibraryDP,family_accuracy_recomputed,100,100,0.0,0.90875,0.1063854602923546,0.0106385460292354,0.8878984497826985,0.9296015502173014
restricted,sample_size,3200.0,8,3200,1.5,LibraryGreedy,family_accuracy_recomputed,100,100,0.0,0.865,0.1493673527267791,0.0149367352726779,0.8357239988655513,0.8942760011344487
restricted,sample_size,6400.0,8,6400,1.5,LibraryDP,family_accuracy_recomputed,100,100,0.0,0.9375,0.0842749828079052,0.0084274982807905,0.9209821033696506,0.9540178966303494
restricted,sample_size,6400.0,8,6400,1.5,LibraryGreedy,family_accuracy_recomputed,100,100,0.0,0.90625,0.1170111256904809,0.011701112569048,0.8833158193646657,0.9291841806353344
restricted,sample_size,10000.0,8,10000,1.5,LibraryDP,family_accuracy_recomputed,100,100,0.0,0.945,0.0760449096444218,0.0076044909644421,0.9300951977096932,0.9599048022903066
restricted,sample_size,10000.0,8,10000,1.5,LibraryGreedy,family_accuracy_recomputed,100,100,0.0,0.90375,0.1189906519543668,0.0118990651954366,0.8804278322169442,0.927072167783056
extended,sample_size,100.0,8,100,1.5,LibraryDP,family_accuracy_recomputed,100,100,0.0,0.63375,0.1822757027641967,0.0182275702764196,0.5980239622582175,0.6694760377417825
extended,sample_size,100.0,8,100,1.5,LibraryGreedy,family_accuracy_recomputed,100,100,0.0,0.5675,0.198176663356183,0.0198176663356183,0.5286573739821882,0.6063426260178119
extended,sample_size,200.0,8,200,1.5,LibraryDP,family_accuracy_recomputed,100,100,0.0,0.695,0.1379869705457875,0.0137986970545787,0.6679545537730256,0.7220454462269743
extended,sample_size,200.0,8,200,1.5,LibraryGreedy,family_accuracy_recomputed,100,100,0.0,0.63375,0.1601520347745361,0.0160152034774536,0.602360201184191,0.6651397988158091
extended,sample_size,400.0,8,400,1.5,LibraryDP,family_accuracy_recomputed,100,100,0.0,0.745,0.1474959338593796,0.0147495933859379,0.7160907969635616,0.7739092030364384
extended,sample_size,400.0,8,400,1.5,LibraryGreedy,family_accuracy_recomputed,100,100,0.0,0.67,0.1699673171197595,0.0169967317119759,0.6366864058445272,0.7033135941554729
extended,sample_size,800.0,8,800,1.5,LibraryDP,family_accuracy_recomputed,100,100,0.0,0.8125,0.1299523999879427,0.0129952399987942,0.7870293296023633,0.8379706703976367
extended,sample_size,800.0,8,800,1.5,LibraryGreedy,family_accuracy_recomputed,100,100,0.0,0.7325,0.1872009399527468,0.0187200939952746,0.6958086157692617,0.7691913842307384
extended,sample_size,1600.0,8,1600,1.5,LibraryDP,family_accuracy_recomputed,100,100,0.0,0.82625,0.1386430905802974,0.0138643090580297,0.7990759542462618,0.8534240457537383
extended,sample_size,1600.0,8,1600,1.5,LibraryGreedy,family_accuracy_recomputed,100,100,0.0,0.7475,0.1846201396370286,0.0184620139637028,0.7113144526311425,0.7836855473688576
extended,sample_size,3200.0,8,3200,1.5,LibraryDP,family_accuracy_recomputed,100,100,0.0,0.8725,0.1243417009126808,0.012434170091268,0.8481290266211146,0.8968709733788855
extended,sample_size,3200.0,8,3200,1.5,LibraryGreedy,family_accuracy_recomputed,100,100,0.0,0.775,0.2002208376727653,0.0200220837672765,0.735756715816138,0.814243284183862
extended,sample_size,6400.0,8,6400,1.5,LibraryDP,family_accuracy_recomputed,100,100,0.0,0.88625,0.1067409187583362,0.0106740918758336,0.8653287799233661,0.907171220076634
extended,sample_size,6400.0,8,6400,1.5,LibraryGreedy,family_accuracy_recomputed,100,100,0.0,0.78875,0.1791666666666666,0.0179166666666666,0.7536333333333333,0.8238666666666666
extended,sample_size,10000.0,8,10000,1.5,LibraryDP,family_accuracy_recomputed,100,100,0.0,0.905,0.106777877631629,0.0106777877631629,0.8840715359842007,0.9259284640157992
extended,sample_size,10000.0,8,10000,1.5,LibraryGreedy,family_accuracy_recomputed,100,100,0.0,0.8025,0.1881763894205474,0.0188176389420547,0.7656174276735727,0.8393825723264273
