regime,sweep,sweep_value,d,N,average_in_degree,method,metric,N_total,N_nonNA,NA_rate,mean,sd,se,ci95_low,ci95_high
restricted,dimension,4.0,4,3200,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9823333333333334,0.050956758697172214,0.005095675869717221,0.9723458086286877,0.9923208580379791
restricted,dimension,4.0,4,3200,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.878060606060606,0.19130689625953184,0.019130689625953184,0.8405644543937377,0.9155567577274742
restricted,dimension,4.0,4,3200,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.9861515151515152,0.040574148336147024,0.004057414833614702,0.9781989820776305,0.9941040482254
restricted,dimension,4.0,4,3200,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.6490303030303031,0.19760059071648317,0.019760059071648316,0.6103005872498724,0.6877600188107338
restricted,dimension,4.0,4,3200,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.051666666666666666,0.14251386168778016,0.014251386168778015,0.023733949775861757,0.07959938355747158
restricted,dimension,4.0,4,3200,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.12842929292929292,0.2525601781276023,0.02525601781276023,0.07892749801628288,0.17793108784230297
restricted,dimension,4.0,4,3200,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.09096031746031745,0.1742250301611457,0.01742250301611457,0.056812211548732894,0.125108423371902
restricted,dimension,5.0,5,3200,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9760774617539323,0.051315875825191176,0.005131587582519118,0.9660195500921949,0.9861353734156697
restricted,dimension,5.0,5,3200,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.8616530920060331,0.19439972995867388,0.01943997299586739,0.823550744934133,0.8997554390779332
restricted,dimension,5.0,5,3200,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.974822559793148,0.05148714443768289,0.005148714443768289,0.9647310794833622,0.9849140401029338
restricted,dimension,5.0,5,3200,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.6346896208366796,0.18447374552440146,0.018447374552440145,0.5985327667138969,0.6708464749594623
restricted,dimension,5.0,5,3200,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.3881922244422244,0.30411833879591266,0.030411833879591267,0.32858503003822553,0.44779941884622326
restricted,dimension,5.0,5,3200,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.14043589743589743,0.20677602667123984,0.020677602667123984,0.09990779620833443,0.18096399866346044
restricted,dimension,5.0,5,3200,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.050525252525252536,0.12407686541181666,0.012407686541181667,0.02620618690453647,0.0748443181459686
restricted,dimension,6.0,6,3200,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9805819573443412,0.036387975311018034,0.003638797531101803,0.9734499141833817,0.9877140005053007
restricted,dimension,6.0,6,3200,1.5,LibraryGreedy,directed_f1_recomputed,100,100,0.0,0.9064503783969728,0.17106702111896135,0.017106702111896136,0.8729212422576564,0.9399795145362893
restricted,dimension,6.0,6,3200,1.5,OracleDP,directed_f1_recomputed,100,100,0.0,0.9770064499484005,0.03896977995719692,0.0038969779957196923,0.9693683730767899,0.984644526820011
restricted,dimension,6.0,6,3200,1.5,PoissonDAG-ODS,directed_f1_recomputed,100,100,0.0,0.6113991484951238,0.17336985279772335,0.017336985279772336,0.57741865734677,0.6453796396434776
restricted,dimension,6.0,6,3200,1.5,PC-RCIT,directed_f1_recomputed,100,100,0.0,0.45639781950076064,0.26583439091966443,0.026583439091966442,0.4042942788805064,0.5085013601210149
restricted,dimension,6.0,6,3200,1.5,PBSCM,directed_f1_recomputed,100,100,0.0,0.08969380456145162,0.1385444732385448,0.01385444732385448,0.06253908780669684,0.1168485213162064
restricted,dimension,6.0,6,3200,1.5,PBSCM_PGF,directed_f1_recomputed,100,100,0.0,0.02697302697302697,0.09762286081222803,0.009762286081222803,0.007838946253830276,0.04610710769222366
restricted,dimension,7.0,7,3200,1.5,LibraryDP,directed_f1_recomputed,100,100,0.0,0.9699140453629619,0.045474294081913176,0.004547429408191318,0.9610010837229069,0.9788270070030168
