regime,true_family,selected_family,count,row_total,row_proportion
restricted,Bernoulli,Bernoulli,116,139,0.8345323741007195
restricted,NB,NB,140,148,0.9459459459459459
restricted,Geom,Geom,121,146,0.8287671232876712
restricted,ZIP,ZIP,120,124,0.967741935483871
restricted,Poisson,Poisson,118,119,0.9915966386554622
restricted,Binomial,Binomial,112,124,0.9032258064516129
restricted,Geom,NB,25,146,0.17123287671232876
restricted,Bernoulli,Binomial,1,139,0.007194244604316547
restricted,ZIP,Geom,2,124,0.016129032258064516
restricted,Binomial,Poisson,8,124,0.06451612903225806
restricted,Bernoulli,Geom,8,139,0.05755395683453238
restricted,Bernoulli,Poisson,14,139,0.10071942446043165
restricted,Binomial,Geom,1,124,0.008064516129032258
restricted,ZIP,NB,2,124,0.016129032258064516
restricted,NB,Poisson,5,148,0.033783783783783786
restricted,Binomial,Bernoulli,3,124,0.024193548387096774
restricted,NB,Geom,3,148,0.02027027027027027
restricted,Poisson,NB,1,119,0.008403361344537815
extended,Bernoulli,Bernoulli,117,139,0.841726618705036
extended,NB,NB,128,148,0.8648648648648649
extended,Geom,NB,16,146,0.1095890410958904
extended,ZIP,ZIP,107,124,0.8629032258064516
extended,Poisson,Poisson,119,119,1.0
extended,Geom,Geom,130,146,0.8904109589041096
extended,Binomial,Binomial,97,124,0.782258064516129
extended,ZIP,Geom,13,124,0.10483870967741936
extended,Binomial,Geom,3,124,0.024193548387096774
extended,Bernoulli,Poisson,11,139,0.07913669064748201
extended,Bernoulli,Geom,11,139,0.07913669064748201
extended,Binomial,Poisson,22,124,0.1774193548387097
extended,ZIP,Poisson,2,124,0.016129032258064516
extended,NB,Poisson,14,148,0.0945945945945946
extended,ZIP,NB,1,124,0.008064516129032258
extended,NB,ZIP,3,148,0.02027027027027027
extended,Binomial,Bernoulli,2,124,0.016129032258064516
extended,NB,Geom,3,148,0.02027027027027027
extended,ZIP,Bernoulli,1,124,0.008064516129032258
