season,method,n,runtime_sec,model_applicable,applicability_reason,pred_directed_edges,pred_undirected_edges,n_pred_directed_edges,n_pred_undirected_edges,skeleton_precision,skeleton_recall,skeleton_f1,skeleton_tp,skeleton_fp,skeleton_fn,directed_precision,directed_recall,directed_f1,directed_tp,directed_fp,directed_fn,exact_recovery
2015-16,ODS,9840,3.620856699999422,True,,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM, FTA->PERS_FOUL_DRAWN",(none),5,0,0.8,1.0,0.888888888888889,4,1,0,0.8,1.0,0.888888888888889,4,1,0,False
2015-16,PC (RCIT),9840,6.679329800012056,True,,"FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FOUL, LOOSE_BALL_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",FOUL--FTA,5,1,0.6666666666666666,1.0,0.8,4,2,0,0.2,0.25,0.22222222222222224,1,4,3,False
2015-16,PB-SCM (Cumulant),9840,0.22198189998744056,False,Raw NBA counts violate PB-SCM binomial-thinning constraints: the positive reference-edge coefficients exceed 1.,(none),(none),0,0,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0,0,4,False
2015-16,PB-SCM (PGF),9840,0.6155803000438027,False,The PGF procedure assumes the same PB-SCM binomial-thinning model; the positive reference-edge coefficients exceed 1.,"FOUL->FTM, FOUL->LOOSE_BALL_FOUL_DRAWN, FTA->FOUL, FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FTM, PERS_FOUL_DRAWN->FOUL",(none),6,0,0.6666666666666666,1.0,0.8,4,2,0,0.3333333333333333,0.5,0.4,2,4,2,False
2016-17,ODS,9840,2.949048299982678,True,,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM, FTA->PERS_FOUL_DRAWN",(none),5,0,0.8,1.0,0.888888888888889,4,1,0,0.8,1.0,0.888888888888889,4,1,0,False
2016-17,PC (RCIT),9840,5.983439399977215,True,,"FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FOUL, LOOSE_BALL_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",FOUL--FTA,5,1,0.6666666666666666,1.0,0.8,4,2,0,0.2,0.25,0.22222222222222224,1,4,3,False
2016-17,PB-SCM (Cumulant),9840,1.9911844999878667,False,Raw NBA counts violate PB-SCM binomial-thinning constraints: the positive reference-edge coefficients exceed 1.,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN",(none),3,0,1.0,0.75,0.8571428571428571,3,0,1,1.0,0.75,0.8571428571428571,3,0,1,False
2016-17,PB-SCM (PGF),9840,0.6394310999894515,False,The PGF procedure assumes the same PB-SCM binomial-thinning model; the positive reference-edge coefficients exceed 1.,"FOUL->FTM, FTA->FTM","FOUL--FTA, FOUL--LOOSE_BALL_FOUL_DRAWN, FOUL--PERS_FOUL_DRAWN",2,3,0.8,1.0,0.888888888888889,4,1,0,0.5,0.25,0.3333333333333333,1,1,3,False
2017-18,ODS,9840,4.023372099967673,True,,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM, FTA->PERS_FOUL_DRAWN",(none),5,0,0.8,1.0,0.888888888888889,4,1,0,0.8,1.0,0.888888888888889,4,1,0,False
2017-18,PC (RCIT),9840,5.5994164000148885,True,,(none),"FOUL--FTA, FOUL--LOOSE_BALL_FOUL_DRAWN, FOUL--PERS_FOUL_DRAWN, FTA--FTM, FTA--LOOSE_BALL_FOUL_DRAWN, FTA--PERS_FOUL_DRAWN, LOOSE_BALL_FOUL_DRAWN--PERS_FOUL_DRAWN",0,7,0.5714285714285714,1.0,0.7272727272727273,4,3,0,0.0,0.0,0.0,0,0,4,False
2017-18,PB-SCM (Cumulant),9840,2.1410897000459954,False,Raw NBA counts violate PB-SCM binomial-thinning constraints: the positive reference-edge coefficients exceed 1.,FOUL->FTA,"FOUL--LOOSE_BALL_FOUL_DRAWN, FOUL--PERS_FOUL_DRAWN",1,2,1.0,0.75,0.8571428571428571,3,0,1,1.0,0.25,0.4,1,0,3,False
2017-18,PB-SCM (PGF),9840,0.6030847000074573,False,The PGF procedure assumes the same PB-SCM binomial-thinning model; the positive reference-edge coefficients exceed 1.,"FOUL->FTA, FOUL->FTM, FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FTM","FOUL--LOOSE_BALL_FOUL_DRAWN, FOUL--PERS_FOUL_DRAWN",5,2,0.5714285714285714,1.0,0.7272727272727273,4,3,0,0.4,0.5,0.4444444444444445,2,3,2,False
2018-19,ODS,9840,2.8410620000213385,True,,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM, FTA->PERS_FOUL_DRAWN",(none),5,0,0.8,1.0,0.888888888888889,4,1,0,0.8,1.0,0.888888888888889,4,1,0,False
2018-19,PC (RCIT),9840,6.9151872000074945,True,,(none),"FOUL--FTA, FOUL--LOOSE_BALL_FOUL_DRAWN, FOUL--PERS_FOUL_DRAWN, FTA--FTM, FTA--LOOSE_BALL_FOUL_DRAWN, FTA--PERS_FOUL_DRAWN, LOOSE_BALL_FOUL_DRAWN--PERS_FOUL_DRAWN",0,7,0.5714285714285714,1.0,0.7272727272727273,4,3,0,0.0,0.0,0.0,0,0,4,False
2018-19,PB-SCM (Cumulant),9840,2.1522355999914,False,Raw NBA counts violate PB-SCM binomial-thinning constraints: the positive reference-edge coefficients exceed 1.,FTA->FOUL,"FOUL--LOOSE_BALL_FOUL_DRAWN, FOUL--PERS_FOUL_DRAWN",1,2,1.0,0.75,0.8571428571428571,3,0,1,0.0,0.0,0.0,0,1,4,False
2018-19,PB-SCM (PGF),9840,0.6383388999965973,False,The PGF procedure assumes the same PB-SCM binomial-thinning model; the positive reference-edge coefficients exceed 1.,"FOUL->FTM, FOUL->PERS_FOUL_DRAWN, FTA->FOUL, FTA->FTM",(none),4,0,0.75,0.75,0.75,3,1,1,0.5,0.5,0.5,2,2,2,False
2019-20,ODS,8448,2.5382409999729134,True,,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM, FTA->PERS_FOUL_DRAWN",(none),5,0,0.8,1.0,0.888888888888889,4,1,0,0.8,1.0,0.888888888888889,4,1,0,False
2019-20,PC (RCIT),8448,4.611559299984947,True,,"FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FOUL, LOOSE_BALL_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",FOUL--FTA,5,1,0.6666666666666666,1.0,0.8,4,2,0,0.2,0.25,0.22222222222222224,1,4,3,False
2019-20,PB-SCM (Cumulant),8448,1.9393778999801725,False,Raw NBA counts violate PB-SCM binomial-thinning constraints: the positive reference-edge coefficients exceed 1.,"FOUL->FTA, FOUL->PERS_FOUL_DRAWN",FOUL--LOOSE_BALL_FOUL_DRAWN,2,1,1.0,0.75,0.8571428571428571,3,0,1,1.0,0.5,0.6666666666666666,2,0,2,False
2019-20,PB-SCM (PGF),8448,0.5643996999715455,False,The PGF procedure assumes the same PB-SCM binomial-thinning model; the positive reference-edge coefficients exceed 1.,"FOUL->FTM, FTA->FTM","FOUL--FTA, FOUL--LOOSE_BALL_FOUL_DRAWN, FOUL--PERS_FOUL_DRAWN",2,3,0.8,1.0,0.888888888888889,4,1,0,0.5,0.25,0.3333333333333333,1,1,3,False
2020-21,ODS,8640,2.315238400013186,True,,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM, FTA->PERS_FOUL_DRAWN",(none),5,0,0.8,1.0,0.888888888888889,4,1,0,0.8,1.0,0.888888888888889,4,1,0,False
2020-21,PC (RCIT),8640,4.497015699977055,True,,"FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FOUL, LOOSE_BALL_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",FOUL--FTA,5,1,0.6666666666666666,1.0,0.8,4,2,0,0.2,0.25,0.22222222222222224,1,4,3,False
2020-21,PB-SCM (Cumulant),8640,1.3206313999835402,False,Raw NBA counts violate PB-SCM binomial-thinning constraints: the positive reference-edge coefficients exceed 1.,"FOUL->PERS_FOUL_DRAWN, LOOSE_BALL_FOUL_DRAWN->FOUL",(none),2,0,1.0,0.5,0.6666666666666666,2,0,2,0.5,0.25,0.3333333333333333,1,1,3,False
2020-21,PB-SCM (PGF),8640,0.5517734999884851,False,The PGF procedure assumes the same PB-SCM binomial-thinning model; the positive reference-edge coefficients exceed 1.,"FOUL->FTA, FOUL->FTM, FTA->FTM, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",(none),5,0,0.6,0.75,0.6666666666666665,3,2,1,0.4,0.5,0.4444444444444445,2,3,2,False
