dataset,unit,season,n,estimator,child,child_index,parent_set,parent_mask,family,bic,loglik,alpha,params,parameter_count,success,status,nit,nfev,starts,moment_loglik,loglik_improvement,runtime_sec,diagnostics
foul_leaves_5_team,team-quarter,2021-22,9840,optimization,FOUL,0,,0,Poisson,40700.335046413114,-20345.570417711533,[],"{""lam"": 4.46890243902439}",1,True,analytic_mle,0,1,0,-20345.570417711533,0.0,0.001042500021867454,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""solver_path"": ""analytic_root"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2021-22,9840,optimization,FOUL,0,,0,NB,40709.54670179525,-20345.57913990758,[],"{""p"": 0.99999, ""r"": 446885.8876276522}",2,True,optimizer_converged_lbfgsb,2,44,2,-20345.579139908383,8.039933163672686e-10,0.10919099999591708,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""optimizer_powell_attempted"": false, ""optimizer_powell_success"": false, ""optimizer_primary_failed_starts"": 0, ""optimizer_primary_successful_starts"": 2, ""optimizer_results"": [{""fun"": 20345.57913990758, ""jac"": [0.0010913935518252066, -0.01346052047251088], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 21, ""nit"": 1, ""status"": 0, ""success"": true, ""x"": [13.010058556055633, 11.51291546492478]}, {""fun"": 20345.57913990758, ""jac"": [0.0010913935518252066, -0.01346052047251088], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 21, ""nit"": 1, ""status"": 0, ""success"": true, ""x"": [13.010058556055633, 11.51291546492478]}], ""solver_path"": ""general_convolution"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2021-22,9840,optimization,FOUL,0,,0,ZIP,40709.52926399403,-20345.57042100697,[],"{""lam"": 4.468902469763594, ""rho"": 1.0000000000000007e-09}",2,True,optimizer_converged_lbfgsb,2,32,2,-20345.57042100697,0.0,0.025127200002316386,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""optimizer_powell_attempted"": false, ""optimizer_powell_success"": false, ""optimizer_primary_failed_starts"": 0, ""optimizer_primary_successful_starts"": 2, ""optimizer_results"": [{""fun"": 20345.57042100697, ""jac"": [0.0, 0.0], ""message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""method"": ""L-BFGS-B"", ""nfev"": 15, ""nit"": 1, ""status"": 0, ""success"": true, ""x"": [1.4971428459860743, -20.72326583594641]}, {""fun"": 20345.57042100697, ""jac"": [0.0, 0.0], ""message"": ""CONVERGENCE: NORM_OF_PROJECTED_GRADIENT_<=_PGTOL"", ""method"": ""L-BFGS-B"", ""nfev"": 15, ""nit"": 1, ""status"": 0, ""success"": true, ""x"": [1.4971428459860743, -20.72326583594641]}], ""solver_path"": ""general_convolution"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2021-22,9840,optimization,FOUL,0,,0,Geom,51206.836893876774,-25598.821341443363,[],"{""p"": 0.1828520459360018}",1,True,analytic_mle,0,1,0,-25598.821341443363,0.0,0.0008045000140555203,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""solver_path"": ""analytic_root"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2021-22,9840,optimization,FOUL,0,,0,Binomial,40522.6076929271,-20256.706740968526,[],"{""n"": 25, ""p"": 0.1787560975609756}",1,True,analytic_mle,0,1,0,-20256.706740968526,0.0,0.0038666999898850918,"{""binomial_discrete_residual_mean"": 4.46890243902439, ""binomial_discrete_residual_variance"": 3.676675218124137, ""binomial_h_extension_used"": false, ""binomial_n_candidates"": 1, ""binomial_n_max"": 25, ""binomial_n_min"": 25, ""binomial_n_policy"": ""paper_H_binomial_discrete_index_continuous_full_mle"", ""binomial_n_tie_break"": ""not_applicable_single_mom_index"", ""certified_profiles"": 1, ""solver_path"": ""analytic_root"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2021-22,9840,optimization,FOUL,0,,0,Bernoulli,inf,-inf,[],{},1,False,infeasible_root_support,0,0,0,-inf,0.0,0.00016469997353851795,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 0, ""solver_path"": ""analytic_root"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2021-22,9840,optimization,FOUL,0,FTA,2,Poisson,35225.304008446175,-17603.457793233043,[0.458080028138688],"{""lam"": 1.9828406803948453}",2,True,poisson_convex_mle,21,27,2,-17603.550126089427,0.09233285638401867,0.03581889998167753,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""optimizer_primary_failed_starts"": 0, ""optimizer_primary_successful_starts"": 2, ""optimizer_results"": [{""fun"": 17603.45779323333, ""jac"": [0.00035033783754989667, 0.005166811527197446], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 12, ""nit"": 10, ""status"": 0, ""success"": true, ""x"": [1.98284027757432, 0.4580801589825761]}, {""fun"": 17603.457793233043, ""jac"": [-2.7943438512645358e-05, 0.00020342082924273974], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 13, ""nit"": 11, ""status"": 0, ""success"": true, ""x"": [1.9828406803948453, 0.458080028138688]}], ""poisson_canonical_agreement_abs"": 0.0, ""solver_path"": ""poisson_convex"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2021-22,9840,optimization,FOUL,0,FTA,2,NB,35234.525115624994,-17603.47124132743,[0.4580817742420625],"{""p"": 0.9999916758152082, ""r"": 238199.3303206378}",3,True,optimizer_converged_lbfgsb,13,86,2,-17603.566359181947,0.09511785451832111,0.2625445000012405,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""optimizer_powell_attempted"": false, ""optimizer_powell_success"": false, ""optimizer_primary_failed_starts"": 0, ""optimizer_primary_successful_starts"": 2, ""optimizer_results"": [{""fun"": 17603.473893206916, ""jac"": [-0.03346940504286058, -0.05748006039612754, 0.037107380762057024], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 44, ""nit"": 5, ""status"": 0, ""success"": true, ""x"": [0.4580845194454864, 12.200888923303372, 11.516373413613161]}, {""fun"": 17603.47124132743, ""jac"": [0.0010913936427019754, -0.010913935518252066, -0.006548361310951239], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 40, ""nit"": 8, ""status"": 0, ""success"": true, ""x"": [0.4580817742420625, 12.380863124483087, 11.696337125569974]}], ""solver_path"": ""general_convolution"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2021-22,9840,optimization,FOUL,0,FTA,2,ZIP,35234.4982264728,-17603.457796751332,[0.4580800172100217],"{""lam"": 1.9828407211879902, ""rho"": 1.0000000000000007e-09}",3,True,optimizer_converged_lbfgsb,16,86,2,-17603.550129639585,0.09233288825271302,0.08452560001751408,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""optimizer_powell_attempted"": false, ""optimizer_powell_success"": false, ""optimizer_primary_failed_starts"": 0, ""optimizer_primary_successful_starts"": 2, ""optimizer_results"": [{""fun"": 17603.457796751332, ""jac"": [0.0007275957618013168, 0.0003637978788811745, 0.0], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 36, ""nit"": 7, ""status"": 0, ""success"": true, ""x"": [0.4580800172100217, 0.6845305241674319, -20.72326583594641]}, {""fun"": 17603.457796751336, ""jac"": [0.0007275957618013168, 0.0003637978788811745, 0.0], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 48, ""nit"": 9, ""status"": 0, ""success"": true, ""x"": [0.4580800187929387, 0.6845305310180286, -20.72326583594641]}], ""solver_path"": ""general_convolution"", ""uncertified_profiles"": 0}"
foul_leaves_5_team,team-quarter,2021-22,9840,optimization,FOUL,0,FTA,2,Geom,37774.992293197756,-18878.301935608833,[0.6464845371720134],"{""p"": 0.5101145003665296}",2,True,optimizer_converged_lbfgsb,17,68,2,-19801.0002154541,922.6982798452664,0.09954809996997938,"{""binomial_discrete_residual_mean"": null, ""binomial_discrete_residual_variance"": null, ""binomial_h_extension_used"": null, ""binomial_n_candidates"": 0, ""binomial_n_max"": null, ""binomial_n_min"": null, ""binomial_n_policy"": null, ""binomial_n_tie_break"": null, ""certified_profiles"": 1, ""optimizer_powell_attempted"": false, ""optimizer_powell_success"": false, ""optimizer_primary_failed_starts"": 0, ""optimizer_primary_successful_starts"": 2, ""optimizer_results"": [{""fun"": 18878.301935608833, ""jac"": [0.000727595757762349, -0.0007275957612964458], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 33, ""nit"": 9, ""status"": 0, ""success"": true, ""x"": [0.6464845371720134, 0.04046352146107167]}, {""fun"": 18878.301935608855, ""jac"": [-0.001455191515524698, 0.0003637978806482229], ""message"": ""CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH"", ""method"": ""L-BFGS-B"", ""nfev"": 33, ""nit"": 8, ""status"": 0, ""success"": true, ""x"": [0.6464845223578394, 0.0404637069646037]}], ""solver_path"": ""general_convolution"", ""uncertified_profiles"": 0}"
