hypothesis,season,variables,reference_edges,estimated_edges,selected_families,skeleton_precision,skeleton_recall,skeleton_f1,directed_precision,directed_recall,directed_f1,exact,runtime_sec
foul_leaves_5_team,2015-16,FOUL;FTA;FTM;PERS_FOUL_DRAWN;LOOSE_BALL_FOUL_DRAWN,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM","FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM",Binomial;Bernoulli;Poisson;Poisson;Poisson,1.0,1.0,1.0,1.0,1.0,1.0,True,102.0493429999915
foul_leaves_5_team,2016-17,FOUL;FTA;FTM;PERS_FOUL_DRAWN;LOOSE_BALL_FOUL_DRAWN,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM","FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM",Binomial;Geom;Poisson;Poisson;Poisson,1.0,1.0,1.0,1.0,1.0,1.0,True,80.50110180000775
foul_leaves_5_team,2017-18,FOUL;FTA;FTM;PERS_FOUL_DRAWN;LOOSE_BALL_FOUL_DRAWN,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM","FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM",Binomial;Geom;Poisson;Poisson;Poisson,1.0,1.0,1.0,1.0,1.0,1.0,True,86.28575989999808
foul_leaves_5_team,2018-19,FOUL;FTA;FTM;PERS_FOUL_DRAWN;LOOSE_BALL_FOUL_DRAWN,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM","FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM",Binomial;Geom;Poisson;Bernoulli;Poisson,1.0,1.0,1.0,1.0,1.0,1.0,True,83.42341049999231
foul_leaves_5_team,2019-20,FOUL;FTA;FTM;PERS_FOUL_DRAWN;LOOSE_BALL_FOUL_DRAWN,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM","FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM",Binomial;Bernoulli;Poisson;Poisson;Poisson,1.0,1.0,1.0,1.0,1.0,1.0,True,76.64789019996533
foul_leaves_5_team,2020-21,FOUL;FTA;FTM;PERS_FOUL_DRAWN;LOOSE_BALL_FOUL_DRAWN,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM","FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM",Binomial;Geom;Poisson;Poisson;Poisson,1.0,1.0,1.0,1.0,1.0,1.0,True,74.3527198000229
foul_leaves_5_team,2021-22,FOUL;FTA;FTM;PERS_FOUL_DRAWN;LOOSE_BALL_FOUL_DRAWN,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM","FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM",Binomial;Bernoulli;Poisson;Poisson;Poisson,1.0,1.0,1.0,1.0,1.0,1.0,True,81.81795300001977
foul_leaves_5_team,2022-23,FOUL;FTA;FTM;PERS_FOUL_DRAWN;LOOSE_BALL_FOUL_DRAWN,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM","FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM",Binomial;Bernoulli;Poisson;Poisson;Poisson,1.0,1.0,1.0,1.0,1.0,1.0,True,76.82271180005046
foul_leaves_5_team,2023-24,FOUL;FTA;FTM;PERS_FOUL_DRAWN;LOOSE_BALL_FOUL_DRAWN,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM","FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM",Binomial;Geom;Poisson;Poisson;Poisson,1.0,1.0,1.0,1.0,1.0,1.0,True,82.35571209999034
foul_leaves_5_team,2024-25,FOUL;FTA;FTM;PERS_FOUL_DRAWN;LOOSE_BALL_FOUL_DRAWN,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM","FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM",Binomial;Bernoulli;Poisson;Poisson;Poisson,1.0,1.0,1.0,1.0,1.0,1.0,True,82.2272721999907
