season,source,target,coefficient,selected_family
2015-16,FOUL,FTA,1.2497448959249642,Bernoulli
2015-16,FTA,FTM,0.7568560985719758,Geom
2015-16,FOUL,PERS,0.40397657135190623,Poisson
2015-16,FOUL,LOOSE,0.0643825913652939,Poisson
2016-17,FOUL,FTA,1.2554019825881813,Geom
2016-17,FTA,FTM,0.7718424746991304,Poisson
2016-17,FOUL,PERS,0.38029083988552487,Poisson
2016-17,FOUL,LOOSE,0.06899101005546456,Poisson
2017-18,FOUL,FTA,1.1868126645652908,Geom
2017-18,FTA,FTM,0.7672701171236714,Geom
2017-18,FOUL,PERS,0.417498197713828,Poisson
2017-18,FOUL,LOOSE,0.06281462613043298,Poisson
2018-19,FOUL,FTA,1.2050345438585295,Geom
2018-19,FTA,FTM,0.7663704196687766,Poisson
2018-19,FOUL,PERS,0.31917558498944676,Bernoulli
2018-19,FOUL,LOOSE,0.06364338628634893,Poisson
2019-20,FOUL,FTA,1.2285119043502084,Bernoulli
2019-20,FTA,FTM,0.7729954639338797,Poisson
2019-20,FOUL,PERS,0.4038402730275382,Poisson
2019-20,FOUL,LOOSE,0.06338493933381462,Poisson
2020-21,FOUL,FTA,1.234144117028556,Geom
2020-21,FTA,FTM,0.7773571004828246,Geom
2020-21,FOUL,PERS,0.3899708869244288,Poisson
2020-21,FOUL,LOOSE,0.05570256193599929,Poisson
2021-22,FOUL,FTA,1.213464505008086,Bernoulli
2021-22,FTA,FTM,0.7748066530688614,Poisson
2021-22,FOUL,PERS,0.4018510886296754,Poisson
2021-22,FOUL,LOOSE,0.06101332109298458,Poisson
2022-23,LOOSE,FOUL,1.0344287705562503,Binomial
2022-23,FOUL,FTA,1.2969596842455375,Bernoulli
2022-23,FTA,FTM,0.7817363365458837,Poisson
2022-23,FOUL,PERS,0.33481686452167064,Poisson
2023-24,FOUL,FTA,1.2564456846263845,Geom
2023-24,FTA,FTM,0.7843327866368112,Poisson
2023-24,FOUL,PERS,0.3511761474482666,Poisson
2023-24,FOUL,LOOSE,0.06442002396585424,Poisson
2024-25,FOUL,FTA,1.2523932955919543,Bernoulli
2024-25,FTA,FTM,0.7798464900000701,Bernoulli
2024-25,FOUL,PERS,0.35099636002112256,Poisson
2024-25,FOUL,LOOSE,0.06878369242295987,Poisson
