season,node,family
2015-16,FOUL,Poisson
2015-16,FTA,Bernoulli
2015-16,FTM,Geom
2015-16,PERS,Poisson
2015-16,LOOSE,Poisson
2016-17,FOUL,Poisson
2016-17,FTA,Geom
2016-17,FTM,Poisson
2016-17,PERS,Poisson
2016-17,LOOSE,Poisson
2017-18,FOUL,Poisson
2017-18,FTA,Geom
2017-18,FTM,Geom
2017-18,PERS,Poisson
2017-18,LOOSE,Poisson
2018-19,FOUL,Binomial
2018-19,FTA,Geom
2018-19,FTM,Poisson
2018-19,PERS,Bernoulli
2018-19,LOOSE,Poisson
2019-20,FOUL,Binomial
2019-20,FTA,Bernoulli
2019-20,FTM,Poisson
2019-20,PERS,Poisson
2019-20,LOOSE,Poisson
2020-21,FOUL,Binomial
2020-21,FTA,Geom
2020-21,FTM,Geom
2020-21,PERS,Poisson
2020-21,LOOSE,Poisson
2021-22,FOUL,Binomial
2021-22,FTA,Bernoulli
2021-22,FTM,Poisson
2021-22,PERS,Poisson
2021-22,LOOSE,Poisson
2022-23,FOUL,Binomial
2022-23,FTA,Bernoulli
2022-23,FTM,Poisson
2022-23,PERS,Poisson
2022-23,LOOSE,Poisson
2023-24,FOUL,Poisson
2023-24,FTA,Geom
2023-24,FTM,Poisson
2023-24,PERS,Poisson
2023-24,LOOSE,Poisson
2024-25,FOUL,Binomial
2024-25,FTA,Bernoulli
2024-25,FTM,Bernoulli
2024-25,PERS,Poisson
2024-25,LOOSE,Poisson
