season,method,estimator,estimated_graph,runtime_sec,skeleton_precision,skeleton_recall,skeleton_f1,directed_precision,directed_recall,directed_f1,exact_recovery
2015-16,PT-SEM (full-MLE DP-BIC),optimization,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM",102.0493429999915,1.0,1.0,1.0,1.0,1.0,1.0,True
2016-17,PT-SEM (full-MLE DP-BIC),optimization,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM",80.50110180000775,1.0,1.0,1.0,1.0,1.0,1.0,True
2017-18,PT-SEM (full-MLE DP-BIC),optimization,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM",86.28575989999808,1.0,1.0,1.0,1.0,1.0,1.0,True
2018-19,PT-SEM (full-MLE DP-BIC),optimization,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM",83.42341049999231,1.0,1.0,1.0,1.0,1.0,1.0,True
2019-20,PT-SEM (full-MLE DP-BIC),optimization,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM",76.64789019996533,1.0,1.0,1.0,1.0,1.0,1.0,True
2020-21,PT-SEM (full-MLE DP-BIC),optimization,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM",74.3527198000229,1.0,1.0,1.0,1.0,1.0,1.0,True
2021-22,PT-SEM (full-MLE DP-BIC),optimization,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM",81.81795300001977,1.0,1.0,1.0,1.0,1.0,1.0,True
2022-23,PT-SEM (full-MLE DP-BIC),optimization,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM",76.82271180005046,1.0,1.0,1.0,1.0,1.0,1.0,True
2023-24,PT-SEM (full-MLE DP-BIC),optimization,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM",82.35571209999034,1.0,1.0,1.0,1.0,1.0,1.0,True
2024-25,PT-SEM (full-MLE DP-BIC),optimization,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM",82.2272721999907,1.0,1.0,1.0,1.0,1.0,1.0,True
2015-16,ODS,external baseline,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM, FTA->PERS_FOUL_DRAWN",3.620856699999422,0.8,1.0,0.888888888888889,0.8,1.0,0.888888888888889,False
2016-17,ODS,external baseline,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM, FTA->PERS_FOUL_DRAWN",2.949048299982678,0.8,1.0,0.888888888888889,0.8,1.0,0.888888888888889,False
2017-18,ODS,external baseline,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM, FTA->PERS_FOUL_DRAWN",4.023372099967673,0.8,1.0,0.888888888888889,0.8,1.0,0.888888888888889,False
2018-19,ODS,external baseline,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM, FTA->PERS_FOUL_DRAWN",2.8410620000213385,0.8,1.0,0.888888888888889,0.8,1.0,0.888888888888889,False
2019-20,ODS,external baseline,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM, FTA->PERS_FOUL_DRAWN",2.5382409999729134,0.8,1.0,0.888888888888889,0.8,1.0,0.888888888888889,False
2020-21,ODS,external baseline,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM, FTA->PERS_FOUL_DRAWN",2.315238400013186,0.8,1.0,0.888888888888889,0.8,1.0,0.888888888888889,False
2021-22,ODS,external baseline,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM, FTA->PERS_FOUL_DRAWN",2.8590723000233997,0.8,1.0,0.888888888888889,0.8,1.0,0.888888888888889,False
2022-23,ODS,external baseline,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM, FTA->PERS_FOUL_DRAWN",3.190430100017693,0.8,1.0,0.888888888888889,0.8,1.0,0.888888888888889,False
2023-24,ODS,external baseline,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM, FTA->PERS_FOUL_DRAWN",2.997409500007052,0.8,1.0,0.888888888888889,0.8,1.0,0.888888888888889,False
2024-25,ODS,external baseline,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTA->FTM, FTA->PERS_FOUL_DRAWN",2.8477563000051305,0.8,1.0,0.888888888888889,0.8,1.0,0.888888888888889,False
2015-16,PC (RCIT),external baseline,"FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FOUL, LOOSE_BALL_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",6.679329800012056,0.6666666666666666,1.0,0.8,0.2,0.25,0.2222222222222222,False
2016-17,PC (RCIT),external baseline,"FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FOUL, LOOSE_BALL_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",5.983439399977215,0.6666666666666666,1.0,0.8,0.2,0.25,0.2222222222222222,False
2017-18,PC (RCIT),external baseline,(none),5.5994164000148885,0.5714285714285714,1.0,0.7272727272727273,0.0,0.0,0.0,False
2018-19,PC (RCIT),external baseline,(none),6.915187200007495,0.5714285714285714,1.0,0.7272727272727273,0.0,0.0,0.0,False
2019-20,PC (RCIT),external baseline,"FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FOUL, LOOSE_BALL_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",4.611559299984947,0.6666666666666666,1.0,0.8,0.2,0.25,0.2222222222222222,False
2020-21,PC (RCIT),external baseline,"FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FOUL, LOOSE_BALL_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",4.497015699977055,0.6666666666666666,1.0,0.8,0.2,0.25,0.2222222222222222,False
2021-22,PC (RCIT),external baseline,"FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FOUL, LOOSE_BALL_FOUL_DRAWN->FTA, LOOSE_BALL_FOUL_DRAWN->FTM, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",5.99434159998782,0.5714285714285714,1.0,0.7272727272727273,0.1666666666666666,0.25,0.2,False
2022-23,PC (RCIT),external baseline,"FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FOUL, LOOSE_BALL_FOUL_DRAWN->FTA, LOOSE_BALL_FOUL_DRAWN->FTM, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",5.252759700000752,0.5714285714285714,1.0,0.7272727272727273,0.1666666666666666,0.25,0.2,False
2023-24,PC (RCIT),external baseline,"FTA->FOUL, FTA->FTM, FTM->FOUL, LOOSE_BALL_FOUL_DRAWN->FOUL, LOOSE_BALL_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",5.605390700045973,0.5714285714285714,1.0,0.7272727272727273,0.1428571428571428,0.25,0.1818181818181818,False
2024-25,PC (RCIT),external baseline,"FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FOUL, LOOSE_BALL_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",5.039319999981672,0.6666666666666666,1.0,0.8,0.2,0.25,0.2222222222222222,False
2015-16,PB-SCM (Cumulant),external baseline,(none),0.2219818999874405,0.0,0.0,0.0,0.0,0.0,0.0,False
2016-17,PB-SCM (Cumulant),external baseline,"FOUL->FTA, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN",1.9911844999878667,1.0,0.75,0.8571428571428571,1.0,0.75,0.8571428571428571,False
2017-18,PB-SCM (Cumulant),external baseline,FOUL->FTA,2.1410897000459954,1.0,0.75,0.8571428571428571,1.0,0.25,0.4,False
