season,source,target,coefficient,selected_family
2015-16,FOUL,FTA,1.2497456133836384,Bernoulli
2015-16,FTA,FTM,0.7568560579363416,Poisson
2015-16,FOUL,PERS,0.40397657209280874,Poisson
2015-16,FOUL,LOOSE,0.06438259637731825,Poisson
2016-17,FOUL,FTA,1.2554007045865045,Geom
2016-17,FTA,FTM,0.7718362920953207,Poisson
2016-17,FOUL,PERS,0.38029084236054295,Poisson
2016-17,FOUL,LOOSE,0.06899101464975915,Poisson
2017-18,FOUL,FTA,1.1868132437234389,Geom
2017-18,FTA,FTM,0.7672703898278997,Poisson
2017-18,FOUL,PERS,0.41749820207537863,Poisson
2017-18,FOUL,LOOSE,0.06281463502452028,Poisson
2018-19,FOUL,FTA,1.2050330848509734,Geom
2018-19,FTA,FTM,0.7663704227318971,Poisson
2018-19,FOUL,PERS,0.31917588584245926,Bernoulli
2018-19,FOUL,LOOSE,0.06364339085804926,Poisson
2019-20,FOUL,FTA,1.2285121705608502,Bernoulli
2019-20,FTA,FTM,0.7729954660293056,Poisson
2019-20,FOUL,PERS,0.40384027707193804,Poisson
2019-20,FOUL,LOOSE,0.06338494427286222,Poisson
2020-21,FOUL,FTA,1.2341436314591643,Geom
2020-21,FTA,FTM,0.7773571184047511,Poisson
2020-21,FOUL,PERS,0.38997097899068583,Poisson
2020-21,FOUL,LOOSE,0.055702566757382645,Poisson
2021-22,FOUL,FTA,1.2134649109304052,Bernoulli
2021-22,FTA,FTM,0.77480665879973,Poisson
2021-22,FOUL,PERS,0.40185109382925455,Poisson
2021-22,FOUL,LOOSE,0.0610133259523355,Poisson
2022-23,FOUL,FTA,1.2969597160516637,Bernoulli
2022-23,FTA,FTM,0.7817363387771316,Poisson
2022-23,FOUL,PERS,0.33481686676475614,Poisson
2022-23,FOUL,LOOSE,0.06514680169701265,Poisson
2023-24,FOUL,FTA,1.2564465323477914,Geom
2023-24,FTA,FTM,0.7843336915997454,Poisson
2023-24,FOUL,PERS,0.351176148006286,Poisson
2023-24,FOUL,LOOSE,0.06442002891463436,Poisson
2024-25,FOUL,FTA,1.2523933285176256,Bernoulli
2024-25,FTA,FTM,0.7798465144212524,Poisson
2024-25,FOUL,PERS,0.3509966298746438,Poisson
2024-25,FOUL,LOOSE,0.06878369705712505,Poisson
